,Tower No,Supspension/Tenion,JOINT BOX,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Longitude,Latitude,,,,,Ground Elevation,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-15A LILO NEELANGUDI,T,3W,LILO,DC,20,,NO,,1.59,79.6185,10.80847222,,,,,15,,GOOD,GOOD,NO,,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6185 10.808472222222223, 79.6185 10.808472222222223)"
2,T.NO- 16,S,,SA,SC,26,15A-16,YES,49.04079934,2.01,79.6185,10.80847222,,,,,16,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6185 10.808472222222223, 79.61888888888888 10.810805555555556)"
3,T.NO-17,S,,SA,SC,26,16-17,NO,261.3962509,BUSHES,79.61888889,10.81080556,,,,,15,,GOOD,GOOD,NO,11KV-2 NOS,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61888888888888 10.810805555555556, 79.61927777777777 10.813055555555556)"
4,T.NO- 18,S,,SA,SC,31,17-18,YES,251.2468905,BUSHES,79.61927778,10.81305556,,,,,16,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61927777777777 10.813055555555556, 79.61972222222222 10.815361111111113)"
5,T.NO- 19,S,,SA,SC,29,18-19,YES,258.4956479,BUSHES,79.61972222,10.81536111,,,,,15,,GOOD,GOOD,NO,,"TAAR ROAD, RIVER",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61972222222222 10.815361111111113, 79.62013888888889 10.817527777777778)"
6,T.NO- 20,T,,SB,SC,24,19-20,YES,246.7144098,BUSHES,79.62013889,10.81752778,,,,,18,"00°00'0.00""",GOOD,GOOD,NO,11KV-2 NOS,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62013888888889 10.817527777777778, 79.62055555555555 10.819944444444443)"
7,T.NO- 21,S,,SA,SC,26,20-21,YES,270.9335712,2.16,79.62055556,10.81994444,,,,,17,,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62055555555555 10.819944444444443, 79.62091666666666 10.822416666666667)"
8,T.NO- 22,S,,SA,SC,26,21-22,YES,276.0615873,1.86,79.62091667,10.82241667,,,,,15,,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62091666666666 10.822416666666667, 79.62127777777778 10.82488888888889)"
9,T.NO- 23,S,,SA,SC,26,22-23,NO,273.9361239,1.3,79.62127778,10.82488889,,,,,18,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62127777777778 10.82488888888889, 79.62172222222222 10.82725)"
10,T.NO- 24,S,,SA,SC,26,23-24,NO,267.5256997,1.89,79.62172222,10.82725,,,,,15,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62172222222222 10.82725, 79.62208333333332 10.829666666666666)"
11,T.NO- 25,S,,SA,SC,26,24-25,NO,269.2953769,1.71,79.62208333,10.82966667,,,,,16,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62208333333332 10.829666666666666, 79.62244444444444 10.832055555555556)"
12,T.NO- 26,S,,SA,SC,26,25-26,NO,268.1529414,1.71,79.62244444,10.83205556,,,,,15,,GOOD,GOOD,NO,220 KV CROSS ABOVE OUR LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62244444444444 10.832055555555556, 79.62283333333333 10.834472222222223)"
13,T.NO- 27,S,,SA,SC,26,26-27,NO,270.4403816,2.16,79.62283333,10.83447222,,,,,17,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62283333333333 10.834472222222223, 79.62313888888889 10.836527777777778)"
14,T.NO- 28,S,,SA,SC,26,27-28,NO,228.5432125,2.94,79.62313889,10.83652778,,,,,17,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62313888888889 10.836527777777778, 79.62338888888888 10.838277777777778)"
15,T.NO- 29,T,2W,SB,SC,24,28-29,YES,195.1665955,3.17,79.62338889,10.83827778,,,,,19,"2°10'51.3""",GOOD,GOOD,NO,"11KV,33KV",,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62338888888888 10.838277777777778, 79.62363888888888 10.840611111111112)"
16,T.NO- 30,T,,SB,SC,24,29-30,NO,261.6123086,,79.62363889,10.84061111,,,,,23,"13°14'43.26""",GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62363888888888 10.840611111111112, 79.62444444444444 10.842861111111112)"
17,T.NO- 31,S,,SA,SC,26,30-31,NO,262.2079328,1.73,79.62444444,10.84286111,,,,,16,,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62444444444444 10.842861111111112, 79.62525 10.84525)"
18,T.NO- 32,S,,SA,SC,26,31-32,YES,277.6508599,2.51,79.62525,10.84525,,,,,21,,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62525 10.84525, 79.62602777777776 10.847472222222223)"
19,T.NO- 33,S,,SA,SC,26,32-33,YES,260.9310254,WATER,79.62602778,10.84747222,,,,,22,,GOOD,GOOD,NO,LT,"TAAR, MUD ROAD",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62602777777776 10.847472222222223, 79.62686111111111 10.85)"
20,T.NO- 34,S,,SA,SC,26,33-34,NO,294.7269923,2.51,79.62686111,10.85,,,,,19,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62686111111111 10.85, 79.62763888888888 10.852194444444445)"
21,T.NO- 35,S,,SA,SC,26,34-35,NO,255.8847397,2.15,79.62763889,10.85219444,,,,,21,,GOOD,GOOD,YES,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62763888888888 10.852194444444445, 79.62841666666667 10.854472222222222)"
22,T.NO- 36,S,,SA,SC,26,35-36,YES,265.6501459,1.59,79.62841667,10.85447222,,,,,15,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62841666666667 10.854472222222222, 79.62913888888889 10.856583333333333)"
23,T.NO- 37,S,,SA,SC,26,36-37,NO,249.19069,3.37,79.62913889,10.85658333,,,,,16,,GOOD,GOOD,NO,2nos LT,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62913888888889 10.856583333333333, 79.62972222222221 10.858305555555555)"
24,T.NO- 38,S,,SA,SC,29,37-38,YES,198.2750615,BUSHES,79.62972222,10.85830556,,,,,21,,GOOD,GOOD,NO,,,CANNEL,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62972222222221 10.858305555555555, 79.63019444444444 10.859722222222222)"
25,T.NO- 39,T,,SB,SC,27,38-39,NO,166.6523327,1.09,79.63019444,10.85972222,,,,,,"10°54'36.0""",GOOD,GOOD,NO,,"TAAR ROAD, CANAL",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63019444444444 10.859722222222222, 79.63063888888888 10.8605)"
26,T.NO- 40,TB,,TB,SC,20,39-40,NO,97.61659695,,79.63063889,10.8605,,,,,19,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63063888888888 10.8605, 79.63074999999999 10.860999999999999)"
27,T.NO- 41,TB,,TB,SC,20,40-41,NO,57.72347876,,79.63075,10.861,,,,,17,,GOOD,GOOD,NO,"220 KV CROSS ABOVE OUR LINE, 11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63074999999999 10.860999999999999, 79.63113888888888 10.861527777777777)"
28,T.NO- 42,T,,SC,SC,26,41-42,NO,72.80109889,4.36,79.63113889,10.86152778,,,,,18,"18°52'1.80""",GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63113888888888 10.861527777777777, 79.63202777777776 10.864194444444443)"
29,T.NO- 43,S,,SA,SC,26,42-43,NO,308.6389476,3.17,79.63202778,10.86419444,,,,,18,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63202777777776 10.864194444444443, 79.63274999999999 10.866472222222221)"
30,T.NO- 44,S,,SA,SC,26,43-44,NO,265.3469427,1.91,79.63275,10.86647222,,,,,18,,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63274999999999 10.866472222222221, 79.63350000000001 10.868916666666667)"
31,T.NO- 45,S,,SA,SC,26,44-45,YES,282.4694674,1.61,79.6335,10.86891667,,,,,15,,GOOD,GOOD,NO,"LT,11KV",NALA,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63350000000001 10.868916666666667, 79.63430555555556 10.87113888888889)"
32,T.NO- 46,T,2W,SB,SC,24,45-46,NO,262.2918222,WATER,79.63430556,10.87113889,,,,,16,"12°11'44.38""",GOOD,GOOD,NO,LT,"MUD ROAD, NALA",CULTIVATION LAND,WATER IN CULTIVATION LAND,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63430555555556 10.87113888888889, 79.63472222222222 10.874)"
33,T.NO- 47,S,,SA,SC,26,46-47,NO,319.1880324,WATER,79.63472222,10.874,,,,,15,,GOOD,GOOD,NO,,,,WATER IN CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63472222222222 10.874, 79.63508333333334 10.876694444444444)"
34,T.NO- 48,S,,SA,SC,26,47-48,YES,299.8166106,2.91,79.63508333,10.87669444,,,,,16,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63508333333334 10.876694444444444, 79.63541666666667 10.879000000000001)"
35,T.NO- 49,S,,SA,SC,29,48-49,NO,258.9536638,3.65,79.63541667,10.879,,,,,16,,GOOD,GOOD,NO,"LT,11KV",,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63541666666667 10.879000000000001, 79.63580555555556 10.8815)"
