S. No ,Tower No,Supspension/Tenion,JOINT BOX,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO 5 MARIYAMMANKOVIL,T,3W,LILO,LILO,29,,YES,,-,58,,79.16286111,10.76747222,GOOD,GOOD,NO,,,PLAIN LAND,"OVER BUSESH,2 EARTHWIRE .1 E/W CONTINUE TO OUR T.NO 34 ANOTHER 1 E/W CONNECT TO MARIYAMMANKOVIL T.NO LILO-4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16286111111111 10.767472222222223, 79.16375000000001 10.76825)"
2,T.NO 34,T,,DC,DC,32,LILO5-34,YES,131.1373326,2.35,42,"25°50'21.96""",79.16375,10.76825,GOOD,GOOD,NO,,HIGHWAY CROSING,PLAIN LAND,"2 EARTHWIRE,1 E/W CONTINUE TO OUR T.NO35 & ANOTHER E/W CONNECT TO OLD 66KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16375000000001 10.76825, 79.16452777777778 10.768472222222224)"
3,T.NO-35,T,,DB,DC,30,34-35,YES,88.05679985,3.07,54,"6°39'37.53""",79.16452778,10.76847222,GOOD,GOOD,NO,,HIGHWAY CROSING,PLAIN LAND,"2 EARTHWIRE,1 E/W CONTINUE TO OUR T.NO36 & ANOTHER E/W CONNECT TO OLD 66KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16452777777778 10.768472222222224, 79.16691666666667 10.769416666666668)"
4,T.NO 36,S,,DA,DC,29,35-36,YES,280.02857,,50,,79.16691667,10.76941667,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,WATER PRESANT AT LAND FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16691666666667 10.769416666666668, 79.16944444444445 10.7705)"
5,T.NO 37,S,,DA,DC,26,36-37,YES,302.5392537,0.81,54,,79.16944444,10.7705,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16944444444445 10.7705, 79.17130555555556 10.771361111111112)"
6,T.NO 38,S,,DA,DC,29,37-38,YES,223.2241026,1.91,49,,79.17130556,10.77136111,GOOD,GOOD,NO,,"TAAR ROAD, MUD ROAD",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17130555555556 10.771361111111112, 79.173 10.772027777777778)"
7,T.NO 39,T,,DC,DC,26,38-39,NO,201.6754819,2.08,54,"22°54'20.77""",79.173,10.77202778,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,"2 EARTH WIRE, 1 E/W JOIN FROM 66KV OLD TOWER, OUR EARTH WIRE CONTINUE TO OUR T.NO-40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.173 10.772027777777778, 79.17394444444444 10.772)"
8,T.NO 40,T,,DD,DC,35,39-40,NO,102.0441081,2.03,54,"72°14'40.74""",79.17394444,10.772,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17394444444444 10.772, 79.17430555555556 10.773083333333334)"
9,T.NO 41,T,,DD,DC,35,40-41,YES,126.1942946,0.81,54,"58°47'30.03""",79.17430556,10.77308333,GOOD,GOOD,YES,LT,"ELECTRIC RAILWAY CROSSING, TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17430555555556 10.773083333333334, 79.17586111111112 10.773416666666668)"
10,T.NO 42,T,,DD,DC,26,41-42,YES,171.6071094,2.41,57,"33°29'58.01""",79.17586111,10.77341667,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17586111111112 10.773416666666668, 79.17777777777778 10.775361111111112)"
