S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,48,S,,SA,22,47-48,295.9442438,2.12,142.726135,,11.18533333,78.85352778,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85352777777777 11.185333333333334, 78.85430555555556 11.182972222222222)"
23,49,S,,SA,22,48-49,276.735264,1.29,142.224731,,11.18297222,78.85430556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85430555555556 11.182972222222222, 78.85525 11.18025)"
24,50,T,,SC,22,49-50,316.4657615,1.35,141.299393,"17°47'22""L",11.18025,78.85525,GOOD,Available,"HT,LT -2NO",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85525 11.18025, 78.85694444444444 11.178027777777777)"
25,51,S,,SA,22,50-51,306.415695,1.09,138.886551,,11.17802778,78.85694444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85694444444444 11.178027777777777, 78.85858333333333 11.17586111111111)"
26,52,S,,SA,22,51-52,300.222817,2.4,139.193817,,11.17586111,78.85858333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85858333333333 11.17586111111111, 78.86013888888888 11.173805555555555)"
27,LILO : 53,T,3W,DC,22,52-53,282.9892119,2,140.655411,"7°0'44""R",11.17380556,78.86013889,GOOD,Available,HT -3NO,,PLAIN,LILO to SIRUVACHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86013888888888 11.173805555555555, 78.86027777777777 11.17361111111111)"
28,55,T,,SC,22,53-55,27.54315173,1.72,140.587051,"6°19'8""L",11.17361111,78.86027778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86027777777777 11.17361111111111, 78.86175 11.17161111111111)"
29,56,T,,SC,22,55-56,273.6673951,2.1,138.375534,"0°29'34""R",11.17161111,78.86175,GOOD,Available,"LT,HT-3NO",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86175 11.17161111111111, 78.86325 11.169583333333332)"
30,57,T,2W,SC+3,25,56-57,280,1.66,140.250641,"84°54'47""L",11.16958333,78.86325,GOOD,Available,,,PLAIN,LILO to MRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86325 11.169583333333332, 78.86530555555555 11.170805555555555)"
31,58,T,,SC,22,57-58,261.1848901,2.25,138.740631,"30°14'10""R",11.17080556,78.86530556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86530555555555 11.170805555555555, 78.86763888888888 11.170833333333333)"
32,59,T,,SC,22,58-59,258,2.01,138.44519,"70°20'55""R",11.17083333,78.86763889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86763888888888 11.170833333333333, 78.86841666666666 11.168777777777777)"
33,60,T,,SC,22,59-60,245,1.46,138.267151,"0°6'52""L",11.16877778,78.86841667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86841666666666 11.168777777777777, 78.86925 11.166583333333334)"
34,60/1,T,,SC,22,60-60/1,266,3.45,138.710419,"17°17'18""R",11.16658333,78.86925,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86925 11.166583333333334, 78.86941666666667 11.163944444444445)"
35,60/2,T,,SC,22,60/1-60/2,294,4.27,136.586548,"3°49'25""R",11.16394444,78.86941667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86941666666667 11.163944444444445, 78.86938888888888 11.161416666666668)"
36,61,T,,SC,22,60/2-61,285,1.1,133.676544,"7°30'44""L",11.16141667,78.86938889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86938888888888 11.161416666666668, 78.86969444444443 11.158833333333334)"
37,62,S,,SA,22,61-62,291,4.36,131.937149,,11.15883333,78.86969444,GOOD,NO E/W,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86969444444443 11.158833333333334, 78.87002777777776 11.156166666666667)"
38,63,S,,SA,22,62-63,299,5.3,130.145737,,11.15616667,78.87002778,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87002777777776 11.156166666666667, 78.87027777777777 11.15388888888889)"
39,64,S,,SA,22,63-64,255,4.01,125.877464,,11.15388889,78.87027778,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87027777777777 11.15388888888889, 78.87052777777777 11.151305555555556)"
40,65,T,,SC,22,64-65,288,3.37,129.150711,"18°3'50""R",11.15130556,78.87052778,GOOD,NO E/W,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87052777777777 11.151305555555556, 78.86994444444444 11.148555555555555)"
41,66,S,,SA,22,65-66,311.5622743,5.15,130.904129,,11.14855556,78.86994444,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86994444444444 11.148555555555555, 78.86944444444444 11.146194444444443)"
42,67,T,,SC,22,66-67,270,4.57,133.930878,"8°13'28""L",11.14619444,78.86944444,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86944444444444 11.146194444444443, 78.86927777777777 11.143694444444444)"
43,68,S,,SA,22,67-68,280,1.19,132.377869,,11.14369444,78.86927778,GOOD,Available,"LT,230 KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86927777777777 11.143694444444444, 78.86916666666666 11.141499999999999)"
44,69,S,,SA,22,68-69,245,2.43,129.455536,,11.1415,78.86916667,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86916666666666 11.141499999999999, 78.86902777777777 11.139249999999999)"
45,70,S,2W,SA,22,69-70,255,3.41,126.590912,,11.13925,78.86902778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86902777777777 11.139249999999999, 78.86888888888888 11.137638888888889)"
46,LILO :  70/1,T,,DC,26,70- 70/1,180,5.16,125.616081,"84°22'7""R",11.13763889,78.86888889,GOOD,Available,,,PLAIN,LILO to Kallakudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86888888888888 11.137638888888889, 78.86691666666665 11.137638888888889)"
47, 70/2,T,,DC,26, 70/1- 70/2,220,4.45,127.429031,"16°58'46""L",11.13763889,78.86691667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86691666666665 11.137638888888889, 78.86441666666666 11.136833333333334)"
48, 70/3,T,,DC,26, 70/2- 70/3,285.3980901,5.17,129.448837,"19°24'3""L",11.13683333,78.86441667,GOOD,Available,"LT-2NO,11KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86441666666666 11.136833333333334, 78.86222222222221 11.135222222222222)"
49, 70/4,T,,DC,26, 70/3- 70/4,299.6931924,3.16,131.028458,"35°52'55""L",11.13522222,78.86222222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86222222222221 11.135222222222222, 78.86202777777777 11.134583333333333)"
50, 70/5,T,,DC,26, 70/4- 70/5,75,1.35,131.746658,"68°0'30""R",11.13458333,78.86202778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86202777777777 11.134583333333333, 78.86183333333332 11.134555555555554)"
51,Gantry (Pudukurichy SS),Gantry,2W,H-POLE,12, 70/5-Gantry,25,,132.309341,,11.13455556,78.86183333,GOOD,Available,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
