S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO.17DC,S,26,16-17,NOI,288.5168972521367,2.5,71,,78.68050000000001,10.901388888888889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68050000000001 10.901388888888889, 78.68138888888889 10.903861111111112)"
19,T.NO.18DC,S,26,17-18,NO,288.5168972521367,2.17,71,,78.68138888888889,10.903861111111112,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68138888888889 10.903861111111112, 78.68225000000001 10.906333333333334)"
20,T.NO.19DC,S,26,18-19,NO,291.94006234157035,2.25,66,,78.68225000000001,10.906333333333334,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68225000000001 10.906333333333334, 78.68327777777779 10.909166666666668)"
21,T.NO.20DC,S,26,19-20,NO,331.23556572324776,2.5,70,,78.68327777777779,10.909166666666668,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68327777777779 10.909166666666668, 78.68416666666667 10.91175)"
22,T.NO.21DC,S,26,20-21,NO,302.03476621077914,2.37,73,,78.68416666666667,10.91175,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68416666666667 10.91175, 78.68519444444445 10.914416666666668)"
23,T.NO.22DC,T,31,21-22,YES,316.8359196808342,2.47,74,"31°20'32.0""",78.68519444444445,10.914416666666668,GOOD,GOOD,NO,,,,CANAL ,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68519444444445 10.914416666666668, 78.68711111111112 10.915944444444445)"
24,T.NO.23DC,S,26,22-23,NO,269.4327374318125,2.65,79,,78.68711111111112,10.915944444444445,GOOD,GOOD,NO,LT,MUD ROAD & TAAR ROAD ,CULTIVATION LAND,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68711111111112 10.915944444444445, 78.68972222222223 10.917888888888887)"
25,T.NO.24DC,S,29,23-24,NO,356.6020190632689,2.57,82,,78.68972222222223,10.917888888888887,GOOD,GOOD,NO,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68972222222223 10.917888888888887, 78.69175 10.919416666666667)"
26,T.NO.25DC,S,26,24-25,NO,278.40258619488435,2.57,85,,78.69175,10.919416666666667,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69175 10.919416666666667, 78.69344444444445 10.920666666666666)"
27,T.NO.26DC,S,26,25-26,NO,231.60310878742538,2.36,87,,78.69344444444445,10.920666666666666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69344444444445 10.920666666666666, 78.69513888888889 10.921916666666666)"
