S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20, 63/20,S,,DA,26, 63/19- 63/20,266.8896366,2.67,27.980186,,10.25705556,79.18680556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18680555555557 10.257055555555555, 79.18875 10.255472222222222)"
21, 63/21,T,,DC,26, 63/20- 63/21,275.421207,3.75,26.480984,"42°24'13"" L",10.25547222,79.18875,GOOD,Available,"2 LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18875 10.255472222222222, 79.19169444444445 10.255638888888889)"
22, 63/22,T,,DC,26, 63/21- 63/22,322.8757332,2.54,28.044661,"3°47'17"" L",10.25563889,79.19169444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19169444444445 10.255638888888889, 79.19430555555556 10.255944444444445)"
23, 63/23,T,,DC,26, 63/22- 63/23,287.08205,2.36,28.165649,"30°21'29"" L",10.25594444,79.19430556,GOOD,Available,,"ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19430555555556 10.255944444444445, 79.19655555555556 10.25763888888889)"
24, 63/24,S,,DA,26, 63/23- 63/24,312.6334782,2.93,27.209625,,10.25763889,79.19655556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19655555555556 10.25763888888889, 79.19808333333334 10.258722222222222)"
25, 63/25,S,,DA,26, 63/24- 63/25,203.4759341,3.37,26.893326,,10.25872222,79.19808333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19808333333334 10.258722222222222, 79.19958333333334 10.25986111111111)"
26, 63/26,S,,DA,26, 63/25- 63/26,208.3537024,3.69,26.650587,,10.25986111,79.19958333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19958333333334 10.25986111111111, 79.20119444444445 10.261055555555556)"
27, 63/27,T,,DC,26, 63/26- 63/27,219.5577942,4.16,28.00535,"23°37'30"" R",10.26105556,79.20119444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20119444444445 10.261055555555556, 79.20344444444444 10.261583333333334)"
28, 63/28,S,,DA,26, 63/27- 63/28,252.7653116,1.96,26.723467,,10.26158333,79.20344444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20344444444444 10.261583333333334, 79.20591666666667 10.262055555555555)"
29, 63/29,S,,DA,26, 63/28- 63/29,276.0722058,1.62,26.397429,,10.26205556,79.20591667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20591666666667 10.262055555555555, 79.20827777777778 10.262583333333334)"
30, 63/30,T,2W,DC,26, 63/29- 63/30,265.1484051,2.16,26.466959,"24°44'44"" R",10.26258333,79.20827778,GOOD,Available,"LT,2 HT","ROAD,CANAL",PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20827777777778 10.262583333333334, 79.21086111111111 10.262)"
31, 63/31,S,,DA,26, 63/30- 63/31,289.8657429,1.63,26.480999,,10.262,79.21086111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21086111111111 10.262, 79.21322222222223 10.261527777777777)"
32, 63/32,S,,DA,26, 63/31- 63/32,263.6541856,2.07,28.512609,,10.26152778,79.21322222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21322222222223 10.261527777777777, 79.21580555555556 10.260972222222222)"
33, 63/33,T,,DC,26, 63/32- 63/33,291.5127131,1.16,25.843216,"10°3'37"" R",10.26097222,79.21580556,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21580555555556 10.260972222222222, 79.21763888888889 10.260222222222222)"
34, 63/34,T,,DC,26, 63/33- 63/34,215.2568718,0.92,25.660641,"23°56'51"" R",10.26022222,79.21763889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21763888888889 10.260222222222222, 79.21936111111111 10.258444444444445)"
35, 63/35,T,,DC,26, 63/34- 63/35,273.228104,1.94,23.482054,"6°15'29"" L",10.25844444,79.21936111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21936111111111 10.258444444444445, 79.22102777777778 10.257083333333334)"
36, 63/36,S,,DA,26, 63/35- 63/36,236.4896665,1.29,23.025291,,10.25708333,79.22102778,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22102777777778 10.257083333333334, 79.22247222222222 10.255916666666666)"
37, 63/37,S,,DA,26, 63/36- 63/37,204.013225,4.18,24.577732,,10.25591667,79.22247222,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22247222222222 10.255916666666666, 79.22358333333334 10.254888888888889)"
38, 63/38,T,,DC,26, 63/37- 63/38,166.0189942,2.11,26.519855,"52°19'56"" L",10.25488889,79.22358333,GOOD,Available,"2 LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22358333333334 10.254888888888889, 79.22583333333334 10.255277777777778)"
39, 63/39,S,,DA,26, 63/38- 63/39,249.5540535,6.01,24.208752,,10.25527778,79.22583333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22583333333334 10.255277777777778, 79.22791666666667 10.255611111111111)"
40, 63/40,S,,DA,26, 63/39- 63/40,231.217761,3.76,25.141205,,10.25561111,79.22791667,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22791666666667 10.255611111111111, 79.2303888888889 10.256)"
