,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY THIRUMAYAM,GANTRY,2W,20,,YES,,,,105,,78.73147222,10.23275,GOOD,GOOD,NO,,,,NO EARTH WIRE,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73147222222222 10.23275, 78.73133333333334 10.232833333333334)"
2,T.NO 1 DC,T,,29,GANTRY -1,YES,,17.20465053,3.33,102,"18°11'47.58""",78.73133333,10.23283333,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73133333333334 10.232833333333334, 78.72902777777777 10.233527777777777)"
3,T.NO-2SC,T,,27,1--2,YES,,265.0471656,3.91,108,"14°4'43.46""",78.72902778,10.23352778,GOOD,GOOD,NO,22 KV LINE ,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72902777777777 10.233527777777777, 78.72683333333333 10.234833333333333)"
4,T.NO 3SC,S,,27,02-Mar,YES,,280.0660636,4.71,101,,78.72683333,10.23483333,GOOD,GOOD,NO,"LT LINE , 11 KV ",TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72683333333333 10.234833333333333, 78.72436111111111 10.236305555555555)"
5,T.NO 4SC,T,,24,03-Apr,YES,,314.1973902,3.99,106,"9°54'51.74""",78.72436111,10.23630556,GOOD,GOOD,NO,,,"WATER LOGGED AREA ,POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72436111111111 10.236305555555555, 78.72283333333334 10.237638888888888)"
6,T.NO 5SC,S,,27,04-May,YES,,223.8928315,3.81,97,,78.72283333,10.23763889,GOOD,GOOD,NO,11KV,,PLAIN AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72283333333334 10.237638888888888, 78.72102777777778 10.239194444444443)"
7,T.NO 6SC,T,,24,05-Jun,YES,,262.7565413,4.59,102,"6°6'29.99""",78.72102778,10.23919444,GOOD,GOOD,NO,,,PLAIN AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72102777777778 10.239194444444443, 78.71902777777778 10.241361111111111)"
8,T.NO 7SC,S,,27,06-Jul,YES,,324.9692293,3.11,107,,78.71902778,10.24136111,GOOD,GOOD,NO,11 KV 2 NOS,,PLAIN AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71902777777778 10.241361111111111, 78.7171388888889 10.24325)"
9,T.NO 8SC,S,,24,07-Aug,YES,,294.1870153,4.89,98,,78.71713889,10.24325,GOOD,GOOD,NO,,,WATER LOGGED AREA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7171388888889 10.24325, 78.71505555555555 10.245138888888889)"
10,T.NO 9SC,T,,24,08-Sep,YES,,308.5611771,4.99,110,"12°38'45.80""",78.71505556,10.24513889,GOOD,GOOD,NO,,,PLAIN AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71505555555555 10.245138888888889, 78.71322222222223 10.246166666666666)"
11,T.NO 10SC,S,,24,09-Oct,NO,,232.0711098,5.61,110,,78.71322222,10.24616667,GOOD,GOOD,NO,LT 2 NOS,,PLAIN AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71322222222223 10.246166666666666, 78.71097222222222 10.247416666666666)"
12,T.NO 11SC,S,,24,10-Nov,NO,,282.6764935,5.61,116,,78.71097222,10.24741667,GOOD,GOOD,NO,230 KV CROSSING ABOVE OUR LINE,,PLAIN LAND,"PUDHUKOTTAI - KARAIKUDI 230KV SC LINE T.NO 96 {78°42'45.34"" E 10°14'49.13"" N}   T.NO-97 {78°42'44.26"" E 10°14'46.57"" N}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71097222222222 10.247416666666666, 78.70886111111112 10.248666666666665)"
13,T.NO 12 (14)SC,S,,24,11-Dec,NO,,270.1129393,3.19,102,,78.70886111,10.24866667,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70886111111112 10.248666666666665, 78.70669444444445 10.249888888888888)"
14,T.NO 13 (15)SC,S,,24,Dec-13,NO,,271.0166047,3.51,100,,78.70669444,10.24988889,GOOD,GOOD,NO,LT 2 NOS,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70669444444445 10.249888888888888, 78.70455555555556 10.251055555555556)"
15,T.NO 14SC,T,2W,28,13-14,NO,,268.1734513,,102,"51°11'24.25""",78.70455556,10.25105556,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70455555555556 10.251055555555556, 78.70333333333333 10.250555555555556)"
