S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T/P - 257,T,3W,KCR+3,26,,,,63,,10.94394235,78.09549775,GOOD,,,,PLAIN,Velliyanai spur line Tapping ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954977497458 10.943942349404, 78.0954600311815 10.9432873036712)"
2,TN - 1,H POLE,,DP,15,TN - 4 : TN - 5,74.63613563,4.7,58,1°10'21''RT,10.9432873,78.09546003,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954600311815 10.9432873036712, 78.0954288505017 10.942446263507)"
3,TN - 2,H POLE,,DP,15,TN - 5 : TN - 6,95.17237334,3.6,57,26°15'34''LT,10.94244626,78.09542885,GOOD,NO E/W,,110KV IYYARMALAI - PUGALU UP XING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954288505017 10.942446263507, 78.0951355677098 10.9419034514576)"
4,TN - 3,T,,CZ,25,TN - 6 : TN - 7,70.12291879,4.1,54,18°1'25''RT,10.94190345,78.09513557,GOOD,NO E/W,"LT , HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0951355677098 10.9419034514576, 78.0947199929505 10.9396300278604)"
5,TN - 4,S,,AXP,23,TN - 7 : TN - 8,257.7597705,5.3,56,,10.93963003,78.09471999,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0947199929505 10.9396300278604, 78.0944100301712 10.9373499825596)"
6,TN - 5,S,,AXP,23,TN - 8 : TN - 9,256.6871307,3.6,59,,10.93734998,78.09441003,GOOD,AVAILABLE,LT -2,,PLAIN,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0944100301712 10.9373499825596, 78.0940600018948 10.9352199733257)"
7,TN - 6,S,,AXP,23,TN - 9 : TN - 10,240.8984905,4.5,60,,10.93521997,78.09406,GOOD,AVAILABLE,LT -3,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0940600018948 10.9352199733257, 78.0939699802547 10.9332300256937)"
8,TN - 7,T,,BY,25,TN - 10 : TN - 11,222.5234,2.9,63,1°58'58''LT,10.93323003,78.09396998,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0939699802547 10.9332300256937, 78.0937900207936 10.9309799876064)"
9,TN - 8,S,,AXP+3,26,TN - 11 : LILO - 12,251.8743607,4.3,54,,10.93097999,78.09379002,GOOD,NO E/W,LT -2,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0937900207936 10.9309799876064, 78.0940099619328 10.9281800128519)"
10,TN - 9,S,,AXP+3,26,LILO - 12 : ,312.9124573,4.1,56,,10.92818001,78.09400996,GOOD,NO E/W,HT -2,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0940099619328 10.9281800128519, 78.094190005213 10.9257200080901)"
11,TN - 10,T,,BY,25, : ,275.053801,5.3,45,12°52'50''RT,10.92572001,78.09419001,GOOD,AVAILABLE,"LT -3, HT -3",ROAD,PLAIN,,PB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.094190005213 10.9257200080901, 78.0948899779468 10.9234399627894)"
12,TN - 11,S,,AXP+3,26, : ,265.7809401,3.6,54,4°1'12''RT,10.92343996,78.09488998,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0948899779468 10.9234399627894, 78.0956937186419 10.9213555511087)"
13,LILO - 12,T,,AXP+3,26, : ,248.9481073,4.5,56,,10.92135555,78.09569372,GOOD,AVAILABLE,LT,,PLAIN,Thanthonimalai SS Tapping,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
