Tower No,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,SA,S,26,16-17,,=SQRT((K24-K23)^2+(L24-L23)^2),5,17.067398,,11.465888322520883,79.70030743288618,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70030743288618 11.465888322520883, 79.69935743332336 11.463545322408073)"
18,SC,T,26,17-18,,=SQRT((K25-K24)^2+(L25-L24)^2),4.7,18.424805," 25d4'55""RT",11.463545322408073,79.69935743332336,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69935743332336 11.463545322408073, 79.69821343349615 11.46247931852737)"
19,SA,S,26,18-19,,=SQRT((K26-K25)^2+(L26-L25)^2),5.25,18.821499,,11.46247931852737,79.69821343349615,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69821343349615 11.46247931852737, 79.69733843391013 11.46168431925495)"
20,SD,T,28,19-20,,=SQRT((K27-K26)^2+(L27-L26)^2),6.3,19.871941,"41d37'12""RT",11.46168431925495,79.69733843391013,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69733843391013 11.46168431925495, 79.69508543441466 11.46162831927965)"
21,SA,S,26,20-21,,=SQRT((K28-K27)^2+(L28-L27)^2),7.5,19.68676,,11.46162831927965,79.69508543441466,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69508543441466 11.46162831927965, 79.69288443555938 11.461572326632835)"
22,SA,S,26,21-22,,=SQRT((K29-K28)^2+(L29-L28)^2),7.25,19.95085,,11.461572326632835,79.69288443555938,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69288443555938 11.461572326632835, 79.690692435765 11.46152732518725)"
23,SA,S,26,22-23,,=SQRT((K30-K29)^2+(L30-L29)^2),4.65,19.332478,,11.46152732518725,79.690692435765,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.690692435765 11.46152732518725, 79.68830743728066 11.461460320221635)"
24,SD,T,28,23-24,,=SQRT((K31-K30)^2+(L31-L30)^2),5.3,21.612379,"61d7'3""LT",11.461460320221635,79.68830743728066,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68830743728066 11.461460320221635, 79.68739743777513 11.459748326433482)"
25,SA,S,26,24-25,,=SQRT((K32-K31)^2+(L32-L31)^2),5.7,21.880301,,11.459748326433482,79.68739743777513,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68739743777513 11.459748326433482, 79.68651043747478 11.458045321929973)"
26,SA,S,26,25-26,,=SQRT((K33-K32)^2+(L33-L32)^2),5.05,19.668852,,11.458045321929973,79.68651043747478,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68651043747478 11.458045321929973, 79.68568343799843 11.456475323990926)"
27,SA,S,26,26-27,,=SQRT((K34-K33)^2+(L34-L33)^2),6.19,19.32147,,11.456475323990926,79.68568343799843,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68568343799843 11.456475323990926, 79.68478143861256 11.454759328289452)"
28,SA,S,26,27-28,,=SQRT((K35-K34)^2+(L35-L34)^2),5.85,19.960768,,11.454759328289452,79.68478143861256,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68478143861256 11.454759328289452, 79.68399343886784 11.453286328266053)"
29,SA,S,26,28-29,,=SQRT((K36-K35)^2+(L36-L35)^2),5.65,19.849234,,11.453286328266053,79.68399343886784,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68399343886784 11.453286328266053, 79.6831034386938 11.451574325265653)"
30,SA,S,26,29-30,,=SQRT((K37-K36)^2+(L37-L36)^2),6.25,21.00433,,11.451574325265653,79.6831034386938,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6831034386938 11.451574325265653, 79.68207743972552 11.449462326033538)"
31,SB,T,24,30-31,,=SQRT((K38-K37)^2+(L38-L37)^2),5.95,22.257118,"5d32'42""LT",11.449462326033538,79.68207743972552,GOOD,GOOD,,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68207743972552 11.449462326033538, 79.68118943967308 11.44706332694804)"
32,SC,T,26,31-32,,=SQRT((K39-K38)^2+(L39-L38)^2),7.3,21.264771," 15d48'3""LT",11.44706332694804,79.68118943967308,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68118943967308 11.44706332694804, 79.68106943983307 11.445455322444763)"
33,SA,S,26,32-33,,=SQRT((K40-K39)^2+(L40-L39)^2),5.48,18.912563,,11.445455322444763,79.68106943983307,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68106943983307 11.445455322444763, 79.68094444010075 11.443817322714265)"
34,SB,T,24,33-34,,=SQRT((K41-K40)^2+(L41-L40)^2),6.05,19.994078,"13d53'37""LT",11.443817322714265,79.68094444010075,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68094444010075 11.443817322714265, 79.67249444289878 11.423542333750131)"
45,SC,T,26,44-45,,207,5.45,16.599564," 27d34'25""LT",11.423542333750131,79.67249444289878,GOOD,GOOD,LT-1,ROAD-1,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67249444289878 11.423542333750131, 79.67257444297158 11.422344335728885)"
46,SA,S,26,45-46,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),6.18,15.607118,,11.422344335728885,79.67257444297158,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67257444297158 11.422344335728885, 79.6726674432321 11.420888333867676)"
47,SA,S,26,46-47,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),7.05,15.566553,,11.420888333867676,79.6726674432321,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6726674432321 11.420888333867676, 79.6728134423777 11.418858336760668)"
