S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thirukanurpatty SS),Gantry,2W,H-POLE,12,,,,85.168793,,10.68994444,79.07669444,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07669444444444 10.689944444444444, 79.07716666666666 10.690388888888888)"
2, 32/26,T,,DC,26,Gantry- 32/26,70.48580606,0.53,75.41198,"24°29'22"" R",10.69038889,79.07716667,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07716666666666 10.690388888888888, 79.07838888888888 10.690805555555556)"
3, 32/25,T,,DC,26, 32/26- 32/25,141.4267708,0.91,74.817207,"28°26'2"" R",10.69080556,79.07838889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07838888888888 10.690805555555556, 79.08066666666666 10.690472222222223)"
4, 32/24,S,,DA,26, 32/25- 32/24,253.1553757,1.48,75.178253,,10.69047222,79.08066667,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08066666666666 10.690472222222223, 79.08274999999999 10.690055555555556)"
5, 32/23,T,,DC,26, 32/24- 32/23,233.5382962,1.16,73.868263,"1°18'15"" L",10.69005556,79.08275,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08274999999999 10.690055555555556, 79.08508333333333 10.689666666666668)"
6, 32/22,S,,DA,26, 32/23- 32/22,257.9973263,1.03,75.395683,,10.68966667,79.08508333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08508333333333 10.689666666666668, 79.08708333333333 10.689333333333334)"
7, 32/21,S,,DA,26, 32/22- 32/21,221.9105821,0.96,74.201881,,10.68933333,79.08708333,GOOD,Available,HT,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08708333333333 10.689333333333334, 79.08858333333333 10.689055555555555)"
8, 32/20,T,,DC,26, 32/21- 32/20,167.9077931,0.83,74.527893,"17°32'13"" L",10.68905556,79.08858333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08858333333333 10.689055555555555, 79.09066666666666 10.689305555555556)"
9, 32/19,S,,DA,26, 32/20- 32/19,229.5413677,0.45,75.342743,,10.68930556,79.09066667,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09066666666666 10.689305555555556, 79.09316666666666 10.68961111111111)"
10, 32/18,S,,DA,26, 32/19- 32/18,275.1765652,0.78,74.420059,,10.68961111,79.09316667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09316666666666 10.68961111111111, 79.09547222222221 10.689861111111112)"
11, 32/17,T,,DC,26, 32/18- 32/17,253.2679123,0.21,74.851532,"1°32'50"" L",10.68986111,79.09547222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09547222222221 10.689861111111112, 79.09805555555555 10.690222222222223)"
12, 32/16,S,,DA,26, 32/17- 32/16,284.7475453,1.1,74.834183,,10.69022222,79.09805556,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09805555555555 10.690222222222223, 79.10022222222221 10.690555555555555)"
13, 32/15,S,,DA,26, 32/16- 32/15,240.897049,1.26,74.994423,,10.69055556,79.10022222,GOOD,Available,,CANA,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10022222222221 10.690555555555555, 79.10230555555555 10.690833333333334)"
14, 32/14,S,,DA,26, 32/15- 32/14,228.3483438,1.63,75.011482,,10.69083333,79.10230556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10230555555555 10.690833333333334, 79.10402777777777 10.691083333333333)"
15, 32/13,T,2W,DC,26, 32/14- 32/13,192.5033269,0.97,76.400063,"0°25'17"" R",10.69108333,79.10402778,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10402777777777 10.691083333333333, 79.10633333333332 10.69138888888889)"
16, 32/12,T,,DC,26, 32/13- 32/12,254.4890301,1.42,76.764046,"18°6'41"" L",10.69138889,79.10633333,GOOD,Available,"HT,LT -2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10633333333332 10.69138888888889, 79.10880555555555 10.692583333333333)"
17, 32/11,T,,DC,26, 32/12- 32/11,300.0194083,0.47,77.011482,"41°25'14"" R",10.69258333,79.10880556,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10880555555555 10.692583333333333, 79.11149999999999 10.69186111111111)"
