S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,30,T,,SB+1.5,23.5,29-30,238.8249326,5.03,145.463943,"23°10'45"" L",10.88644444,78.11358333,,,,,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11358333333332 10.886444444444445, 78.11380555555554 10.883666666666667)"
22,31,S,,SA+1.5,23.5,30-31,310.0954831,2.1,151.384598,,10.88366667,78.11380556,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11380555555554 10.883666666666667, 78.11399999999999 10.881222222222222)"
23,32,T,,SB+1.5,23.5,31-32,269.7921498,4.5,154.511154,"18°48'18"" R",10.88122222,78.114,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11399999999999 10.881222222222222, 78.11352777777778 10.879444444444445)"
24,33,T,,SC+1.5,23.5,32-33,203.8416948,1.78,157.970749,"29°26'18"" L",10.87944444,78.11352778,,,,,GOOD,Available,LT-3No,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11352777777778 10.879444444444445, 78.11399999999999 10.877694444444446)"
25,34,T,,SC,22,33-34,201.4725215,3.21,159.038361,"35°26'27"" L",10.87769444,78.114,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11399999999999 10.877694444444446, 78.11541666666666 10.876527777777778)"
26,35,S,,SA,22,34-35,200.8747161,2.06,157.122086,,10.87652778,78.11541667,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11541666666666 10.876527777777778, 78.11683333333333 10.875361111111111)"
27,36,T,,SC,22,35-36,200.9470425,6.39,154.120834,"4°47'20"" L",10.87536111,78.11683333,,,,,GOOD,Available,LT-2No,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11683333333333 10.875361111111111, 78.11755555555555 10.87488888888889)"
28,37,T,,SC,22,36-37,95.41968918,2.15,151.580093,"35°11'32"" R",10.87488889,78.11755556,,,,,GOOD,Available,LT -2No,Railway Track,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11755555555555 10.87488888888889, 78.11844444444444 10.872444444444445)"
29,38,T,2W,SC,22,37-38,286.0399935,3.74,151.601135,"4°19'57"" L",10.87244444,78.11844444,,,,,GOOD,Available,LT -2No,Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11844444444444 10.872444444444445, 78.11947222222221 10.87025)"
30,39,S,,SA,22,38-39,268.5151037,4.1,152.740189,,10.87025,78.11947222,,,,,GOOD,Available,"LT,HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11947222222221 10.87025, 78.12041666666666 10.868027777777778)"
