,Tower No,Tower Type & Supspension/Tenion,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AMAMACHATRAM,T,T,2W,20,,,,,,,,78.77675,10.53938889,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77674999999999 10.539388888888888, 78.77694444444444 10.539305555555556)"
3,T.NO.1 DC,DB+6,T,,30,GANTRY -1,YES,,22.84731932,1.17,118,"4°0'35.26""",78.77694444,10.53930556,GOOD,GOOD,LT LINE-2 CROSSING,"TAR ROAD CROSSING,POND CROSSING",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77694444444444 10.539305555555556, 78.779 10.538611111111111)"
4,T.NO.2 DC ,DB,T,,24,01-Feb,YES,,240.3539057,1.22,117,"13°37'57.93""",78.779,10.53861111,GOOD,GOOD,,,WATER LOGGED,INSIDE THE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.779 10.538611111111111, 78.78136111111111 10.538416666666667)"
5,T.NO.3 DC,DA,S,,26,02-Mar,NO,,258.2130903,1.8,118,,78.78136111,10.53841667,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78136111111111 10.538416666666667, 78.78344444444444 10.538)"
6,T.NO.4 DC,DC,T,,26,03-Apr,NO,,232.7939003,1.92,112,"21°27'32.66""",78.78344444,10.538,GOOD,GOOD,,,CULTIVATION LAND,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78344444444444 10.538, 78.7858611111111 10.538444444444444)"
7,T.NO.5 DC,DB+9,T,,33,04-May,NO,,269.9481432,1.76,116,"11°16'20.99""",78.78586111,10.53844444,GOOD,GOOD,LT LINE-1 CROSSING,RAIL ROAD CROSING,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7858611111111 10.538444444444444, 78.78738888888888 10.539027777777777)"
8,T.NO.6 DC,DC,T,,26,05-Jun,YES,,177.9100897,1.25,112,"25°20'52.50""",78.78738889,10.53902778,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78738888888888 10.539027777777777, 78.78947222222222 10.53888888888889)"
9,T.NO.7 DC,DD,T,,28,06-Jul,YES,,228.6328935,1.72,116,"31°12'40.21""",78.78947222,10.53888889,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78947222222222 10.53888888888889, 78.79105555555556 10.537777777777778)"
10, T.NO.8 DC,DD,T,,28,07-Aug,NO,,213.6632865,2.97,119,"54°38'41.29""",78.79105556,10.53777778,GOOD,GOOD,LT LINE-2 CROSSING,TAR ROAD CROSSING(UNDER CONSTRUCTION),PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79105555555556 10.537777777777778, 78.79319444444444 10.538527777777778)"
11,T.NO.9 DC,DC+6,T,2W,32,08-Sep,YES,,246.6779277,2.94,114,"23°39'20.83""",78.79319444,10.53852778,GOOD,GOOD,LT LINE-1 CROSSING,"TAR ROAD,POND,",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79319444444444 10.538527777777778, 78.79541666666667 10.540583333333334)"
12,T.NO.10 DC,DD+6,T,,34,09-Oct,YES,,335.4101966,1.22,109,"48°21'43.70""",78.79541667,10.54058333,GOOD,GOOD,,POND CROSSING,WATER LOGGED,INSIDE THE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79541666666667 10.540583333333334, 78.79722222222222 10.540444444444445)"
13,T.NO.11 DC,DB,T,,24,10-Nov,NO,,196.918765,2.87,101,"15°2'13.65""",78.79722222,10.54044444,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79722222222222 10.540444444444445, 78.79944444444445 10.540833333333333)"
14,T.NO.12 DC,DA,S,,26,11-Dec,NO,,248.4069242,1.25,105,,78.79944444,10.54083333,GOOD,GOOD,11KV LINE-1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79944444444445 10.540833333333333, 78.80147222222222 10.541194444444445)"
15,T.NO.13 DC,DA+6,S,,32,Dec-13,NO,,224.4147945,2.67,106,,78.80147222,10.54119444,GOOD,GOOD,,POND CROSSING,WATER LOGGED,INSIDE THE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80147222222222 10.541194444444445, 78.80383333333333 10.541611111111111)"
16,T.NO.14 DC ,DB+6,T,,30,13-14,YES,,263.6967956,3.12,103,"13°39'24.80""",78.80383333,10.54161111,GOOD,GOOD,,"TAR ROAD,POND,",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80383333333333 10.541611111111111, 78.80602777777777 10.541472222222222)"
17,T.NO.15 DC ,DD,T,,28,14-15,YES,,240.60133,3.27,103,"41°30'44.06""",78.80602778,10.54147222,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80602777777777 10.541472222222222, 78.80741666666667 10.542527777777778)"
18,T.NO.16 DC,DA,S,,26,15-16,NO,,194.010309,2.92,101,,78.80741667,10.54252778,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80741666666667 10.542527777777778, 78.80908333333333 10.543888888888889)"
19,T.NO.17 DC,DC,T,,26,16-17,NO,,235.9872878,1.21,100,"18°39'52.65""",78.80908333,10.54388889,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80908333333333 10.543888888888889, 78.81041666666667 10.546)"
20,T.NO.18 DC,DA,S,,26,17-18,NO,,274.1167634,2.86,101,,78.81041667,10.546,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81041666666667 10.546, 78.81191666666666 10.548416666666666)"
21,T.NO.19 DC,DA,S,,26,18-19,NO,,313.2315437,3.17,99,,78.81191667,10.54841667,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81191666666666 10.548416666666666, 78.81313888888889 10.550277777777778)"
22,T.NO.20 DC,DD,T,,28,19-20,NO,,245.7478382,2.29,96,"33°18'8.54""",78.81313889,10.55027778,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81313888888889 10.550277777777778, 78.81533333333333 10.551250000000001)"
23,T.NO.21(LILO POINT) DC,DD,T,3W,28,20-21,YES,,264.1968963,4.52,96,"101°0'43.42""",78.81533333,10.55125,GOOD,GOOD,,,PLAIN LAND,TAPPING POINT CONNECTING TO T.NELLUR 110KV SS ONE EARTH WIRE CONNECTING TO T.NELLUR 110KV SS AND OUR EARTH WIRE CONTINUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81533333333333 10.551250000000001, 78.81555555555555 10.550277777777778)"
24,T.NO.22,DA,S,,26,21-22,YES,,109.658561,2.75,96,,78.81555556,10.55027778,GOOD,GOOD,,"TAR ROAD,MUD ROAD CROSSING",PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81555555555555 10.550277777777778, 78.81652777777778 10.548055555555555)"
25,T.NO.23,DC,T,,26,22-23,YES,,268.3915051,2.95,96,"16°46'30.60""",78.81652778,10.54805556,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81652777777778 10.548055555555555, 78.818 10.546333333333333)"
26,T.NO.24,DA,S,,26,23-24,NO,,249.9279896,1.91,93,,78.818,10.54633333,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.818 10.546333333333333, 78.81969444444444 10.544416666666667)"
27,T.NO.25,DA,S,,26,24-25,NO,,282.2268591,1.27,96,,78.81969444,10.54441667,GOOD,GOOD,LT LINE-2 CROSSING,"TAR ROAD,NALA, CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81969444444444 10.544416666666667, 78.82133333333333 10.54261111111111)"
28,T.NO.26,DA,S,,26,25-26,YES,,267.8245694,2.35,97,,78.82133333,10.54261111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82133333333333 10.54261111111111, 78.82283333333334 10.540944444444444)"
29,T.NO.27,DD,T,,28,26-27,NO,,245.8149711,1.7,100,"46°24'4.57""",78.82283333,10.54094444,GOOD,GOOD,,TAR ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82283333333334 10.540944444444444, 78.82263888888889 10.538416666666667)"
30,T.NO.28,DA,S,,26,27-28,YES,,283.019434,1.87,101,,78.82263889,10.53841667,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82263888888889 10.538416666666667, 78.82244444444444 10.53588888888889)"
31,T.NO.29,DA,S,,26,28-29,NO,,279.9464234,1.15,99,,78.82244444,10.53588889,GOOD,GOOD,LT LINE-2 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82244444444444 10.53588888888889, 78.82222222222222 10.533388888888888)"
32,T.NO.30,DB,T,,24,29-30,YES,,276.1340254,2.65,100,"14°56'24.78""",78.82222222,10.53338889,GOOD,GOOD,LT LINE-2 CROSSING,TAR ROAD CROSSING,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82222222222222 10.533388888888888, 78.82263888888889 10.531027777777778)"
33,T.NO.31,DA,S,,26,30-31,YES,,265.8364159,2.54,99,,78.82263889,10.53102778,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82263888888889 10.531027777777778, 78.82480555555556 10.527861111111111)"
