,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY NAGUDI,GANTRY,2W,T,20,,YES,,,,42,,79.10386111,10.15230556,GOOD,,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1038611111111 10.152305555555555, 79.10388888888889 10.1525)"
,T.NO 1,T,,DC,26,GANTRY-1,YES,,23.34523506,2.25,37,"17°50'52.36""",79.10388889,10.1525,GOOD,GOOD,YES,"11 KV ,33 KV",MUD,PLAIN,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10388888888889 10.1525, 79.10463888888889 10.153944444444445)"
2,T.NO-2,T,,DB,24,1--2,YES,,178.4740878,2.98,39,"8°45'19.98""",79.10463889,10.15394444,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10463888888889 10.153944444444445, 79.10572222222221 10.15538888888889)"
3,T.NO-3,T,,DD,28,02-Mar,YES,,200.204895,2.09,37,"51°6'40.52""",79.10572222,10.15538889,GOOD,GOOD,NO,,MUD,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10572222222221 10.15538888888889, 79.10830555555555 10.155527777777777)"
4,T.NO-4,S,,DA,26,03-Apr,YES,,284.2534081,2.94,33,,79.10830556,10.15552778,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10830555555555 10.155527777777777, 79.11102777777778 10.155694444444444)"
5,T.NO-5,T,,DD,28,04-May,YES,,300.4812806,2.99,33,"58°8'33.31""",79.11102778,10.15569444,GOOD,GOOD,NO,11 KV,TAAR ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11102777777778 10.155694444444444, 79.11241666666666 10.153777777777778)"
6,T.NO-6,S,,DA,26,05-Jun,YES,,259.1235227,2.99,34,,79.11241667,10.15377778,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11241666666666 10.153777777777778, 79.11361111111111 10.152111111111111)"
7,T.NO-7,S,,DA,26,06-Jul,NO,,227.5016483,1.9,35,,79.11361111,10.15211111,GOOD,GOOD,NO,,,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11361111111111 10.152111111111111, 79.11477777777777 10.150527777777778)"
8,T.NO-8,T,,DC,26,07-Aug,YES,,217.0368632,1.99,35,"17°49'26.60""",79.11477778,10.15052778,GOOD,GOOD,NO,"11KV ,LT",TAAR ROAD,PLAIN,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11477777777777 10.150527777777778, 79.11561111111111 10.148083333333332)"
9,T.NO-9,S,,DA,26,08-Sep,YES,,284.9298159,2.09,36,,79.11561111,10.14808333,GOOD,GOOD,NO,"11KV ,LT",TAAR ROAD,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11561111111111 10.148083333333332, 79.11625 10.145999999999999)"
