S. No ,Tower No, Supspension/Tenion,JOINT BOX,Tower Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTHING AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO-138,T,2W,SB,SC,27,137-138,YES,223.6179778,2.17,15,"13°58'27""",11.05930556,79.66083333,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66083333333334 11.059305555555556, 79.65947222222223 11.061083333333334)"
20,T.NO-139,S,,SA,SC,26,138-139,NO,245,1.87,14,,11.06108333,79.65947222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65947222222223 11.061083333333334, 79.65783333333334 11.063083333333333)"
21,T.NO-140,S,,SA,SC,29,139-140,NO,285.4908055,2.53,14,,11.06308333,79.65783333,GOOD,GOOD,NO,,"2nos NALA, CANAL, TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65783333333334 11.063083333333333, 79.65663888888889 11.064583333333333)"
22,T.NO-141,T,,SC,SC,26,140-141,NO,212.2498528,2.32,15,"21°58'29""",11.06458333,79.65663889,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65663888888889 11.064583333333333, 79.65461111111112 11.065722222222224)"
23,T.NO-142,S,,SA,SC,26,141-142,NO,252.6598504,1.61,14,,11.06572222,79.65461111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65461111111112 11.065722222222224, 79.6525 11.06686111111111)"
24,T.NO-143,S,,SA,SC,26,142-143,NO,263.6095598,2.06,17,,11.06686111,79.6525,GOOD,GOOD,NO,LT,,CULTIVATION,OUR EARTH WIRE IS CONNECT TO 110KV CROSSING TOWER FROM THIS TOWER,30 M EXTRA CONSIDERED IN DRUM LENGTH FOR DIAMOND ARRANGMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6525 11.06686111111111, 79.6503888888889 11.068027777777777)"
25,T.NO-144,T,,SD,SC,28,143-144,YES,265.452444,1.36,15,"33°44'16""",11.06802778,79.65038889,GOOD,NO EARTH WIRE,NO,"33KV, LT,  11OKV LINE CROSSING ABOVE OUR LINE",,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6503888888889 11.068027777777777, 79.64933333333335 11.07)"
26,T.NO-145,S,,SA,SC,26,144-145,NO,247.3236746,1.56,13,,11.07,79.64933333,GOOD,GOOD,NO,230KV LINE CROSSING ABOVE OUR LINE,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64933333333335 11.07, 79.64833333333334 11.07188888888889)"
27,T.NO-146,S,,SA,SC,29,145-146,YES,235.2551806,1.19,17,,11.07188889,79.64833333,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64833333333334 11.07188888888889, 79.64744444444445 11.073472222222222)"
28,T.NO-147,S,,SA,SC,29,146-147,NO,200.4794254,1.86,18,,11.07347222,79.64744444,GOOD,GOOD,NO,LT,"TAAR ROAD, RIVER, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64744444444445 11.073472222222222, 79.64597222222223 11.076166666666666)"
29,T.NO-148,T,,SB,SC,27,147-148,YES,337.8313189,1.69,14,"14°25'31""",11.07616667,79.64597222,GOOD,GOOD,NO,"LT, 2nos 11KV",FLAT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64597222222223 11.076166666666666, 79.64566666666667 11.077361111111111)"
30,T.NO-149,S,,SA,SC,29,148-149,YES,136.0624856,0.6,16,,11.07736111,79.64566667,GOOD,GOOD,NO,33KV,TAAR ROAD (NH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64566666666667 11.077361111111111, 79.64519444444446 11.079)"
31,T.NO-150,T,,DD,DC,28,149-150,YES,189.4465624,1.51,16,"32°44'11""",11.079,79.64519444,GOOD,GOOD,NO,2nos 11KV,MUD ROAD,PLAIN,"POND, OUR EARTH WIRE CONNECT TO ANOTHER TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64519444444446 11.079, 79.64511111111112 11.079083333333333)"
32,MAYILADUDURAI 110KV GANTRY,GANTRY,2W,GANTRY,TB,20,150-GANTY,GANTRY,14.86606875,,17,,11.07908333,79.64511111,GOOD,NO EARTH WIRE,,11KV,,SS,NO EARTH WIRE,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
