S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO :  127/1,T,3W,DC on DC,28,,,13.25,3.95,2.6,20.4,116,,12.35168793,79.37982786,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3798278551548 12.3516879323869, 79.3791302293539 12.3544770944863)"
2,126,T,,SC on DC,26, 127/1 - 126,318.9880159,13.55,4.15,2.9,19.7,121,0°49'29''RT,12.35447709,79.37913023,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3791302293539 12.3544770944863, 79.3784713279455 12.3569591436535)"
3,125,S,,SC on DC,26,126 - 125,285.019762,,,,,122,,12.35695914,79.37847133,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3784713279455 12.3569591436535, 79.3777556810528 12.3596849385648)"
4,124,T,,SC on DC,26,125 - 124,312.6693787,13.5,4.15,2.9,20.4,127,9°28'60''LT,12.35968494,79.37775568,GOOD,Available,LT-2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3777556810528 12.3596849385648, 79.3774795811623 12.3627025913447)"
5,123,S,,SC on DC,26,124 - 123,336.4210731,,,,,125,,12.36270259,79.37747958,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3774795811623 12.3627025913447, 79.3772310577332 12.3657204117625)"
6,122,S,,SC on DC,26,123 - 122,336.1842896,,,,,123,,12.36572041,79.37723106,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3772310577332 12.3657204117625, 79.3770049978047 12.3680874612182)"
7,121,S,,SC on DC,26,122 - 121,264.2530354,,,,,124,,12.36808746,79.377005,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3770049978047 12.3680874612182, 79.3767876550555 12.3705269303172)"
8,120,S,,SC on DC,26,121 - 120,272.1460072,,,,,127,,12.37052693,79.37678766,GOOD,Available,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3767876550555 12.3705269303172, 79.376540640369 12.3733006697148)"
9,119,S,,SC on DC,26,120 - 119,309.2647865,,,,,127,,12.37330067,79.37654064,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.376540640369 12.3733006697148, 79.3764019198715 12.3749089054763)"
10,118,T,,SC on DC,26,119 - 118,179.7973925,13.4,5.15,2.3,35,130,0°45'47''RT,12.37490891,79.37640192,GOOD,Available,LT,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3764019198715 12.3749089054763, 79.3763136584311 12.3757942859083)"
11,117,T,,SC on DC,26,118 - 117,99.66322921,11.55,4.6,0.5,36.1,130,0°47'48''LT,12.37579429,79.37631366,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3763136584311 12.3757942859083, 79.3761155102401 12.3781073559075)"
12,116,S,,SC on DC,26,117 - 116,258.036083,,,,,134,,12.37810736,79.37611551,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3761155102401 12.3781073559075, 79.3758981674909 12.3805287200957)"
13,115,T,2W,SC on DC,26,116 - 115,270.151094,13.15,4.15,2.5,24.4,131,17°12'26''RT,12.38052872,79.37589817,GOOD,Available,LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3758981674909 12.3805287200957, 79.3749645072966 12.3828011378645)"
