,Tower No, Supspension/Tenion,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTHING AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY THIRUVARUR 230 KV,T,GANTRY,,20,,YES,,,19,,79.61452777777777,10.786416666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61452777777777 10.786416666666666, 79.61494444444443 10.786444444444445)"
2,T.NO 1,T,DC,DC,32,GANTRY-1,YES,45.09988913511872,-,18,"15°16'34.52""",79.61494444444443,10.786444444444445,GOOD,NO EARTH WIRE,NO,,,,NO EARTH WIREBUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61494444444443 10.786444444444445, 79.61691666666665 10.786055555555555)"
3,T.NO-2,T,DC,DC,32,1--2,NO,221.41589825484527,-,16,"21°15'52.83""",79.61691666666665,10.786055555555555,GOOD,GOOD,NO,"66KV,33 KV, 110KV CROSSING BELOW OUR LINE",,PLAIN LAND,"BUSHES, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61691666666665 10.786055555555555, 79.61866666666666 10.78636111111111)"
4,T.NO-3,S,DA,DC,26,2-3,YES,193.82982226685345,2.77,16,,79.61866666666666,10.78636111111111,GOOD,GOOD,NO,11 KV,TAAR ROAD,PLAINLAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61866666666666 10.78636111111111, 79.62041666666666 10.786694444444445)"
5,T.NO-4,S,DA,DC,26,3-4,YES,194.36306233438492,2.53,19,,79.62041666666666,10.786694444444445,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62041666666666 10.786694444444445, 79.62194444444444 10.786999999999999)"
6,T.NO-5,T,DC,DC,26,4-5,NO,171.40595088852663,-,12,"17°59'44.38""",79.62194444444444,10.786999999999999,GOOD,GOOD,NO,"11 KV , 33 KV",,CULTIVATIONLAND,AT PRESENT WATER FOR NEXTCROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62194444444444 10.786999999999999, 79.62413888888888 10.78825)"
7,T.NO-6,S,DA,DC,26,5-6,NO,276.72549575346324,1.28,15,,79.62413888888888,10.78825,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62413888888888 10.78825, 79.62619444444444 10.789416666666666)"
8,T.NO-7,S,DA,DC,26,6-7,YES,257.62375666851847,2.12,15,,79.62619444444444,10.789416666666666,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62619444444444 10.789416666666666, 79.62813888888888 10.790583333333334)"
9,T.NO-8,S,DA,DC,26,7-8,YES,249.35917869611296,1.82,18,,79.62813888888888,10.790583333333334,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62813888888888 10.790583333333334, 79.63027777777778 10.791833333333333)"
10,T.NO-9,S,DA,DC,29,8-9,YES,270.65106687393643,2.17,15,,79.63027777777778,10.791833333333333,GOOD,GOOD,NO,LT,"TAAR ROAD, CANAL",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63027777777778 10.791833333333333, 79.63230555555555 10.793)"
11,T.NO-10,S,DA,DC,29,9-10,YES,258.9903473104741,1.97,18,,79.63230555555555,10.793,GOOD,GOOD,NO,11KV,MUD ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63230555555555 10.793, 79.63430555555556 10.794138888888888)"
12,T.NO-11,S,DA,DC,29,10-11,YES,250.30581295687082,1.25,18,,79.63430555555556,10.794138888888888,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63430555555556 10.794138888888888, 79.63627777777778 10.795305555555556)"
