S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,21,S,DA,26,20-21,216.73244179886106,1.49,11.537064,,11.149055555555556,79.76197222222223,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76197222222223 11.149055555555556, 79.76208333333334 11.146722222222222)"
22,22,T,DC+6,32,21-22,255.96373125620477,1.27,13.328804,"2°20'46"" L",11.146722222222222,79.76208333333334,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76208333333334 11.146722222222222, 79.76225 11.14472222222222)"
23, LILO :22/1,T,DC+6,32,22- 22/1,224.80790590998126,1.09,10.131187,"9°10'45"" R",11.14472222222222,79.76225,GOOD,NO E/W,HT,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76225 11.14472222222222, 79.76219444444445 11.143666666666666)"
24,23,T,DC+6,32, 22/1-23,115.88407964493763,2.36,10.720247,"29°49'46"" L",11.143666666666666,79.76219444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76219444444445 11.143666666666666, 79.76327777777777 11.141388888888889)"
25,24,S,DA,26,23-24,277.6779082387301,1.76,7.795719,,11.141388888888889,79.76327777777777,GOOD,Available,"HT-2NO,LT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76327777777777 11.141388888888889, 79.76436111111111 11.139222222222221)"
26,25,T,DB,26,24-25,268.4673552881992,2.44,6.852276,"4°56'33"" L",11.139222222222221,79.76436111111111,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76436111111111 11.139222222222221, 79.76513888888888 11.137916666666666)"
27,26,S,DA,26,25-26,168.19367735479085,3.61,6.59956,,11.137916666666666,79.76513888888888,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76513888888888 11.137916666666666, 79.76638888888888 11.13586111111111)"
28,27,S,DA,26,26-27,262.8431454412904,1.76,8.945148,,11.13586111111111,79.76638888888888,GOOD,Available,HT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76638888888888 11.13586111111111, 79.76747222222222 11.133888888888889)"
29,28,S,DA+3,29,27-28,249.6782050220725,0.92,10.041886,,11.133888888888889,79.76747222222222,GOOD,Available,"HT,LT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76747222222222 11.133888888888889, 79.76888888888888 11.131583333333333)"
30,29,T,DC,26,28-29,297.98248453020454,1.16,9.428381,"33°38'36"" R",11.131583333333333,79.76888888888888,GOOD,Available,"LT,HT",CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76888888888888 11.131583333333333, 79.76880555555556 11.129222222222223)"
31,30,S,DA,26,29-30,263.33877094064377,1.27,10.469162,,11.129222222222223,79.76880555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76880555555556 11.129222222222223, 79.76863888888889 11.126944444444446)"
32,31,S,DA,26,30-31,251.54079796387893,1.09,10.335233,,11.126944444444446,79.76863888888889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76863888888889 11.126944444444446, 79.76847222222221 11.124583333333334)"
33,32,S,DA,26,31-32,261.17649288642065,2.87,10.026548,,11.124583333333334,79.76847222222221,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76847222222221 11.124583333333334, 79.76830555555556 11.122555555555556)"
34,33,T,DC,26,32-33,225.04619099014027,1.32,9.68407099999999,"9°54'3"" L",11.122555555555556,79.76830555555556,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76830555555556 11.122555555555556, 79.76855555555555 11.120111111111111)"
35,34,S,DA,26,33-34,253,1.49,7.10326,,11.120111111111111,79.76855555555555,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76855555555555 11.120111111111111, 79.76830555555556 11.118027777777778)"
36,35,S,DA,26,34-35,254,1.92,9.31371599999999,,11.118027777777778,79.76830555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76830555555556 11.118027777777778, 79.76805555555555 11.115722222222223)"
37,36,S,DA,26,35-36,255.05436354735232,1.14,11.460393,,11.115722222222223,79.76805555555555,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76805555555555 11.115722222222223, 79.76777777777778 11.113527777777778)"
38,37,T,DB,26,36-37,245.26845275468904,1.78,9.823384,"22°39'21"" L",11.113527777777778,79.76777777777778,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76777777777778 11.113527777777778, 79.76847222222221 11.110944444444444)"
39,38,T,DC,26,37-38,295.58347470691274,1.99,8.559652,"9°7'56"" R",11.110944444444444,79.76847222222221,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76847222222221 11.110944444444444, 79.76875 11.108527777777777)"
40,39,T,DB,26,38-39,268.2625268727971,1.63,7.890622,"0°26'33"" R",11.108527777777777,79.76875,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76875 11.108527777777777, 79.76891666666667 11.106777777777777)"
41,40,T,DC+3,29,39-40,195.82111834505804,1.56,7.231097,"14°3'56"" R",11.106777777777777,79.76891666666667,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76891666666667 11.106777777777777, 79.76872222222222 11.105444444444444)"
42,41,T,DC,26,40-41,148.24490884693705,0.77,7.396118,"9°43'3"" L",11.105444444444444,79.76872222222222,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76872222222222 11.105444444444444, 79.76877777777777 11.102638888888889)"
43,42,T,DC,26,41-42,311.5243218020723,0.93,15.222136,"32°24'6"" L",11.102638888888889,79.76877777777777,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76877777777777 11.102638888888889, 79.76966666666667 11.101305555555555)"
44,43,S,DA,26,42-43,176.23855739091357,0.39,15.4492949999999,,11.101305555555555,79.76966666666667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76966666666667 11.101305555555555, 79.77077777777778 11.09963888888889)"
45,44,S,DA+3,29,43-44,218.1517749749449,1.18,16.5660969999999,,11.09963888888889,79.77077777777778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77077777777778 11.09963888888889, 79.77172222222222 11.098111111111113)"
46,45,S,DA,26,44-45,198.19517100524234,1.56,15.585095,,11.098111111111113,79.77172222222222,GOOD,Available,LT -2NO,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77172222222222 11.098111111111113, 79.77277777777778 11.0965)"
47,46,S,DA,26,45-46,213.30572848007986,1.27,10.4300789999999,,11.0965,79.77277777777778,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77277777777778 11.0965, 79.77374999999999 11.095111111111112)"
