S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Vaitheswaran koil SS),Gantry,2W,H-POLE,12,,,,20.834515,,11.19925,79.71602778,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71602777777778 11.199250000000001, 79.71616666666667 11.199694444444445)"
2,1,T,,DC,26,Gantry-1,49.85185167,1.09,20.816883,"29°40'11"" R",11.19969444,79.71616667,GOOD,NO E/W,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71616666666667 11.199694444444445, 79.71716666666667 11.200583333333332)"
3,2,T,,DC,26,01-Feb,147.7016728,1.26,19.957102,"60°34'52"" R",11.20058333,79.71716667,GOOD,Available,"LT,HT -3NO",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71716666666667 11.200583333333332, 79.71913888888889 11.199944444444444)"
4,3,S,,DC,26,02-Mar,225.8114234,1.71,20.36953,"1°37'43"" R",11.19994444,79.71913889,GOOD,Available,"LT,HT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71913888888889 11.199944444444444, 79.72163888888889 11.199027777777777)"
5,4,S,,DC,26,03-Apr,291.1071872,1.96,16.923981,,11.19902778,79.72163889,GOOD,Available,"LT,HT -3NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72163888888889 11.199027777777777, 79.72411111111111 11.19813888888889)"
6,5,S,,DC,26,04-May,288.4010664,2.14,16.10511,,11.19813889,79.72411111,GOOD,Available,"LT,HT -2NO",CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72411111111111 11.19813888888889, 79.72672222222222 11.197277777777778)"
7,6,T,,DC,26,05-Jun,299.4346592,1.09,19.313908,"9°15'49"" L",11.19727778,79.72672222,GOOD,Available,,MLD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72672222222222 11.197277777777778, 79.7291388888889 11.196861111111112)"
8,7,S,,DC,26,06-Jul,269.7739885,1.61,14.48255,,11.19686111,79.72913889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7291388888889 11.196861111111112, 79.73180555555555 11.196416666666666)"
9,8,S,,DC,26,07-Aug,294.2968188,2.37,14.298697,,11.19641667,79.73180556,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73180555555555 11.196416666666666, 79.73441666666666 11.195972222222222)"
10,9,S,,DC,26,08-Sep,288.2269825,2.91,14.012569,,11.19597222,79.73441667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73441666666666 11.195972222222222, 79.73705555555556 11.195583333333333)"
