S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 107 ,T,3W,DC,26,,,,135.036148,,10.92716667,78.15283333,,,,,GOOD,,,,AGRI,,,ADSS,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15283333333333 10.927166666666666, 78.15280555555556 10.929277777777777)"
2,107/1,T,,DC,26,108 -108/1,231.9376199,2.85,131.230042,"22°46'6"" L",10.92927778,78.15280556,,,,,GOOD,Available,110 KV,Erode-Trichy,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15280555555556 10.929277777777777, 78.15286111111112 10.929388888888889)"
3,Gantry               (Puliyur SS),Gantry,2W,H-POLE,12,108/1-Gantry ,17,2.57,132.317795,,10.92938889,78.15286111,,,,,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
