S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T/P - 257,T,KCR+3,=23+3,,,,63,,10.943942349404,78.0954977497458,GOOD,,,,PLAIN,Velliyanai spur line Tapping ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954977497458 10.943942349404, 78.0954600311815 10.9432873036712)"
2,TN - 1,H POLE,DP,15,"=CONCATENATE(B6, "" : "", B7)",74.6361356299382,4.7,58,1°10'21''RT,10.9432873036712,78.0954600311815,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954600311815 10.9432873036712, 78.0954288505017 10.942446263507)"
3,TN - 2,H POLE,DP,15,"=CONCATENATE(B7, "" : "", B8)",95.1723733435997,3.6,57,26°15'34''LT,10.942446263507,78.0954288505017,GOOD,NO E/W,,110KV IYYARMALAI - PUGALU UP XING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954288505017 10.942446263507, 78.0951355677098 10.9419034514576)"
4,TN - 3,T,CZ,25,"=CONCATENATE(B8, "" : "", B9)",70.1229187860059,4.1,54,18°1'25''RT,10.9419034514576,78.0951355677098,GOOD,NO E/W,"LT , HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0951355677098 10.9419034514576, 78.0947199929505 10.9396300278604)"
5,TN - 4,S,AXP,23,"=CONCATENATE(B9, "" : "", B10)",257.759770515417,5.3,56,,10.9396300278604,78.0947199929505,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0947199929505 10.9396300278604, 78.0944100301712 10.9373499825596)"
6,TN - 5,S,AXP,23,"=CONCATENATE(B10, "" : "", B11)",256.687130706803,3.6,59,,10.9373499825596,78.0944100301712,GOOD,AVAILABLE,LT -2,,PLAIN,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0944100301712 10.9373499825596, 78.0940600018948 10.9352199733257)"
7,TN - 6,S,AXP,23,"=CONCATENATE(B11, "" : "", B12)",240.898490526006,4.5,60,,10.9352199733257,78.0940600018948,GOOD,AVAILABLE,LT -3,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0940600018948 10.9352199733257, 78.0939699802547 10.9332300256937)"
8,TN - 7,T,BY,25,"=CONCATENATE(B12, "" : "", B13)",222.523399972905,2.9,63,1°58'58''LT,10.9332300256937,78.0939699802547,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0939699802547 10.9332300256937, 78.0937900207936 10.9309799876064)"
9,TN - 8,S,AXP+3,26,"=CONCATENATE(B13, "" : "", B14)",251.874360652388,4.3,54,,10.9309799876064,78.0937900207936,GOOD,NO E/W,LT -2,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0937900207936 10.9309799876064, 78.0940099619328 10.9281800128519)"
10,TN - 9,S,AXP+3,26,"=CONCATENATE(B14, "" : "", B15)",312.9124572754,4.1,56,,10.9281800128519,78.0940099619328,GOOD,NO E/W,HT -2,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0940099619328 10.9281800128519, 78.094190005213 10.9257200080901)"
11,TN - 10,T,BY,25,"=CONCATENATE(B15, "" : "", B16)",275.053801010822,5.3,45,12°52'50''RT,10.9257200080901,78.094190005213,GOOD,AVAILABLE,"LT -3, HT -3",ROAD,PLAIN,,PB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.094190005213 10.9257200080901, 78.0948899779468 10.9234399627894)"
12,TN - 11,S,AXP+3,26,"=CONCATENATE(B16, "" : "", B17)",265.780940137608,3.6,54,4°1'12''RT,10.9234399627894,78.0948899779468,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0948899779468 10.9234399627894, 78.0956937186419 10.9213555511087)"
13,LILO - 12,T,AXP+3,26,"=CONCATENATE(B17, "" : "", B18)",248.948107250325,4.5,56,,10.9213555511087,78.0956937186419,GOOD,AVAILABLE,LT,,PLAIN,Thanthonimalai SS Tapping,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G18),,,,,,,,,,,,,,=F20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,=F21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
