S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 14A /30-1,T,DC,26,,,2.16,95.978378,,10.7115,78.60974999999999,GOOD,,,,PLAIN, LILO Trichy - Alundhur II,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60974999999999 10.7115, 78.61013888888888 10.711388888888887)"
2, 30-2,T,DB,25, 30/1- 30/2,44.620239259792065,2.73,97.329041,"19°56'24""L",10.711388888888887,78.61013888888888,GOOD,Available,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61013888888888 10.711388888888887, 78.61141666666666 10.710555555555555)"
3, 30-3,S,DA,26, 30/2- 30/3,168.76578703651668,1.99,96.719307,,10.710555555555555,78.61141666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61141666666666 10.710555555555555, 78.61308333333332 10.709499999999998)"
4, 30-4,T,DC,26, 30/3- 30/4,215.08409603406798,2.51,98.326294,"31°9'36""R",10.709499999999998,78.61308333333332,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61308333333332 10.709499999999998, 78.61566666666666 10.709416666666666)"
5, 30-5,T,DC,26, 30/4- 30/5,284.7090939972626,2.03,97.6888349999999,"31°35'60""L",10.709416666666666,78.61566666666666,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61566666666666 10.709416666666666, 78.61655555555555 10.708833333333333)"
6, 30-6,T,DB,25, 30/5- 30/6,115.25307927908183,2.94,100.232521,"7°19'48""R",10.708833333333333,78.61655555555555,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61655555555555 10.708833333333333, 78.61841666666666 10.707944444444443)"
7, 30-7,T,DB,25, 30/6- 30/7,228.14164661529347,3.71,101.267868,"6°55'48""L",10.707944444444443,78.61841666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61841666666666 10.707944444444443, 78.619 10.707583333333332)"
8, 30-8,T,DC,26, 30/7- 30/8,73.15270077548688,1.85,103.198845,"66°4'48""L",10.707583333333332,78.619,GOOD,Available,"11 KV,HT -2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.619 10.707583333333332, 78.61897222222221 10.707472222222222)"
9, Gantry (Manikandam SS),Gantry,H-POLE,12, 30/8- Gantry,10.393539058508539,,102.220139,,10.707472222222222,78.61897222222221,GOOD,NO E/W,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
