S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Tapping Point at 35,T,3W,DC+7.5,33.5,,,4.16,168.241791,,11.00797222,77.96769444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96769444444445 11.007972222222222, 77.96736111111112 11.00538888888889)"
2,36,T,,SC+1.5,23.5,35-36,288.1304671,2.05,168.347397,"0°20'3"" R",11.00538889,77.96736111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96736111111112 11.00538888888889, 77.96697222222222 11.002638888888889)"
3,37,S,,SA+1.5,23.5,36-37,305.1152551,1.43,170.936142,,11.00263889,77.96697222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96697222222222 11.002638888888889, 77.96658333333333 11.0)"
4,38,T,,SC+3,25,37-38,297.2366599,0.78,177.596085,"33°58'22"" R",11,77.96658333,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96658333333333 11.0, 77.96530555555556 10.998583333333332)"
5,39,S,,SA+1.5,23.5,38-39,209.0839159,4.12,176.541214,,10.99858333,77.96530556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96530555555556 10.998583333333332, 77.96352777777778 10.996722222222221)"
6,40,S,,SA+1.5,23.5,39-40,284.3646593,3.51,180.358749,,10.99672222,77.96352778,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96352777777778 10.996722222222221, 77.96197222222223 10.995083333333332)"
7,41,S,,SA+1.5,23.5,40-41,247.8798356,2.79,178.319473,,10.99508333,77.96197222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96197222222223 10.995083333333332, 77.96033333333334 10.993277777777777)"
8,42,S,,SA+1.5,23.5,41-42,269.9468282,4.06,180.059937,,10.99327778,77.96033333,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96033333333334 10.993277777777777, 77.95855555555556 10.991444444444443)"
9,43,S,,SA+1.5,23.5,42-43,280.1366667,6.28,181.360596,,10.99144444,77.95855556,GOOD,Available,,,AGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95855555555556 10.991444444444443, 77.95683333333334 10.98961111111111)"
10,44,S,,SA+1.5,23.5,43-44,276.153814,3.34,182.600571,,10.98961111,77.95683333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95683333333334 10.98961111111111, 77.9551388888889 10.987805555555555)"
