S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,TN -23,S,,SC on SC,23,TN -20 : TN -19,289.1927219,3.47,56,,11.01494067,79.52454904,,,,,GOOD,AVAILABLE,LT -2,"POND, ROAD",AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5245490409433 11.0149406734853, 79.5270200259983 11.0154614411294)"
20,TN -22,S,,SC on SC,23,TN -19 : TN -18,278.0881064,2.98,58,,11.01546144,79.52702003,,,,,GOOD,AVAILABLE,,,AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5270200259983 11.0154614411294, 79.5297159813344 11.0160350147634)"
21,TN -21,T,,SC on SC,23,TN -18 : TN -17,303.3486231,3.73,57,13°23'32''RT,11.01603501,79.52971598,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5297159813344 11.0160350147634, 79.531979765743 11.0171100776642)"
22,TN -20,S,2W,SC on SC,23,TN -17 : TN -16,276.4646767,4.65,56,,11.01711008,79.53197977,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.531979765743 11.0171100776642, 79.5342387724667 11.0182270500808)"
23,TN -19,S,,SC on SC,23,TN -16 : TN -15,278.036438,5.89,53,,11.01822705,79.53423877,,,,,GOOD,AVAILABLE,LT,"CANAL, ROAD",AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5342387724667 11.0182270500808, 79.536499120295 11.0193571820855)"
24,TN -18,S,,SC on SC,23,TN -15 : LILO -14,278.8205814,6.21,58,,11.01935718,79.53649912,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.536499120295 11.0193571820855, 79.5387477334588 11.0204716399312)"
25,TN -17,S,,SC on SC,23,LILO -14 : TN -13,276.8942605,4.29,54,,11.02047164,79.53874773,,,,,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5387477334588 11.0204716399312, 79.5411121007055 11.0216467827558)"
26,TN -16,S,,SC on SC,23,TN -13 : TN -12,291.2086824,4.98,51,,11.02164678,79.5411121,,,,,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5411121007055 11.0216467827558, 79.5431187283247 11.0226459056138)"
27,TN -15,S,,SC on SC,23,TN -12 : TN -11,247.5379033,3.48,56,,11.02264591,79.54311873,,,,,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5431187283247 11.0226459056138, 79.5456424355506 11.0237646382302)"
28,LILO -14,T,2W,DC on DC,26,TN -11 : ,304.2530403,4.25,58,63°36'11''RT,11.02376464,79.54564244,,,,,GOOD,AVAILABLE,"LT, HT",,AGRI,LILO TO KGTPS,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5456424355506 11.0237646382302, 79.5467488467693 11.0228848736733)"
29,TN -13,S,,DC on DC,26, : ,157.1921383,2.91,59,,11.02288487,79.54674885,,,,,GOOD,OPGW,LT,"CANAL, ROAD",AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5467488467693 11.0228848736733, 79.5479905419051 11.0218835715204)"
30,TN -12,T,,DC on DC,26, : ,177.1408513,4.16,58,0°20'12''RT,11.02188357,79.54799054,,,,,GOOD,OPGW,,CANAL,AGRI,,PC+3,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5479905419051 11.0218835715204, 79.5489551313221 11.0211150348186)"
31,TN -11,T,3W,DC on DC,26, : ,137.4066962,2.25,56,,11.02111503,79.54895513,,,,,GOOD,OPGW,,CANAL,AGRI,JOINT BOX IS AVAILABLE,PA,,,2W,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
