S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,CUDDALORE GANTRY ,GANTRY,2W,GANTRY,15,,,,63,,11.72811482,79.73334242,GOOD,,,,PLAIN,230KV CUDDALORE SS,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7333424165844 11.7281148210167, 79.7334098070859 11.7285019811242)"
2, TN - 1,T,,DC on DC,25, TN - 4 :  TN - 5,45.4460667,4.7,58,60°8'47''RT,11.72850198,79.73340981,GOOD,NO E/W,,,PLAIN,Common tower for Nathapattu link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7334098070859 11.7285019811242, 79.7321378532797 11.7295590229332)"
3, TN - 2,T,,SC on DC,25, TN - 5 :  TN - 6,183.3486699,3.6,57,41°57'5''LT,11.72955902,79.73213785,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7321378532797 11.7295590229332, 79.7303566988557 11.7295490484684)"
4, TN - 3,S,,SC on DC,26, TN - 6 :  TN - 7,196.1350469,4.1,54,,11.72954905,79.7303567,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7303566988557 11.7295490484684, 79.7276667784899 11.729474030435)"
5, TN - 4,S,,SC on DC,26, TN - 7 :  TN - 8,295.2979709,5.3,56,,11.72947403,79.72766678,GOOD,AVAILABLE,110KV UP XING,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7276667784899 11.729474030435, 79.7256909962743 11.7294120043516)"
6, TN - 5,T,,SC on DC,25, TN - 8 :  TN - 9,217.4545193,3.6,59,141°4'48''RT,11.729412,79.725691,GOOD,AVAILABLE,,,AGRI,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7256909962743 11.7294120043516, 79.7245824895799 11.730251032859)"
7, TN - 6,T,,SC on DC,25, TN - 9 :  TN - 10,154.3441151,4.5,60,14°56'38''RT,11.73025103,79.72458249,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7245824895799 11.730251032859, 79.723052708432 11.730874646455)"
8, TN - 7,S,,SC on DC,26, TN - 10 :  TN - 11,182.4370804,2.9,63,,11.73087465,79.72305271,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.723052708432 11.730874646455, 79.7215762361884 11.7314478848129)"
9, TN - 8,T,,SC on DC,25, TN - 11 :  TN - 12,174.9628481,4.3,54,16°9'20''RT,11.73144788,79.72157624,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7215762361884 11.7314478848129, 79.719487382099 11.7316329572349)"
10, TN - 9,T,,SC on DC,25, TN - 12 :  TN - 13,230.5864021,4.1,56,8°20'35''LT,11.73163296,79.71948738,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.719487382099 11.7316329572349, 79.7176038008183 11.7315476294606)"
11, TN - 10,S,,SC on DC,26, TN - 13 :  TN - 14,207.511918,5.3,45,,11.73154763,79.7176038,GOOD,AVAILABLE,NH,,AGRI,,PB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7176038008183 11.7315476294606, 79.7152183949947 11.7314277682453)"
12, TN - 11,T,,SC on DC,25, TN - 14 :  TN - 15,262.3279978,3.6,54,18°31'43''RT,11.73142777,79.71521839,GOOD,AVAILABLE,,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7152183949947 11.7314277682453, 79.7138828225433 11.7317755334079)"
13, TN - 12,T,,SC on DC,25, TN - 15 :   LILO - 16,152.5627999,4.5,56,25°2'59''LT,11.73177553,79.71388282,GOOD,AVAILABLE,,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7138828225433 11.7317755334079, 79.7116760350763 11.7313722800463)"
14, TN - 13,S,,SC on DC,26,  LILO - 16 :  TN - 17,246.6228193,2.9,59,,11.73137228,79.71167604,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7116760350763 11.7313722800463, 79.7091668285429 11.7308859620243)"
15, TN - 14,T,,SC on DC,25, TN - 17 :  TN - 18,280.7237704,1.6,64,32°33'4''RT,11.73088596,79.70916683,GOOD,AVAILABLE,"HT, LT",MUD ROAD,HILLY,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7091668285429 11.7308859620243, 79.706928692758 11.7317218892276)"
16, TN - 15,T,,SC on DC,25, TN - 18 :  TN - 19,262.8731663,3.4,63,25°56'6''LT,11.73172189,79.70692869,GOOD,AVAILABLE,,,HILLY,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.706928692758 11.7317218892276, 79.7053254023194 11.733406400308)"
17,  LILO - 16,T,3W,DC on DC,25, TN - 19 :  TN - 20,257.437625,2.7,58,3°29'37''RT,11.7334064,79.7053254,GOOD,AVAILABLE,,,HILLY,LILO TO 110KV VELLAKARAI,PA,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7053254023194 11.733406400308, 79.7036631871014 11.7349521908909)"
18, TN - 17,S,,SC on DC,26, TN - 20 :  TN - 21,251.1026603,4.6,39,,11.73495219,79.70366319,GOOD,AVAILABLE,,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7036631871014 11.7349521908909, 79.7018197551369 11.7367429845035)"
19, TN - 18,T,,SC on DC,25, TN - 21 :  TN - 22,284.1322068,3.2,38,25°42'24''LT,11.73674298,79.70181976,GOOD,AVAILABLE,110KV DC ON MC UP XING,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7018197551369 11.7367429845035, 79.7010357119143 11.7388828005641)"
20, TN - 19,S,,SC on DC,26, TN - 22 :  TN - 23,253.625408,2.4,38,,11.7388828,79.70103571,GOOD,AVAILABLE,,ROAD,AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7010357119143 11.7388828005641, 79.7002668399363 11.7409592494368)"
21, TN - 20,S,,SC on DC,26, TN - 23 :  TN - 24,246.4730507,2.85,37,,11.74095925,79.70026684,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7002668399363 11.7409592494368, 79.6997125446796 11.7424482945352)"
22, TN - 21,T,,SC on DC,25, TN - 24 :  TN - 25,177.423992,3.03,36,31°0'52''RT,11.74244829,79.69971254,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6997125446796 11.7424482945352, 79.6975639276206 11.7441615555435)"
23, TN - 22,T,,SC on DC,25, TN - 25 :  TN - 26,303.2388603,2.36,38,5°48'37''LT,11.74416156,79.69756393,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6975639276206 11.7441615555435, 79.6971423178911 11.7445741128176)"
24, TN - 23,T,,SC on SC,22, TN - 26 :  TN - 27,66.75767911,2.97,38,3°2'6''LT,11.74457411,79.69714232,GOOD,AVAILABLE,,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6971423178911 11.7445741128176, 79.6968051139265 11.7449409887194)"
25, TN - 24,T,,SC on SC,22, TN - 27 :  TN - 28,56.74668046,3.9,37,2°44'5''LT,11.74494099,79.69680511,GOOD,NO E/W,230KV SC UP XING,,PLAIN,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6968051139265 11.7449409887194, 79.6962908003479 11.7455571424216)"
26, TN - 25,T,,SC on DC,25, TN - 28 :  TN - 29,90.23993779,8.6,36,30°22'38''LT,11.74555714,79.6962908,RUSTED,AVAILABLE,,MUD ROAD,PLAIN,BUSHES,PC+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6962908003479 11.7455571424216, 79.6957829408347 11.7486001085489)"
27, TN - 26,T,,SC on DC,25, TN - 29 :  TN - 30,343.0842682,2.6,43,1°10'13''RT,11.74860011,79.69578294,GOOD,AVAILABLE,,RIVER,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6957829408347 11.7486001085489, 79.6954899933189 11.7501586396247)"
28, TN - 27,T,,SC on DC,25, TN - 30 :  TN - 31,177.3111062,7.9,41,30°43'24''RT,11.75015864,79.69548999,RUSTED,AVAILABLE,,ROAD,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6954899933189 11.7501586396247, 79.6940682549029 11.7517730779945)"
29, TN - 28,S,,SC on DC,26, TN - 31 :  TN - 32,238.4186832,9.2,42,,11.75177308,79.69406825,RUSTED,AVAILABLE,LT,ROAD,PLAIN,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6940682549029 11.7517730779945, 79.6926046907901 11.7534529790282)"
30, TN - 29,S,,SC on DC,26, TN - 32 :  TN - 33,246.8778054,4.1,45,,11.75345298,79.69260469,GOOD,AVAILABLE,"HT, LT",,PLAIN,,KCR,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6926046907901 11.7534529790282, 79.6911092754453 11.755141345784)"
31, TN - 30,T,2W,SC on DC,25, TN - 33 :  TN - 34,249.8571322,5.3,47,29°21'47''RT,11.75514135,79.69110928,GOOD,AVAILABLE,"HT, LT",,PLAIN,,PA,PA,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6911092754453 11.755141345784, 79.6888612490147 11.7559200245887)"
32, TN - 31,S,,SC on DC,26, TN - 34 :  TN - 35,261.6952633,3.6,46,,11.75592002,79.68886125,GOOD,AVAILABLE,LT,ROAD,PLAIN,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6888612490147 11.7559200245887, 79.6870164759457 11.7565659340471)"
33, TN - 32,S,,SC on DC,26, TN - 35 :  TN - 36,215.3652479,4.5,45,,11.75656593,79.68701648,GOOD,AVAILABLE,,,PLAIN,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6870164759457 11.7565659340471, 79.684295207262 11.7575248237699)"
34, TN - 33,T,,SC on DC,25, TN - 36 :  TN - 37,316.9659226,2.9,48,14°38'57''RT,11.75752482,79.68429521,GOOD,AVAILABLE,,,PLAIN,,PB,"Bund, Tank, Kurumbapatty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.684295207262 11.7575248237699, 79.6820201072841 11.7577143386006)"
35, TN - 34,S,,SC on DC,26, TN - 37 :  TN - 38,250.8319858,4.3,46,,11.75771434,79.68202011,GOOD,AVAILABLE,,,PLAIN,,PA+3M,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6820201072841 11.7577143386006, 79.6798864938318 11.7578994948416)"
