S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 39/1,T,DC,26,,,4.37,116.995323,,11.078888888888889,78.68061111111112,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68061111111112 11.078888888888889, 78.68136111111112 11.07711111111111)"
2, 39/2,S,DA,26, 39/1- 39/2,213.63030207009078,1.97,122.839569,"0°1'49"" R",11.07711111111111,78.68136111111112,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68136111111112 11.07711111111111, 78.68233333333333 11.074805555555555)"
3, 39/3,T,DC,26, 39/2- 39/3,275.04820142080047,3.1,127.702721,"8°57'14"" R",11.074805555555555,78.68233333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68233333333333 11.074805555555555, 78.68283333333333 11.07263888888889)"
4, 39/4,T,DC,26, 39/3- 39/4,247.56356617571694,4.1,127.449554,"13°19'31"" R",11.07263888888889,78.68283333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68283333333333 11.07263888888889, 78.68283333333333 11.072444444444445)"
5,Gantry (Puthanampatty SS),Gantry,H-POLE,12, 39/4-Gantry,20.257267110529636,,127.673454,,11.072444444444445,78.68283333333333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
