S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,JB Location,Earthing Location,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,78,T,,DB,26,79-78,266.4781751,3.01,48.2938,"13°31'35"" L",10.44294444,79.15233333,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15233333333335 10.442944444444445, 79.1533888888889 10.444527777777777)"
18,77,S,,DA,26,78-77,208.1269175,3.08,50.061508,,10.44452778,79.15338889,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1533888888889 10.444527777777777, 79.15469444444444 10.446527777777778)"
19,76,S,,DA,26,77-76,262.7869837,2.97,51.855179,,10.44652778,79.15469444,,,GOOD,Available,"HT,LT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15469444444444 10.446527777777778, 79.15611111111112 10.44875)"
20,75,T,,DC,26,76-75,291.2118912,1.6,51.827229,"27°56'12"" L",10.44875,79.15611111,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15611111111112 10.44875, 79.15630555555556 10.451194444444443)"
21,74,S,,DA,26,75-74,271.8332334,3.17,51.572327,,10.45119444,79.15630556,,,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15630555555556 10.451194444444443, 79.15641666666667 10.453555555555555)"
22,73,S,,DA,26,74-73,261.5058596,3.19,49.822807,,10.45355556,79.15641667,,,GOOD,Available,,"ROAD,POND",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15641666666667 10.453555555555555, 79.15658333333334 10.456027777777777)"
23,72,S,,DA,26,73-72,274.4926632,3.86,49.97187,,10.45602778,79.15658333,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15658333333334 10.456027777777777, 79.15669444444445 10.458555555555554)"
24,71,T,,DC,26,72-71,279.4248358,2.02,50.933197,"27°1'46"" R",10.45855556,79.15669444,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15669444444445 10.458555555555554, 79.15805555555556 10.460888888888888)"
25,70,S,,DA,26,71-70,298.8534551,3.71,49.936844,,10.46088889,79.15805556,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15805555555556 10.460888888888888, 79.15944444444445 10.463249999999999)"
26,69,S,,DA,26,70-69,302.2765358,4.06,49.707302,,10.46325,79.15944444,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15944444444445 10.463249999999999, 79.16061111111112 10.465361111111111)"
27,68,S,,DA,26,69-68,265.0534557,3.42,50.300613,,10.46536111,79.16061111,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16061111111112 10.465361111111111, 79.16202777777778 10.467833333333333)"
28,67,T,2W,DB,26,68-67,314.9599244,2.17,51.865105,"7°9'47"" R",10.46783333,79.16202778,Yes,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16202777777778 10.467833333333333, 79.16355555555556 10.469888888888889)"
29,66,S,,DA,26,67-66,283.1712689,3.15,53.055866,,10.46988889,79.16355556,,,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16355555555556 10.469888888888889, 79.16455555555557 10.471194444444444)"
30,65,S,,DA,26,66-65,178.990187,2.2,52.159256,,10.47119444,79.16455556,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16455555555557 10.471194444444444, 79.16608333333333 10.473305555555555)"
31,64,S,,DA,26,65-64,289.1917031,2.8,50.338459,,10.47330556,79.16608333,,,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16608333333333 10.473305555555555, 79.16772222222222 10.4755)"
32,63,S,,DA,26,64-63,300.4142001,3.62,48.451439,,10.4755,79.16772222,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16772222222222 10.4755, 79.16930555555557 10.477694444444445)"
