,Tower No, Supspension/Tenion,JOINT BOX,TOWER TYPE,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY THIRUVARUR,T,2W,TB,GANTRY,20,,YES,,-,19,,79.61458333,10.78572222,GOOD,,,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61458333333333 10.785722222222223, 79.61513888888888 10.785638888888888)"
2,T.NO-1,T,,TB,SC,20,GANTRY-1,YES,58.85575588,-,18,,79.61513889,10.78563889,,NO EARTHWIRE,,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61513888888888 10.785638888888888, 79.61552777777777 10.785722222222223)"
3,T.NO-2,T,,TB,SC,20,01-Feb,YES,45.12205669,,18,,79.61552778,10.78572222,,NO EARTHWIRE,,110 KV CROSSING ABOVE OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61552777777777 10.785722222222223, 79.61577777777777 10.785805555555555)"
4,T.NO-3,T ,,SD,SC,28,02-Mar,YES,27.20294102,1.6,17,"32°17'45.52""",79.61577778,10.78580556,GOOD,G00D,YES,"2 nos 11 kv,lt",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61577777777777 10.785805555555555, 79.61602777777777 10.786111111111111)"
5,T.NO-4,T,,TB,SC,20,03-Apr,YES,46.09772229,-,17,,79.61602778,10.78611111,GOOD,NO EARTHWIRE,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61602777777777 10.786111111111111, 79.61602777777777 10.786444444444445)"
6,T.NO-5,T,,TB,SC,20,04-May,YES,37.05401463,-,16,,79.61602778,10.78644444,GOOD,NO EARTHWIRE,NO,110 KV CROSSING ABOVE OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61602777777777 10.786444444444445, 79.61594444444444 10.786805555555555)"
7,T.NO-6,T,,TB,SC,20,05-Jun,YES,41.97618372,-,17,,79.61594444,10.78680556,GOOD,G00D,NO,110 KV CROSSING ABOVE OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61594444444444 10.786805555555555, 79.61591666666666 10.787277777777778)"
8,T.NO-7,T,,SB,SC,24,06-Jul,NO,52.03844733,1.89,15,"00°00'00.00""",79.61591667,10.78727778,GOOD,GOOD,NO,LT ,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61591666666666 10.787277777777778, 79.61583333333333 10.789805555555555)"
9,T.NO-8,S,,SA,SC,26,07-Aug,NO,278.0881155,2.09,15,,79.61583333,10.78980556,GOOD,GOOD,NO,"LT,11 KV",,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61583333333333 10.789805555555555, 79.61577777777777 10.7925)"
10,T.NO-9,T,,SC,SC,26,08-Sep,YES,300.0266655,2.31,19,"17°32'32.47""",79.61577778,10.7925,GOOD,GOOD,NO,LT,"TAAR ROAD,NALA",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61577777777777 10.7925, 79.61633333333333 10.794305555555555)"
11,T.NO-10,S,,SA,SC,26,09-Oct,NO,207.8485025,2.17,17,,79.61633333,10.79430556,GOOD,GOOD,NO,11 KV,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61633333333333 10.794305555555555, 79.61694444444444 10.7965)"
12,T.NO-11,T,,SB,SC,24,10-Nov,NO,249.4473892,1.69,15,"9°47'15.65""",79.61694444,10.7965,GOOD,GOOD,NO,,MUD ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61694444444444 10.7965, 79.61719444444444 10.79888888888889)"
13,T.NO-12,S,,SA,SC,26,11-Dec,NO,266.4751396,-,16,,79.61719444,10.79888889,GOOD,GOOD,NO,,CANAL CROSSING,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61719444444444 10.79888888888889, 79.61747222222222 10.801444444444446)"
14,T.NO-13,S,,SA,SC,26,Dec-13,NO,283.9242857,2.06,15,,79.61747222,10.80144444,GOOD,GOOD,NO,11 KV,"NALA , MUD ROAD",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61747222222222 10.801444444444446, 79.61777777777777 10.80375)"
15,T.NO-14,S,,SA,SC,26,13-14,YES,259.1100152,3.31,14,,79.61777778,10.80375,GOOD,GOOD,NO,LT ,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61777777777777 10.80375, 79.6181111111111 10.806083333333333)"
16,T.NO-15,S,,SA,SC,26,14-15,NO,259.1061559,1.99,20,,79.61811111,10.80608333,GOOD,GOOD,NO,,CANAL CROSSING,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6181111111111 10.806083333333333, 79.6185 10.808472222222223)"
17,T.NO 15A LILO,T,3W,LILO,DC,28,15-15A,NO,269.4531499,1.39,19,"119°2'16.36""",79.6185,10.80847222,GOOD,GOOD,NO,,,CULTIVATIONLAND,"2 EARTHWIRE, 1E/W CONTINUE TO OUR  T.NO 15B & ANOTHER 1 E/W CONNECT 110KV NEELGUDI - PERALAM T.NO 16, NEED 3 WAY JUNCTION BOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6185 10.808472222222223, 79.6168611111111 10.80788888888889)"
