Tower No,Tower Type,Tower Type(S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,SA,S,,26,16-17,,0.001932738,5.36,18.59207,,11.75704725,79.72016043,,,,,GOOD,GOOD,"LT-2,HT-1",,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72016042583611 11.75704724821891, 79.71842142686091 11.757736249241333)"
18,SA,S,,26,17-18,,0.001689904,6.8,18.066523,,11.75773625,79.71842143,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71842142686091 11.757736249241333, 79.71675942734674 11.7584312541017)"
19,SD,T,,28,18-19,,0.00088476,5.36,18.524," 69d3'35""RT",11.75843125,79.71675943,,,,,GOOD,GOOD,HT-1,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71675942734674 11.7584312541017, 79.7168094268728 11.760394250548135)"
20,SD,T,,28,19-20,,0.00127345,4.27,25.134243,"34d22'5""RT",11.76039425,79.71680943,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7168094268728 11.760394250548135, 79.71795042709809 11.761954248222743)"
21,SA,S,,26,20-21,,0.001379496,5.1,15.368733,,11.76195425,79.71795043,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71795042709809 11.761954248222743, 79.71894942628214 11.763317251393604)"
22,SB,T,2W,24,21-22,,0.000280843,3.3,15.538122,"10d41'52""LT",11.76331725,79.71894943,,,,,GOOD,GOOD,HT-2,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71894942628214 11.763317251393604, 79.71932942610442 11.76411625150079)"
23,SA,S,,26,22-23,,80.58500568,3.15,14.800352,,11.76411625,79.71932943,,,,,GOOD,GOOD,,RAILWAY TRACK,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71932942610442 11.76411625150079, 79.71986142598438 11.765273251956945)"
24,SB,T,,24,23-24,,80.58530041,,15.877045,"10d41'52""RT",11.76527325,79.71986143,,,,,GOOD,GOOD,"LT-1,HT-2",,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71986142598438 11.765273251956945, 79.72124042575236 11.765310253044765)"
25,SB,T,,24,24-25,,0.000449696,1.15,18.097223,"18d2'38""LT",11.76531025,79.72124043,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72124042575236 11.765310253044765, 79.72150542560078 11.765403248353245)"
NATHAPATTU GANTRY,GANTRY,T,2W,20,25-GANTRY,,0.002287965,,20.228018,,11.76540325,79.72150543,2W,,,,GOOD,GOOD,,,PLAIN,GT NATHAPATTU,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
