S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 19,T,,DC,26,18-19,222.3594362,-,25,"27°8'42""",79.51322222,11.15752778,GOOD,GOOD,"LT,HT",,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51322222222223 11.157527777777778, 79.51238888888889 11.159055555555556)"
21,T.NO 20,S,,DA,26,19-20,193.8237537,3.17,25,,79.51238889,11.15905556,GOOD,GOOD,"HT,LT","TAAR ROAD,MUD ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51238888888889 11.159055555555556, 79.5111111111111 11.1615)"
22,T.NO 21,S,,DA,26,20-21,305.5685473,2.73,27,,79.51111111,11.1615,GOOD,GOOD,LT,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5111111111111 11.1615, 79.5098611111111 11.163944444444445)"
23,T.NO 22,S,,DA,26,21-22,304.6593486,2.47,26,,79.50986111,11.16394444,GOOD,GOOD,HT,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5098611111111 11.163944444444445, 79.50855555555556 11.166416666666667)"
24,T.NO 23,T,,DC,26,22-23,309.5854825,1.44,29,"24°47'34""",79.50855556,11.16641667,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50855555555556 11.166416666666667, 79.50844444444445 11.169027777777778)"
25,T.NO 24,S,,DA,26,23-24,289.2099929,-,27,,79.50844444,11.16902778,GOOD,GOOD,2nos LT,MUD ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50844444444445 11.169027777777778, 79.50833333333334 11.171999999999999)"
26,T.NO 25,T,,DB,35,24-25,331.1514804,2.03,28,"12°42'30""",79.50833333,11.172,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50833333333334 11.171999999999999, 79.50772222222223 11.174388888888888)"
27,T.NO 26,S,,DA,35,25-26,273.6169474,-,28,,79.50772222,11.17438889,GOOD,GOOD,,"MUD ROAD,RIVER",RIVER BED,MANNI RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50772222222223 11.174388888888888, 79.50675 11.177777777777777)"
28,T.NO 27,S,,DA,26,26-27,388.6596445,-,27,,79.50675,11.17777778,GOOD,GOOD,,,RIVER BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50675 11.177777777777777, 79.50580555555555 11.181027777777777)"
29,T.NO 28,S,,DA,26,27-28,375.8626415,-,24,,79.50580556,11.18102778,GOOD,GOOD,,,RIVER BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50580555555555 11.181027777777777, 79.50488888888889 11.184416666666667)"
30,T.NO 30,T,,DB,24,28-30,387.8811187,2.18,31,"0°19'22""",79.50488889,11.18441667,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50488888888889 11.184416666666667, 79.50430555555556 11.186472222222223)"
31,T.NO 31,S,,DA,26,30-31,238.2445995,3.07,24,,79.50430556,11.18647222,GOOD,GOOD,,"DRAIN,TAAR ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50430555555556 11.186472222222223, 79.50391666666667 11.188166666666667)"
32,T.NO 32,T,2W,DD,28,31-32,194.0802942,2.76,26,"70°36'21""",79.50391667,11.18816667,GOOD,GOOD,2nos LT,"DRAIN,TAAR ROAD",CULITIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50391666666667 11.188166666666667, 79.50530555555555 11.189083333333334)"
33,T.NO 33,T,,DB,26,32-33,184.9184602,1.18,24,"4°31'24""",79.50530556,11.18908333,GOOD,GOOD,2nos LT,TAAR ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50530555555555 11.189083333333334, 79.5081111111111 11.190555555555555)"
34,T.NO 34,S,,DA,26,33-34,347.7059273,-,24,,79.50811111,11.19055556,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5081111111111 11.190555555555555, 79.51033333333334 11.19175)"
