Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35 lilo,T,T,26,,,,121.001518,,11.219487379132936,78.94925577720079,GOOD,GOOD,,,PLAIN,Perambalur to Peralai Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94925577720079 11.219487379132936, 78.95088977631787 11.21854738451222)"
36,SA,S,26,35LILO-36,206.572,1.3,117.063553,,11.21854738451222,78.95088977631787,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95088977631787 11.21854738451222, 78.95306077469498 11.217197382343883)"
37,SC,T,26,36-37,280.258,3.2,119.158928,"20°44'10""RT",11.217197382343883,78.95306077469498,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95306077469498 11.217197382343883, 78.95471477345984 11.21509938558145)"
38,SA,S,26,37-38,294.146,2.45,118.060951,,11.21509938558145,78.95471477345984,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95471477345984 11.21509938558145, 78.95639277264436 11.213019381811865)"
39,SA,S,26,38-39,294.204,5.75,113.269379,,11.213019381811865,78.95639277264436,GOOD,GOOD,LT-3,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95639277264436 11.213019381811865, 78.95800577125172 11.210937382885083)"
40,SA,S,26,39-40,290.009,4.85,111.508759,,11.210937382885083,78.95800577125172,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95800577125172 11.210937382885083, 78.95963877057729 11.208821387321104)"
41,SA,S,26,40-41,294.325,3.65,106.70343,,11.208821387321104,78.95963877057729,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95963877057729 11.208821387321104, 78.96128176945469 11.206728386696172)"
42,SA,S,26,41-42,292.974,9.5,103.889099,,11.206728386696172,78.96128176945469,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96128176945469 11.206728386696172, 78.96293676889177 11.204662380548433)"
43,SA,S,26,42-43,291.431,8.65,101.6259,,11.204662380548433,78.96293676889177,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96293676889177 11.204662380548433, 78.96456076762824 11.202610385427581)"
44,SC,T,26,43-44,288.12,10.15,99.391022,"18°25'16""RT",11.202610385427581,78.96456076762824,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96456076762824 11.202610385427581, 78.9654547672317 11.200168388442354)"
