,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)",ROAD APPROCH,,"Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO-66,S,,26,65 - 66 ,,270.174018,1.85,125,,78.69802778,10.57822222,,,GOOD,NO,NO,GOOD,11KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69802777777778 10.578222222222221, 78.69925 10.576972222222222)"
21,T.NO-67,T,,26,66 - 67,,193.7937047,1.54,124,"23°47'21.31""",78.69925,10.57697222,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69925 10.576972222222222, 78.70141666666667 10.576083333333333)"
22,T.NO-68,S,,26,67 - 68,,256.4624729,3.62,121,,78.70141667,10.57608333,,,GOOD,NO,NO,GOOD,2 LT LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70141666666667 10.576083333333333, 78.70311111111111 10.575444444444445)"
23,T.NO-69,T,,24,68 - 69,,197.395542,1.52,118,"6°21'20.81""",78.70311111,10.57544444,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70311111111111 10.575444444444445, 78.70527777777778 10.574305555555556)"
24,T.NO-70,S,,26,69 - 70,,269.3566409,2.67,120,,78.70527778,10.57430556,,,GOOD,YES,NO,GOOD,11KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70527777777778 10.574305555555556, 78.70747222222222 10.573138888888888)"
25,T.NO-71,S,,26,70 - 71,,270.7120241,4.12,119,,78.70747222,10.57313889,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70747222222222 10.573138888888888, 78.70897222222223 10.571638888888888)"
26,T.NO-72,T,,28,71 - 72,,235.4930997,4.92,128,"65°24'33.32""",78.70897222,10.57163889,,,GOOD,NO,NO,GOOD,LT LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70897222222223 10.571638888888888, 78.70913888888889 10.570805555555555)"
27,T.NO-73,T,,24,72 - 73,,92.76313923,2.1,123,"00°00'00.00""",78.70913889,10.57080556,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70913888888889 10.570805555555555, 78.70911111111111 10.568805555555555)"
28,T.NO-74,S,,26,73 - 74,,221.081433,3.1,124,,78.70911111,10.56880556,,,GOOD,NO,NO,GOOD,LT LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70911111111111 10.568805555555555, 78.70916666666668 10.566444444444445)"
29,T.NO-75,T,,28,74 - 75,,263.0684322,2.95,125,"60°37'3.78""",78.70916667,10.56644444,,,GOOD,NO,NO,GOOD,2 LT LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70916666666668 10.566444444444445, 78.711 10.565055555555556)"
30,T.NO-76,T,,26,75 - 76,,250.2258979,2.81,129,"20°38'53.73""",78.711,10.56505556,,,GOOD,NO,NO,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.711 10.565055555555556, 78.7135 10.564611111111113)"
31,T.NO-77,T,,26,76 - 77,,277.7228835,3.9,131,"19°40'45.17""",78.7135,10.56461111,,,GOOD,YES,NO,GOOD,,TAAR RAOD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7135 10.564611111111113, 78.71627777777778 10.565083333333334)"
