,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ALIYANILAI,GANTRY,T,20,,YES,,,,,,78.96969444444444,10.200888888888889,GOOD,,,,,SS,NO EARTH WIRE,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96969444444444 10.200888888888889, 78.97016666666667 10.200666666666667)"
2,T.NO-2,T,DB,24,GANTRY-T.NO-2,YES,,55.46169849544819,,72,"4°3'11.23""",78.97016666666667,10.200666666666667,GOOD,GOOD,YES,,"TAR ROAD, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97016666666667 10.200666666666667, 78.97144444444444 10.200166666666666)"
3,T.NO-3,T,DB,24,2-3,YES,,149.48578527739687,,65,"10°52'59.90""",78.97144444444444,10.200166666666666,GOOD,GOOD,NO,2 LT, MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97144444444444 10.200166666666666, 78.97375 10.19875)"
4,T.NO-4,S,DA,26,3-4,NO,,299.88331063932185,,68,,78.97375,10.19875,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97375 10.19875, 78.97605555555556 10.19725)"
5,T.NO-5,T,DC,26,4-5,YES,,301.21254953935767,,64,"17°9'1.37""",78.97605555555556,10.19725,GOOD,GOOD,NO,LT CUM 11KV,TAR RAOD,CULTIVATION ,ONE LEG CONCRETE BROKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97605555555556 10.19725, 78.97755555555555 10.195472222222222)"
6,T.NO-6,S,DA,26,5-6,YES,,257.0992026436488,,65,,78.97755555555555,10.195472222222222,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97755555555555 10.195472222222222, 78.97902777777777 10.193722222222222)"
7,T.NO-7,S,DA,26,6-7,YES,,250.83261350948763,,63,,78.97902777777777,10.193722222222222,GOOD,GOOD,NO,11KV,TAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97902777777777 10.193722222222222, 78.98066666666666 10.191777777777778)"
8,T.NO-8,S,DA,26,7-8,YES,,281.58480072617556,,64,,78.98066666666666,10.191777777777778,GOOD,GOOD,NO,LT LINE,TAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98066666666666 10.191777777777778, 78.98211111111111 10.19)"
9,T.NO-9,T,DD,28,8-9,NO,,250.9760944791356,,65,"47°42'47.41""",78.98211111111111,10.19,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98211111111111 10.19, 78.98466666666667 10.18988888888889)"
10,T.NO-10,S,DA,26,9-10,NO,,280.4567702873297,,66,,78.98466666666667,10.18988888888889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98466666666667 10.18988888888889, 78.98719444444444 10.18975)"
