S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Adhanakottai SS),Gantry,2W,H-POLE,12,,,,53.919006,,10.51869444,78.95775,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95775 10.518694444444446, 78.95786111111111 10.518583333333334)"
2,88,T,,DC,26,Gantry-88,17.29964722,2.09,62.814011,"47°8'5"" R",10.51858333,78.95786111,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95786111111111 10.518583333333334, 78.95775 10.516277777777777)"
3,87,T,,SC,22,88-87,255.609509,2.45,109.702042,"26°24'27"" R",10.51627778,78.95775,GOOD,Available,"2 -66 KV,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95775 10.516277777777777, 78.95658333333334 10.514138888888889)"
4,86,S,,SA,22,87-86,270.539718,1.27,110.684814,,10.51413889,78.95658333,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95658333333334 10.514138888888889, 78.95536111111112 10.512027777777778)"
5,85,S,,SA,22,86-85,267.6304245,4.01,110.587402,,10.51202778,78.95536111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95536111111112 10.512027777777778, 78.95411111111112 10.509916666666667)"
6,84,S,,SA,22,85-84,270.3981214,1.6,112.999672,,10.50991667,78.95411111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95411111111112 10.509916666666667, 78.95280555555556 10.507555555555555)"
7,83,T,,SB,22,84-83,297.335031,0.72,112.45887,"4°48'53"" R",10.50755556,78.95280556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95280555555556 10.507555555555555, 78.95136111111111 10.505416666666667)"
8,82,S,,SA,22,83-82,285.120662,3.09,108.707016,,10.50541667,78.95136111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95136111111111 10.505416666666667, 78.94988888888889 10.503361111111111)"
9,81,T,,SB,22,82-81,279.0071255,2.71,113.60218,"7°50'56"" R",10.50336111,78.94988889,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94988888888889 10.503361111111111, 78.94800000000001 10.501333333333333)"
10,80,S,,SA,22,81-80,306.010285,4.11,109.871941,,10.50133333,78.948,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94800000000001 10.501333333333333, 78.94591666666668 10.49925)"
