S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Eachankadu SS),Gantry,2W,H-POLE,12,,,,64.881912,,11.35030556,79.21794444,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21794444444444 11.350305555555556, 79.21825 11.350361111111111)"
2,1,T,,DC,26,Gantry-1,34.09714466,0.7,64.641647,"26°2'4"" L",11.35036111,79.21825,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21825 11.350361111111111, 79.21861111111112 11.350638888888888)"
3,2,T,,DC,26,01-Feb,47.93535354,1.26,63.236313,"51°26'37"" L",11.35063889,79.21861111,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21861111111112 11.350638888888888, 79.21863888888889 11.351944444444444)"
4,3,T,,DC,26,02-Mar,145.4308856,3.1,63.559395,"52°32'35"" R",11.35194444,79.21863889,GOOD,Available,HT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21863888888889 11.351944444444444, 79.21691666666666 11.353388888888889)"
5,4,T,,DC,26,03-Apr,247.5305414,2.26,61.932053,"12°50'44"" L",11.35338889,79.21691667,GOOD,Available,"LT -2NO,HT -2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21691666666666 11.353388888888889, 79.21608333333333 11.353805555555555)"
6,5,T,,DC,26,04-May,100.7110241,3.09,64.358719,"44°38'48"" R",11.35380556,79.21608333,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21608333333333 11.353805555555555, 79.21536111111111 11.356083333333332)"
7,6,T,,DC,26,05-Jun,262.0097793,2.75,63.843296,"25°5'53"" L",11.35608333,79.21536111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21536111111111 11.356083333333332, 79.21575 11.359055555555555)"
8,7,T,,DC,26,06-Jul,334.1049864,3.67,60.469391,"50°27'51"" R",11.35905556,79.21575,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21575 11.359055555555555, 79.21647222222222 11.359527777777778)"
9,8,T,,DC,26,07-Aug,95.07028555,2.28,59.482262,"37°37'57"" L",11.35952778,79.21647222,GOOD,Available,,Railway Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21647222222222 11.359527777777778, 79.21738888888889 11.362027777777778)"
10,9,T,,DC,26,08-Sep,293.6995846,1.95,58.637001,"31°33'47"" R",11.36202778,79.21738889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21738888888889 11.362027777777778, 79.21805555555555 11.362555555555556)"
11,10,T,,DC,26,09-Oct,92.2100793,1.27,59.005089,"17°54'7"" L",11.36255556,79.21805556,GOOD,Available,,RailWay Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21805555555555 11.362555555555556, 79.21952777777778 11.364749999999999)"
12,11,T,,DC,26,10-Nov,292.8209377,1.19,57.152149,"11°32'58"" L",11.36475,79.21952778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21952777777778 11.364749999999999, 79.22052777777778 11.367194444444445)"
13,12,T,2W,DC,26,11-Dec,290.3589258,3.01,58.48357,"1°53'59"" R",11.36719444,79.22052778,GOOD,Available,,NH,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22052777777778 11.367194444444445, 79.22186111111111 11.370138888888889)"
14,13,S,,DA,26,Dec-13,358.0320918,3.63,59.860977,,11.37013889,79.22186111,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22186111111111 11.370138888888889, 79.22283333333334 11.372277777777779)"
15,14,S,,DA,26,13-14,258.7879117,2.19,57.008446,,11.37227778,79.22283333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22283333333334 11.372277777777779, 79.22383333333333 11.374500000000001)"
16,15,S,,DA,26,14-15,269.8467652,2.9,57.41431,,11.3745,79.22383333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22383333333333 11.374500000000001, 79.22458333333334 11.377055555555556)"
17,16,S,,DA,26,15-16,292.3320669,2,57.404423,,11.37705556,79.22458333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22458333333334 11.377055555555556, 79.22605555555556 11.37936111111111)"
18,17,S,,DA,26,16-17,303.7370784,1.87,58.084644,,11.37936111,79.22605556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22605555555556 11.37936111111111, 79.22663888888889 11.380805555555556)"
19,18,T,,DC,26,17-18,170.0192125,3.03,56.760014,"27°13'3"" R",11.38080556,79.22663889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22663888888889 11.380805555555556, 79.22638888888889 11.384027777777778)"
20,19,S,,DA,26,18-19,359.5157566,4.67,58.50058,,11.38402778,79.22638889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22638888888889 11.384027777777778, 79.22616666666667 11.386861111111111)"
21,20,S,,DA,26,19-20,312.2656868,1.01,58.88876,,11.38686111,79.22616667,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22616666666667 11.386861111111111, 79.226 11.389055555555554)"
22,21,T,,DC,26,20-21,244.9181831,3.01,57.427845,"1°34'10"" R",11.38905556,79.226,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.226 11.389055555555554, 79.22588888888889 11.391694444444443)"
23,22,T,,DC,26,21-22,292.8122287,4.68,54.854492,"1°13'5"" R",11.39169444,79.22588889,GOOD,Available,,River ,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22588888888889 11.391694444444443, 79.22583333333334 11.393805555555556)"
24,23,T,,DC,26,22-23,231.6053001,3.17,56.946205,"24°17'8"" L",11.39380556,79.22583333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22583333333334 11.393805555555556, 79.22638888888889 11.395)"
25,LILO: 23/1,T,2W,DC,26,23- 23/1,146.4845631,2.17,55.331299,"5°59'49"" R",11.395,79.22638889,GOOD,Available,,,PLAIN,LILO,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22638888888889 11.395, 79.22702777777778 11.39611111111111)"
26,24,S,,DA,26, 23/1-24,140.9180297,4.09,56.463516,,11.39611111,79.22702778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22702777777778 11.39611111111111, 79.22805555555556 11.397722222222221)"
27,25,T,,DC,26,24-25,209.7616608,1.16,,"36°6'60"" R",11.39772222,79.22805556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22805555555556 11.397722222222221, 79.22794444444445 11.39961111111111)"
28,26,T,,DC,26,25-26,209.8213977,2.16,56.984463,"59°0'23"" L",11.39961111,79.22794444,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22794444444445 11.39961111111111, 79.22958333333334 11.40075)"
29,27,T,,DC,26,26-27,220.2015925,1.25,55.978928,"48°48'40"" R",11.40075,79.22958333,GOOD,Available,"LT -2NO,HT-3NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22958333333334 11.40075, 79.23025 11.400583333333334)"
30,28,T,,DC,26,27-28,73.93306391,0.96,55.118919,"50°50'37"" R",11.40058333,79.23025,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23025 11.400583333333334, 79.23030555555556 11.400444444444444)"
31,Gantry (Pennadam SS),Gantry,2W,H-POLE,12,28-Gantry,15.1593389,,53.766312,,11.40044444,79.23030556,GOOD,NO E /W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
