S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-CHITRASUR 110KV SS,T,3W,GT,15,,,,37,,79.63527778,11.76536111,GOOD,MISSING,,,PLAIN,11OKV CHITRASUR SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63527777777779 11.765361111111112, 79.63522222222223 11.76586111111111)"
2,T.NO 38,T,,DC,26,GT-38,55.45181356,,35,"22°39'19""",79.63522222,11.76586111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63522222222223 11.76586111111111, 79.63433333333334 11.767333333333335)"
3,T.NO 37,S,,DA,26,38-37,192.760267,1.23,34,,79.63433333,11.76733333,GOOD,GOOD,"LT-1,HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63433333333334 11.767333333333335, 79.63322222222222 11.769250000000001)"
4,T.NO 36,T,,DC,26,37-36,242.8677324,,29,"21°32'51""",79.63322222,11.76925,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63322222222222 11.769250000000001, 79.6318611111111 11.770277777777778)"
5,T.NO 35,S,,DA,26,36-35,188.0962319,2.31,29,,79.63186111,11.77027778,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6318611111111 11.770277777777778, 79.63066666666666 11.77125)"
6,T.NO 34,S,,DA,26,35-34,170.0088755,,30,,79.63066667,11.77125,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63066666666666 11.77125, 79.63002777777777 11.771805555555556)"
7,T.NO 33,T,,DB,24,34-33,93.19544457,,30,"7°0'5""",79.63002778,11.77180556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63002777777777 11.771805555555556, 79.62963888888888 11.772222222222224)"
8,DP1,T,,DA,26,33-DP1,63.28964601,,30,,79.62963889,11.77222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62963888888888 11.772222222222224, 79.62941666666666 11.772388888888889)"
9,DP2,T,,DA,26,DP1-DP2,32.89043744,,30,,79.62941667,11.77238889,GOOD,GOOD,"230KV,LT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62941666666666 11.772388888888889, 79.62919444444444 11.77275)"
10,T.NO 32,T,,DD,28,DP2-32,47.87216658,,30,"32°40'50""",79.62919444,11.77275,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62919444444444 11.77275, 79.6278611111111 11.773305555555556)"
