S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Mannarkudi SS),Gantry,2W,H-POLE,12,,,,36.553631,,10.68377778,79.43072222,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43072222222223 10.683777777777777, 79.43055555555556 10.683861111111112)"
2,133A,T,,DC,26,Gantry - 133A,25,0.22,36.07428,"79°59'36"" L",10.68386111,79.43055556,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43055555555556 10.683861111111112, 79.42902777777778 10.681722222222222)"
3,133,T,,SC,22,130 -129,290.455581,0.76,33.350952,"36°14'45"" R ",10.68172222,79.42902778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42902777777778 10.681722222222222, 79.42694444444444 10.681027777777777)"
4,132,S,,SA,22,129 -128,238.4115307,0.82,32.300697,,10.68102778,79.42694444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42694444444444 10.681027777777777, 79.42477777777778 10.680333333333333)"
5,131,S,,SA,22,128 -127,250.0850476,1.06,31.457943,,10.68033333,79.42477778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42477777777778 10.680333333333333, 79.4226388888889 10.679611111111111)"
6,130,S,,SA,22,127 -126,245.836385,1.32,31.744213,,10.67961111,79.42263889,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4226388888889 10.679611111111111, 79.42047222222223 10.678888888888888)"
7,129,S,,SA,22,126 -125,250.888418,0.93,33.254726,,10.67888889,79.42047222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42047222222223 10.678888888888888, 79.41844444444445 10.678222222222221)"
8,128,S,,SA,22,125 -124,235.7882309,1.63,33.634209,,10.67822222,79.41844444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41844444444445 10.678222222222221, 79.4166388888889 10.67761111111111)"
9,127,T,,SC,22,124 -123,207.2839386,1.19,33.801304,"23°12'34"" L",10.67761111,79.41663889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4166388888889 10.67761111111111, 79.41472222222222 10.675916666666666)"
10,126,S,,SA,22,123 -122,281.828534,4.2,34.640121,,10.67591667,79.41472222,GOOD,Available,4 LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41472222222222 10.675916666666666, 79.41316666666667 10.6745)"
