S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Tanjavore SS),Gantry,2W,H-POLE,12,,,,133.865982,,10.71561111,79.07319444,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07319444444444 10.71561111111111, 79.07338888888889 10.715916666666667)"
2,1,T,,DC,26,Gantry-1,40.78353181,0.35,131.255814,"90°57'38"" R",10.71591667,79.07338889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07338888888889 10.715916666666667, 79.075 10.714888888888888)"
3,2,S,,DA,26,01-Feb,211.6487274,0.93,118.030777,,10.71488889,79.075,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.075 10.714888888888888, 79.07674999999999 10.713777777777777)"
4,3,S,,DA,26,02-Mar,225.9114781,0.63,110.966446,,10.71377778,79.07675,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07674999999999 10.713777777777777, 79.07836111111111 10.712805555555555)"
5,4,T,,DC,26,03-Apr,206.9899018,0.81,107.303467,"8°26'12"" L",10.71280556,79.07836111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07836111111111 10.712805555555555, 79.08024999999999 10.712)"
6,5,T,,DC,26,04-May,224.2363717,0.22,103.223206,"53°42'41"" L",10.712,79.08025,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08024999999999 10.712, 79.08116666666666 10.712555555555555)"
7,6,T,,DC,26,05-Jun,116.0937733,0.17,102.974953,"48°18'47"" R",10.71255556,79.08116667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08116666666666 10.712555555555555, 79.0821111111111 10.71225)"
8,7,S,,DA,26,06-Jul,109.7249309,0.47,101.706749,,10.71225,79.08211111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0821111111111 10.71225, 79.08352777777777 10.711749999999999)"
9,8,S,,DA,26,07-Aug,164.0261197,2.18,100.175629,,10.71175,79.08352778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08352777777777 10.711749999999999, 79.08569444444444 10.711055555555555)"
10,9,S,,DA,26,08-Sep,247.1274586,1.72,97.427673,,10.71105556,79.08569444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08569444444444 10.711055555555555, 79.08752777777778 10.710555555555555)"
11,10,T,,DC,26,09-Oct,210.5333762,1.92,96.30172,"10°15'54"" R",10.71055556,79.08752778,GOOD,Available,"LT,HT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08752777777778 10.710555555555555, 79.08888888888889 10.709888888888889)"
12,11,S,,DA,26,10-Nov,166.33236,1.63,92.2006,,10.70988889,79.08888889,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08888888888889 10.709888888888889, 79.09091666666666 10.70886111111111)"
13,12,S,,DA,26,11-Dec,247.999255,1.07,92.35788,,10.70886111,79.09091667,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09091666666666 10.70886111111111, 79.09313888888889 10.707805555555554)"
14,13,T,,DC,26,Dec-13,269.292628,1.19,89.309265,"4°23'12"" R",10.70780556,79.09313889,GOOD,Available,"HT,LT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09313888888889 10.707805555555554, 79.09380555555555 10.707416666666665)"
15,14,T,,SC,22,13-14,85.537332,1.54,88.223495,"11°36'48"" L",10.70741667,79.09380556,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09380555555555 10.707416666666665, 79.09616666666666 10.706666666666665)"
16,15,S,,SA,22,14-15,270.2675631,1.26,85.938828,,10.70666667,79.09616667,GOOD,Available,LT,Main Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09616666666666 10.706666666666665, 79.09827777777777 10.70586111111111)"
17,16,T,,SC,22,15-16,247.7984002,1.71,85.203728,"52°36'6"" R",10.70586111,79.09827778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09827777777777 10.70586111111111, 79.09852777777778 10.70497222222222)"
18,17,T,,SC,22,16-17,100.233623,0.83,84.58297,"21°28'44"" L",10.70497222,79.09852778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09852777777778 10.70497222222222, 79.0996111111111 10.70361111111111)"
19,18,T,2W,SC,22,17-18,191.4242794,0.15,84.932114,"28°36'59"" L",10.70361111,79.09961111,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0996111111111 10.70361111111111, 79.10063888888888 10.703166666666666)"
20,19,S,,SA,22,18-19,125.322058,1.36,82.771111,,10.70316667,79.10063889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10063888888888 10.703166666666666, 79.10269444444444 10.70225)"
21,20,S,,SA,22,19-20,245.7095902,0.24,81.683044,,10.70225,79.10269444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10269444444444 10.70225, 79.10469444444443 10.70136111111111)"
22,21,T,,SC,22,20-21,240.2602511,0.91,79.919693,"14°57'37"" L",10.70136111,79.10469444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10469444444443 10.70136111111111, 79.10619444444444 10.701138888888888)"
23,22,S,,SA,22,21-22,165.5683716,0.14,79.924118,,10.70113889,79.10619444,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10619444444444 10.701138888888888, 79.10780555555554 10.700916666666666)"
24,23,S,,SA,22,22-23,176.4207438,0.29,80.43335,,10.70091667,79.10780556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10780555555554 10.700916666666666, 79.10944444444443 10.700694444444444)"
25,24,T,,SC,22,23-24,180.9666175,1.16,79.379395,"10°33'20"" R",10.70069444,79.10944444,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10944444444443 10.700694444444444, 79.11177777777777 10.699944444444444)"
26,25,S,,SA,22,24-25,268.7116014,0.78,77.535332,,10.69994444,79.11177778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11177777777777 10.699944444444444, 79.1141111111111 10.699222222222222)"
27,26,S,,SA,22,25-26,270.0783186,1.21,77.435173,,10.69922222,79.11411111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1141111111111 10.699222222222222, 79.11649999999999 10.698472222222222)"
28,27,S,,SA,22,26-27,271.8898316,0.48,75.497261,,10.69847222,79.1165,GOOD,Available,LT -3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11649999999999 10.698472222222222, 79.11911111111111 10.69763888888889)"
29,28,T,,SC,22,27-28,300.8140212,0.93,74.401009,"11°25'49"" R",10.69763889,79.11911111,GOOD,Available,230 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11911111111111 10.69763888888889, 79.12127777777778 10.696388888888889)"
30,29,S,,SA,22,28-29,273.1670077,1.29,74.522583,,10.69638889,79.12127778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12127777777778 10.696388888888889, 79.12347222222222 10.695194444444445)"
31,30,S,,SA,22,29-30,276.6338607,1.94,74.576523,,10.69519444,79.12347222,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12347222222222 10.695194444444445, 79.12566666666666 10.694)"
32,31,S,,SA,22,30-31,271.3881948,0.67,72.935158,,10.694,79.12566667,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12566666666666 10.694, 79.12772222222222 10.692833333333333)"
33,32,T,,SC,22,31-32,260.8927429,0.24,72.048935,"4°46'45"" R",10.69283333,79.12772222,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12772222222222 10.692833333333333, 79.12783333333333 10.692722222222223)"
34,LILO: 32/1,T,3W,DC,26,32- 32/1,16.26712109,1.08,70.644173,"2°33'45"" R",10.69272222,79.12783333,GOOD,Available,,CANAL,Water Logged,LILO to Thirukanupatty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12783333333333 10.692722222222223, 79.12936111111111 10.691583333333334)"
35,33,S,,SA,22, 32/1-33,208.76971,1.12,71.619682,,10.69158333,79.12936111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12936111111111 10.691583333333334, 79.13108333333332 10.69025)"
36,34,S,,SA,22,33-34,240.6437856,0.91,71.241524,,10.69025,79.13108333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13108333333332 10.69025, 79.13324999999999 10.688666666666666)"
37,35,S,,SA,22,34-35,294.6085994,0.16,71.077545,,10.68866667,79.13325,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13324999999999 10.688666666666666, 79.1353888888889 10.687027777777779)"
38,36,S,,SA,22,35-36,296.6842732,2.09,71.612907,,10.68702778,79.13538889,GOOD,Available,HT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1353888888889 10.687027777777779, 79.13758333333334 10.685333333333334)"
39,37,S,,SA,22,36-37,302.3069624,0.76,72.201683,,10.68533333,79.13758333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13758333333334 10.685333333333334, 79.13972222222223 10.683722222222222)"
40,38,T,,SC,22,37-38,296.1077739,0.39,71.514839,"26°25'60"" L",10.68372222,79.13972222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13972222222223 10.683722222222222, 79.14072222222222 10.683527777777778)"
41,39,S,,SA,22,38-39,112.4171284,1.17,70.588943,,10.68352778,79.14072222,GOOD,Available,LT,TANJAVORE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14072222222222 10.683527777777778, 79.14261111111112 10.683222222222222)"
42,40,T,,SC,22,39-40,207.912377,0.89,72.246292,"28°9'42"" R",10.68322222,79.14261111,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14261111111112 10.683222222222222, 79.14397222222223 10.682194444444443)"
43,41,T,2W,SC,22,40-41,187.1587002,0.52,73.982635,"7°55'48"" L",10.68219444,79.14397222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14397222222223 10.682194444444443, 79.14522222222223 10.681472222222222)"
44,42,S,,SA,22,41-42,158.2544847,0.21,73.817879,,10.68147222,79.14522222,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14522222222223 10.681472222222222, 79.14725 10.680388888888888)"
45,43,S,,SA,22,42-43,254.4757201,0.76,71.810944,,10.68038889,79.14725,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14725 10.680388888888888, 79.14961111111111 10.679611111111111)"
46,44,S,,SA,22,43-44,270.9759007,1.27,72.195267,,10.67961111,79.14961111,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14961111111111 10.679611111111111, 79.15191666666668 10.678861111111111)"
47,45,T,,SC,22,44-45,265.0883303,1.43,71.049507,"33°40'51"" R",10.67886111,79.15191667,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15191666666668 10.678861111111111, 79.15352777777778 10.676833333333333)"
48,46,S,,SA,22,45-46,284.3189898,0.41,70.175652,,10.67683333,79.15352778,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15352777777778 10.676833333333333, 79.15525000000001 10.674638888888888)"
49,47,S,,SA,22,46-47,308.8972293,1.53,68.521751,,10.67463889,79.15525,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15525000000001 10.674638888888888, 79.15683333333334 10.672638888888889)"
50,48,S,,SA,22,47-48,280.5823258,0.13,67.248169,,10.67263889,79.15683333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15683333333334 10.672638888888889, 79.15830555555556 10.670777777777777)"
51,49,S,,SA,22,48-49,261.7326895,0.67,67.802383,,10.67077778,79.15830556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15830555555556 10.670777777777777, 79.15963888888889 10.66911111111111)"
52,50,T,,SC,22,49-50,234.0828836,0.07,64.812202,"10°50'50"" L",10.66911111,79.15963889,GOOD,Available,,Main Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15963888888889 10.66911111111111, 79.16163888888889 10.667416666666666)"
53,51,S,,SA,22,50-51,287.3906247,0.67,59.831879,,10.66741667,79.16163889,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16163888888889 10.667416666666666, 79.16352777777779 10.665805555555556)"
54,52,S,,SA,22,51-52,274.7029916,1.23,57.704052,,10.66580556,79.16352778,GOOD,Available,HT,College Inside,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16352777777779 10.665805555555556, 79.16486111111112 10.664555555555555)"
55,LILO : 52/1,T,3W,DC,26,52-52/1,200.339071,0.89,58.941006,"17°6'59"" L",10.66455556,79.16486111,GOOD,Available,,College ,PLAIN,LILO to Echankottai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16486111111112 10.664555555555555, 79.16519444444445 10.664388888888888)"
56,53,T,,SC,22, 52/1-53,40.31298754,0.23,58.976841,"34°7'32"" R",10.66438889,79.16519444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16519444444445 10.664388888888888, 79.1661388888889 10.662694444444444)"
57,54,S,,SA,22,53-54,216.2848043,0.72,53.830757,,10.66269444,79.16613889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1661388888889 10.662694444444444, 79.16727777777778 10.660805555555555)"
58,55,T,,SC,22,54-55,241.4125913,1.03,53.511909,"53°7'2"" L",10.66080556,79.16727778,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16727777777778 10.660805555555555, 79.16888888888889 10.66063888888889)"
59,56,S,,SA,22,55-56,177.8369217,1.67,52.554279,,10.66063889,79.16888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16888888888889 10.66063888888889, 79.17041666666667 10.660472222222223)"
60,57,T,,SC,22,56-57,168.6820783,1.71,52.058712,"14°21'53"" L",10.66047222,79.17041667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17041666666667 10.660472222222223, 79.17244444444445 10.660777777777778)"
61,58,T,,SC,22,57-58,222.1619885,1.26,51.429619,"10°2'24"" R",10.66077778,79.17244444,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17244444444445 10.660777777777778, 79.17380555555556 10.660722222222223)"
62,59,S,,SA,22,58-59,149.8679064,0.29,48.845177,,10.66072222,79.17380556,GOOD,Available,,Village Road,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17380555555556 10.660722222222223, 79.17602777777778 10.660666666666668)"
63,60,S,,SA,22,59-60,243.2220087,1.09,48.342777,,10.66066667,79.17602778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17602777777778 10.660666666666668, 79.17836111111112 10.66063888888889)"
64,61,S,,SA,22,60-61,254.7338029,2.16,46.899723,,10.66063889,79.17836111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17836111111112 10.66063888888889, 79.18083333333334 10.660583333333333)"
65,62,S,,SA,22,61-62,270.0166156,1.63,45.074894,,10.66058333,79.18083333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18083333333334 10.660583333333333, 79.18294444444444 10.660555555555556)"
66,63,T,,SC,22,62-63,233.5553932,1.32,45.705914,"25°40'18"" R",10.66055556,79.18294444,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18294444444444 10.660555555555556, 79.18475000000001 10.659638888888889)"
67,64,S,,SA,22,63-64,218.9806481,0.92,44.036983,,10.65963889,79.18475,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18475000000001 10.659638888888889, 79.18697222222222 10.658555555555555)"
68,65,S,,SA,22,64-65,272.2255373,0.78,43.704144,,10.65855556,79.18697222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18697222222222 10.658555555555555, 79.18927777777778 10.6575)"
