S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 15 M.T KUPPAM LILO,,3W,,,,,,24,,11.44692777,79.52371265,GOOD,GOOD,,,PLAIN,M.T.KUPPAM LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52371264798718 11.446927766680705, 79.5210168189007 11.447176340002425)"
2,T.NO 2,S,,DA,26,15-Feb,295.4268099,2.61,22,,11.44717634,79.52101682,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5210168189007 11.447176340002425, 79.51824748121001 11.447460679357613)"
3,T.NO 3,S,,DA,26,02-Mar,303.79763,3.21,21,,11.44746068,79.51824748,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51824748121001 11.447460679357613, 79.5154414347467 11.447753846469011)"
4,T.NO 4,T,,DB,24,03-Apr,307.8830947,2.27,23,"0°26'9""",11.44775385,79.51544143,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5154414347467 11.447753846469011, 79.51262664614437 11.447965573318918)"
5,T.NO 5,S,,DA,26,04-May,308.0162333,3.21,22,,11.44796557,79.51262665,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51262664614437 11.447965573318918, 79.50971085423848 11.448212921672617)"
6,T.NO 6,S,,DA,26,05-Jun,319.3195891,2.71,23,,11.44821292,79.50971085,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50971085423848 11.448212921672617, 79.50697835775648 11.448461175788319)"
7,T.NO 7,S,,DA,26,06-Jul,299.4077487,4.21,20,,11.44846118,79.50697836,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50697835775648 11.448461175788319, 79.50448386055892 11.448764865772288)"
8,T.NO 8,T,,DC,26,07-Aug,274.2425933,4.17,22,"19°10'12""",11.44876487,79.50448386,GOOD,GOOD,LT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50448386055892 11.448764865772288, 79.50351005909138 11.449202888959592)"
9,T.NO 9,T,2W,DC,26,08-Sep,116.7775663,3.21,23,"26°19'4""",11.44920289,79.50351006,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50351005909138 11.449202888959592, 79.50047673435019 11.449142152110394)"
10,T.NO 10,S,,DA,26,09-Oct,331.0377622,4.17,23,,11.44914215,79.50047673,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50047673435019 11.449142152110394, 79.49756265305479 11.449063914655971)"
