S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,36/1,T,3W,DC,26,,,Not taken,77,,10.87586111,78.67236111,GOOD,,,Inside River,Water Logged,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67236111111112 10.875861111111112, 78.67408333333334 10.875777777777778)"
2,36/2,T,,DC,26,36/1-36/2,186.4913728,Not taken,77,"11°8'49"" R",10.87577778,78.67408333,GOOD,Available,,Inside River,Water Logged,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67408333333334 10.875777777777778, 78.6763888888889 10.875222222222222)"
3,36/3,S,,DA,26,36/2-36/3,261.8248382,Not taken,77,,10.87522222,78.67638889,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6763888888889 10.875222222222222, 78.67888888888889 10.874555555555556)"
4,36/4,T,,DC+3,29,36/3-36/4,282.6682085,Not taken,75,"2°9'19"" L",10.87455556,78.67888889,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67888888888889 10.874555555555556, 78.68122222222223 10.874055555555556)"
5,36/5,T,,DC+3,29,36/4-36/5,258.8526432,Not taken,76,"8°9'45"" R",10.87405556,78.68122222,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68122222222223 10.874055555555556, 78.68308333333334 10.873361111111112)"
6,36/6,S,,DA,26,36/5-36/6,220.0653655,Not taken,77,,10.87336111,78.68308333,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68308333333334 10.873361111111112, 78.68502777777778 10.87263888888889)"
7,36/7,S,,DA,26,36/6-36/7,225.6240482,Not taken,77,,10.87263889,78.68502778,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68502777777778 10.87263888888889, 78.687 10.871861111111112)"
8,36/8,S,,DA,26,36/7-36/8,232.187443,Not taken,77,,10.87186111,78.687,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.687 10.871861111111112, 78.68894444444445 10.871111111111112)"
9,36/9,T,,DC,26,36/8-36/9,229.7158495,Not taken,77,"0°38'11"" R",10.87111111,78.68894444,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68894444444445 10.871111111111112, 78.691 10.870305555555555)"
10,36/10,S,,DA,26,36/9-36/10,240.5003467,Not taken,75,,10.87030556,78.691,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.691 10.870305555555555, 78.6926388888889 10.869666666666667)"
11,36/11,T,,DC+3,29,36/10-36/11,193.7013429,Not taken,76,"19°30'6"" R",10.86966667,78.69263889,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6926388888889 10.869666666666667, 78.69444444444444 10.86813888888889)"
