Tower No,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,DA,,26,18-17,284.6042445,10.15,107.618599,,11.00404143,78.49500212,GOOD,GOOD,"HT-2,LT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49500212025791 11.00404142855244, 78.49439212123944 11.00148543351973)"
16,DA,,26,`17-16,290.6370109,5.87,108.668869,,11.00148543,78.49439212,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49439212123944 11.00148543351973, 78.49375012212121 10.998780434631248)"
15,DB,,24,16-15,307.491068,3.25,108.087608,"6°45'35""LT",10.99878043,78.49375012,GOOD,GOOD,"LT-1,HT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49375012212121 10.998780434631248, 78.49356412221108 10.997118430114496)"
14,DA,,26,15-14,185.0602457,6.45,113.658684,,10.99711843,78.49356412,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49356412221108 10.997118430114496, 78.49345112239183 10.996056435543368)"
13,DD,2W,28,14-13,118.1819723,4.1,109.813766,"31°19'50""RT",10.99605644,78.49345112,GOOD,GOOD,HT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49345112239183 10.996056435543368, 78.49217712295518 10.994472433992097)"
12,DA,,26,13-Dec,223.9176802,4.35,108.167961,,10.99447243,78.49217712,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49217712295518 10.994472433992097, 78.49096412442995 10.992856431251907)"
11,DA,,26,12-Nov,222.6651046,1.95,107.067444,,10.99285643,78.49096412,GOOD,GOOD,"HT-1,LT-2",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49096412442995 10.992856431251907, 78.49005112512992 10.991774432198204)"
10,DA,,26,11-Oct,155.9061277,5.15,109.088264,,10.99177443,78.49005113,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49005112512992 10.991774432198204, 78.4890591259427 10.990433433598648)"
9,DC,,26,10-Sep,183.8287372,2.3,112.011124,"22°54'41""LT",10.99043343,78.48905913,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4890591259427 10.990433433598648, 78.48851912733481 10.988550435522376)"
8,DA,,26,09-Aug,216.6020333,7.25,109.048355,,10.98855044,78.48851913,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48851912733481 10.988550435522376, 78.4879921275762 10.986568439376546)"
7,DA,,26,08-Jul,226.7979726,8.75,114.181328,,10.98656844,78.48799213,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4879921275762 10.986568439376546, 78.48744412754515 10.984448436518726)"
6,DC,,26,07-Jun,242.1597316,4.75,117.456299,"11°9'47""LT",10.98444844,78.48744413,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48744412754515 10.984448436518726, 78.48726412824368 10.982513439064828)"
5,DA,,26,06-May,215.0557093,7.5,115.533447,,10.98251344,78.48726413,GOOD,GOOD,,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48726412824368 10.982513439064828, 78.48713312858966 10.980195435298311)"
4,DA,,26,05-Apr,256.9413574,6.8,109.051979,,10.98019544,78.48713313,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48713312858966 10.980195435298311, 78.48701012868837 10.97793343893509)"
3,DB,,24,04-Mar,250.7042391,8.65,108.728279,"6°40'25""RT",10.97793344,78.48701013,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48701012868837 10.97793343893509, 78.48660912878279 10.97575043403596)"
2,DA,,26,03-Feb,245.5482045,9.15,104.66864,,10.97575043,78.48660913,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48660912878279 10.97575043403596, 78.48617212893427 10.973439437061147)"
163/1,DB,,24,2-163/1,260.1924556,11.85,105.281311,"4°40'7""RT",10.97343944,78.48617213,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48617212893427 10.973439437061147, 78.4858751291592 10.972352442243311)"
163lilo,DD,3W,28,163/1-163LILO,124.6087688,14.45,103.836777,"86°20'42""RT",10.97235244,78.48587513,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4858751291592 10.972352442243311, 78.48378213159758 10.972771439840585)"
164,SB,,24,163-164,233.5323953,6.8,102.321869,"9°32'0""LT",10.97277144,78.48378213,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48378213159758 10.972771439840585, 78.48208713276 10.97284144142194)"
165,SA,,26,164-165,185.5204472,5.45,100.371857,,10.97284144,78.48208713,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48208713276 10.97284144142194, 78.47991613549594 10.972899442552466)"
166,SB,,24,165-166,237.4990423,3.75,100.061577,"9°51'1""RT",10.97289944,78.47991614,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47991613549594 10.972899442552466, 78.47831813663304 10.973208437640427)"
167,SA,,26,166-167,178.0661252,1.87,101.802353,,10.97320844,78.47831814,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47831813663304 10.973208437640427, 78.47681213861722 10.973538435467232)"
168,SC,,26,167-168,168.691591,2.25,99.825798,"15°27'20""LT",10.97353844,78.47681214,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47681213861722 10.973538435467232, 78.47421014123162 10.973414436696613)"
169,SA,,26,168-169,284.8761947,4.55,105.770782,,10.97341444,78.47421014,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47421014123162 10.973414436696613, 78.47164014321432 10.973225443362931)"
170,SA,,26,169-170,281.8240842,5.15,104.248138,,10.97322544,78.47164014,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47164014321432 10.973225443362931, 78.46911014532115 10.973063435141196)"
171,SA,,26,170-171,277.2535932,2.45,107.132172,,10.97306344,78.46911015,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46911014532115 10.973063435141196, 78.4665591480522 10.972890442958244)"
172,SA,,26,171-172,279.6265488,6.1,110.705963,,10.97289044,78.46655915,GOOD,GOOD,,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4665591480522 10.972890442958244, 78.46399715057264 10.97271643475936)"
173,SA,,26,172-173,280.8350816,3.65,104.512489,,10.97271643,78.46399715,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46399715057264 10.97271643475936, 78.46128615367162 10.97254943985842)"
174,SC,,26,173-174,297.0445006,7.35,104.161652,"12°59'14""RT",10.97254944,78.46128615,GOOD,GOOD,"HT-2,LT-3",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46128615367162 10.97254943985842, 78.45896215573745 10.97290644339937)"
175,SA,,26,174-175,257.2009966,1.75,102.150688,,10.97290644,78.45896216,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45896215573745 10.97290644339937, 78.45616715855965 10.973377435525851)"
176,SB,2W,24,175-176,310.0688285,6.95,100.388855,"7°21'45""RT",10.97337744,78.45616716,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45616715855965 10.973377435525851, 78.45388416057031 10.974052434743763)"
177,SB,,24,176-177,260.6019025,2.85,100.454758,"10°24'46""RT",10.97405243,78.45388416,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45388416057031 10.974052434743763, 78.45142016346593 10.975296438294803)"
178,SA,,26,177-178,302.5950317,4.45,102.255203,,10.97529644,78.45142016,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45142016346593 10.975296438294803, 78.44894616551764 10.976543441741166)"
179,SA,,26,178-179,303.7196299,1.15,103.891945,,10.97654344,78.44894617,GOOD,GOOD,HT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44894616551764 10.976543441741166, 78.44661016741003 10.977723440703445)"
180,SA,,26,179-180,286.9062472,3.25,103.970993,,10.97772344,78.44661017,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44661016741003 10.977723440703445, 78.44423417032729 10.978925435747609)"
