Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,DB,T,,24,06-Jan,116.8472578,7.2,83.516556,"5°17'37""",11.05426642,79.05491572,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05491571610354 11.054266424383007, 79.05553371594449 11.053418416996804)"
7,DA,S,,26,01-Jul,115.5987937,8.75,82.445969,,11.05341842,79.05553372,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05553371594449 11.053418416996804, 79.05621871526635 11.051501419902243)"
8,DA,S,,26,07-Aug,224.9066768,5.3,77.589172,,11.05150142,79.05621872,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05621871526635 11.051501419902243, 79.05715671512691 11.048990420296274)"
9,DA,S,,26,08-Sep,296.1085056,3.75,77.553955,,11.04899042,79.05715672,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05715671512691 11.048990420296274, 79.05796071508313 11.047028423351051)"
10,DA,S,,26,09-Oct,234.1705358,2.85,75.28656,,11.04702842,79.05796072,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05796071508313 11.047028423351051, 79.05875671419959 11.045066425212163)"
11,DA,S,,26,10-Nov,233.8440537,1.5,76.464066,,11.04506643,79.05875671,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05875671419959 11.045066425212163, 79.05968271394633 11.042888425447734)"
12,DC,T,,26,11-Dec,261.3465176,4.45,71.985001,"23°57'32""",11.04288843,79.05968271,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05968271394633 11.042888425447734, 79.0596647138818 11.042198424548427)"
13,DC,T,,26,Dec-13,76.36171547,1.25,73.022194,"27°48'25""",11.04219842,79.05966471,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0596647138818 11.042198424548427, 79.06066071290348 11.040123425664962)"
14,DA,S,2W,26,13-14,254.0617849,8.15,71.277756,,11.04012343,79.06066071,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06066071290348 11.040123425664962, 79.06169071298228 11.03819942077331)"
15,DA,S,,26,14-15,240.7898523,3.65,68.88987,,11.03819942,79.06169071,GOOD,GOOD,"HT-1,LT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06169071298228 11.03819942077331, 79.06279571201533 11.035932428646667)"
