S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
95,82,S,,SA,22,79 - 78,230.3107649,3.1,71.142776,,10.88930556,78.76491667,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76491666666666 10.889305555555556, 78.76272222222222 10.889416666666666)"
96,81,S,,SA,22,78 - 77,239.9003091,1.45,72.337952,,10.88941667,78.76272222,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76272222222222 10.889416666666666, 78.76041666666667 10.889416666666666)"
97,80,S,,SA,22,77 - 76,250.3032039,1.16,72.168839,,10.88941667,78.76041667,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76041666666667 10.889416666666666, 78.75822222222222 10.889472222222222)"
98,79,S,,SA,22,76 - 75,242.506025,1.97,71.044479,,10.88947222,78.75822222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75822222222222 10.889472222222222, 78.75611111111111 10.8895)"
99,78,S,,SA,22,75 - 74,230.5219004,1.09,71.420326,,10.8895,78.75611111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75611111111111 10.8895, 78.75383333333333 10.889583333333333)"
100,77,S,,SA,22,74 - 73,248.1774687,2.09,70.867447,,10.88958333,78.75383333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75383333333333 10.889583333333333, 78.75147222222222 10.88961111111111)"
101,76,S,,SA,22,73 - 72,258.5946886,3.91,69.402176,,10.88961111,78.75147222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75147222222222 10.88961111111111, 78.7491388888889 10.889666666666667)"
102,75,T,2W,SC,22,72 - 71,256.4301968,4.01,72.122086,"0°41'1"" R",10.88966667,78.74913889,GOOD,Available,HT,ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7491388888889 10.889666666666667, 78.74680555555555 10.889722222222222)"
103,74,S,,SA,22,71 - 70,255.0691008,1.56,74.390472,,10.88972222,78.74680556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74680555555555 10.889722222222222, 78.74461111111111 10.889777777777777)"
104,73,S,,SA,22,70 - 69,240.6277714,1.29,101.776382,,10.88977778,78.74461111,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74461111111111 10.889777777777777, 78.74241666666667 10.889833333333334)"
105,72,S,,SA,22,69 - 68,239.1555236,1.93,63.085583,,10.88983333,78.74241667,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74241666666667 10.889833333333334, 78.74011111111112 10.889888888888889)"
106,71,S,,SA,22,68 - 67,251.2955243,1.16,35.15757,,10.88988889,78.74011111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74011111111112 10.889888888888889, 78.73797222222223 10.889944444444444)"
107,70,S,,SA,22,67 - 66,235.5762666,1.9,80.970528,,10.88994444,78.73797222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73797222222223 10.889944444444444, 78.73583333333333 10.889999999999999)"
108,69,S,,SA,22,66 - 65,233.5328934,2.93,74.918678,,10.89,78.73583333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73583333333333 10.889999999999999, 78.73352777777778 10.890055555555556)"
109,68,S,,SA,22,65 - 64,250.3788454,4.01,74.846344,,10.89005556,78.73352778,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73352777777778 10.890055555555556, 78.73122222222223 10.890083333333333)"
110,67,S,,SA,22,64 - 63,253.7838385,2.63,75.578796,,10.89008333,78.73122222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73122222222223 10.890083333333333, 78.72897222222223 10.890166666666666)"
111,66,S,,SA,22,63 - 62,245.2927137,1.29,75.765495,,10.89016667,78.72897222,GOOD,Available,"LT,HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72897222222223 10.890166666666666, 78.72663888888889 10.890222222222222)"
112,65,S,,SA,22,62 - 61,256.2703893,3.31,74.446838,,10.89022222,78.72663889,GOOD,Available,LT - 2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72663888888889 10.890222222222222, 78.72444444444444 10.890305555555555)"
113,64,S,,SA,22,61 - 60,241.1067502,5.16,75.799896,,10.89030556,78.72444444,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72444444444444 10.890305555555555, 78.72183333333334 10.890333333333333)"
114,63,T,2W,SC,22,60 - 59,284.194972,4.11,75.416679,"0°27'44"" L",10.89033333,78.72183333,GOOD,Available,LT - 2NO,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72183333333334 10.890333333333333, 78.72033333333333 10.889861111111111)"
115,62,T,,SC,22,59 - 58,172.8778317,0.87,75.844734,"0°33'23"" R",10.88986111,78.72033333,GOOD,Available,"LT,HT,11KV",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72033333333333 10.889861111111111, 78.71797222222223 10.890194444444443)"
116,61,S,,SA,22,58 - 57,260.9909795,1.09,72.84137,,10.89019444,78.71797222,GOOD,Available,LT - 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71797222222223 10.890194444444443, 78.71575 10.890527777777777)"
117,60,S,,SA,22,57 - 56,245.3092059,3.14,73.362801,,10.89052778,78.71575,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71575 10.890527777777777, 78.71344444444445 10.890833333333333)"
118,59,S,,SA,22,56 - 55,252.3071375,2.16,73.743362,,10.89083333,78.71344444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71344444444445 10.890833333333333, 78.71197222222223 10.891055555555555)"
119,58,S,,SA,22,55 - 54,165.1888634,3.1,73.423386,,10.89105556,78.71197222,GOOD,Available,,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71197222222223 10.891055555555555, 78.71044444444445 10.891222222222222)"
120,57,S,2W,SA,22,54 - 53,166.7540763,1.92,72.955528,,10.89122222,78.71044444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71044444444445 10.891222222222222, 78.70825 10.891499999999999)"
121,56,S,,SA,22,53 - 52,243.3906984,2.27,72.051781,,10.8915,78.70825,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70825 10.891499999999999, 78.70597222222223 10.891833333333333)"
122,55,T,,SC,22,52 - 51,252.1983256,1.27,72.189995,"1°36'41"" R",10.89183333,78.70597222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70597222222223 10.891833333333333, 78.70383333333334 10.892111111111111)"
123,54,S,,SA,22,51 - 50,234.6956528,3.7,72.475304,,10.89211111,78.70383333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70383333333334 10.892111111111111, 78.7016388888889 10.892388888888888)"
124,53,S,,SA,22,50 - 49,242.8723076,2.2,72.623039,,10.89238889,78.70163889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7016388888889 10.892388888888888, 78.69947222222223 10.892694444444444)"
125,52,S,,SA,22,49 - 48,236.72168,3.8,72.564102,,10.89269444,78.69947222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69947222222223 10.892694444444444, 78.69725 10.892972222222221)"
126,51,S,,SA,22,48 - 47,247.358477,2.15,73.205597,,10.89297222,78.69725,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69725 10.892972222222221, 78.69480555555556 10.89325)"
127,50,T,2W,SC,22,47 - 46,268.2711856,1.26,74.895889,"0°30'20"" R",10.89325,78.69480556,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69480555555556 10.89325, 78.6931388888889 10.89275)"
128,49,S,,SA,22,46 - 45,191.4774825,2.1,75.497177,,10.89275,78.69313889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6931388888889 10.89275, 78.69072222222222 10.891972222222222)"
129,48,S,,SA,22,45 - 44,278.0084912,1.8,75.428833,,10.89197222,78.69072222,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69072222222222 10.891972222222222, 78.68822222222222 10.891222222222222)"
130,47,S,,SA,22,44 - 43,285.509981,2.77,74.696182,,10.89122222,78.68822222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68822222222222 10.891222222222222, 78.68622222222223 10.890583333333334)"
131,46,S,,SA,22,43 - 42,228.2252483,4.21,74.836311,,10.89058333,78.68622222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68622222222223 10.890583333333334, 78.68408333333333 10.889916666666666)"
132,45,T,,SC,22,42 - 41,246.504571,2.9,74.206665,"0°31'56"" R",10.88991667,78.68408333,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68408333333333 10.889916666666666, 78.68172222222222 10.889194444444444)"
133,44,S,,SA,22,41 - 40,269.4947361,3.21,75.501656,,10.88919444,78.68172222,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68172222222222 10.889194444444444, 78.67944444444444 10.888472222222221)"
134,43,S,2W,SA,22,40 - 39,261.3716187,2.76,74.861397,,10.88847222,78.67944444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67944444444444 10.888472222222221, 78.6773888888889 10.887833333333333)"
135,42,S,,SA,22,39 - 38,237.0782287,3,75.568367,,10.88783333,78.67738889,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6773888888889 10.887833333333333, 78.67558333333334 10.887305555555555)"
136,41,T,2W,SC,22,38 - 38A,204.8527915,1.88,75.015305,"5°30'12"" L",10.88730556,78.67558333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67558333333334 10.887305555555555, 78.67475 10.885305555555554)"
137,40,T,,DC,26,38A - 37,238.5445647,3.2,76.767105,"12°57'43"" R",10.88530556,78.67475,GOOD,Available,LT - 2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67475 10.885305555555554, 78.67433333333334 10.883777777777777)"
138,39,T,,DC,26,37 - LILO : 36/1,173.9650573,2.2,76.563042,"4°46'49"" R",10.88377778,78.67433333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67433333333334 10.883777777777777, 78.67405555555555 10.882861111111112)"
139,38,S,,DA,26,LILO : 36/1 - 36,107.1888486,4.21,76.980438,,10.88286111,78.67405556,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67405555555555 10.882861111111112, 78.67347222222223 10.8805)"
140,38A,S,,DA,26,36 - 35,267.2390911,2.9,76.980438,,10.8805,78.67347222,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67347222222223 10.8805, 78.67266666666667 10.87725)"
141,37,S,,DA,26,35 - 35A,372.3204099,3.21,76.980438,,10.87725,78.67266667,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67266666666667 10.87725, 78.67241666666668 10.875833333333334)"
142,LILO : 36/1,T,3W,DC,26,35A - 34,160.0166196,-,76.980438,"42°40'35"" R",10.87583333,78.67241667,GOOD,Available,,RIVER,Water Logged,LILO to T.V Koil,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67241666666668 10.875833333333334, 78.67191666666668 10.873750000000001)"
143,36,S,,DA,26,34 - 33,236.4618573,3,79.551857,,10.87375,78.67191667,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67191666666668 10.873750000000001, 78.67133333333334 10.871861111111112)"
144,35,S,,DA,26,33 - 32,217.1988387,4.21,77.557045,,10.87186111,78.67133333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67133333333334 10.871861111111112, 78.67072222222222 10.869277777777778)"
145,35A,S,,DA,26,32 - 31,292.5054836,2.17,77.557045,,10.86927778,78.67072222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67072222222222 10.869277777777778, 78.6701388888889 10.866805555555556)"
146,34,T,,DB+3,29,31 - 30,283.8185452,3.03,77.557045,"7°39'47"" R",10.86680556,78.67013889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6701388888889 10.866805555555556, 78.66972222222223 10.865777777777778)"
147,33,T,,DB+6,32,30 - 29,119.7934995,2.6,77.557045,"13°2'44"" L",10.86577778,78.66972222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66972222222223 10.865777777777778, 78.66936111111112 10.863083333333332)"
148,32,T,,DB,32,29 - 28,300.3349429,4.1,77.557045,"5°51'14"" R",10.86308333,78.66936111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66936111111112 10.863083333333332, 78.66852777777778 10.859777777777778)"
149,31,S,,DA,26,28 - 27,376.5398635,3.1,77.557045,,10.85977778,78.66852778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66852777777778 10.859777777777778, 78.66825 10.856666666666666)"
150,30,T,,DB+9,35,27 - 26,348.42254,1.45,77.557045,"27°7'2"" R",10.85666667,78.66825,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66825 10.856666666666666, 78.66736111111112 10.85525)"
151,29,T,,DB+6,32,26 - 25,182.659463,1.16,79.625359,"22°56'1"" L",10.85525,78.66736111,GOOD,Available,"LT, HT-2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66736111111112 10.85525, 78.66708333333334 10.85361111111111)"
152,28,T,,SB,26,25 - 24,184.4606391,1.97,78.401329,"0°27'0"" R",10.85361111,78.66708333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66708333333334 10.85361111111111, 78.66683333333334 10.85211111111111)"
153,27,S,,SA,26,24 - 23,169.5515731,1.09,78.029648,,10.85211111,78.66683333,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66683333333334 10.85211111111111, 78.6665 10.849805555555555)"
154,26,S,,SA,26,23 - 22,257.4545936,2.09,76.125511,,10.84980556,78.6665,GOOD,Available,LT- 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6665 10.849805555555555, 78.66627777777778 10.848305555555557)"
155,25,T,,SB,26,22 - 21,165.7676846,3.91,88.524536,"0°58'34"" L",10.84830556,78.66627778,GOOD,Available,LT. HT-2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66627777777778 10.848305555555557, 78.66591666666667 10.846)"
156,24,S,,SA,26,21 - 20B,260.298009,4.01,82.671387,,10.846,78.66591667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66591666666667 10.846, 78.66561111111112 10.84375)"
157,23,S,,SA,26,20B - 20A,249.4367178,1.56,79.495766,,10.84375,78.66561111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66561111111112 10.84375, 78.66527777777779 10.841472222222222)"
158,22,S,,SA,26,20A - 20,254.2616444,1.29,81.874596,,10.84147222,78.66527778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66527777777779 10.841472222222222, 78.66494444444444 10.839055555555555)"
159,21,T,2W,SB,26,20 - 19,270.5485805,1.93,76.377396,"2°9'1"" R",10.83905556,78.66494444,GOOD,Available,LT,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66494444444444 10.839055555555555, 78.66452777777778 10.836666666666668)"
160,20B,T,2W,SB,26,19 - 18,267.4934026,2.6,78.114151,"2°56'31"" L",10.83666667,78.66452778,GOOD,NO E/W,110KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66452777777778 10.836666666666668, 78.66427777777778 10.8345)"
161,20A,S,,SA,26,18 - 17,244.2318303,4.1,76.362228,,10.8345,78.66427778,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66427777777778 10.8345, 78.66383333333334 10.831972222222221)"
162,20,T,,SC+3,29,17 - 16,281.5670812,3.1,79.125763,"1°52'58"" L",10.83197222,78.66383333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66383333333334 10.831972222222221, 78.66352777777779 10.829638888888889)"
163,19,S,,SA,26,16 - 15,260.370289,1.45,79.494049,,10.82963889,78.66352778,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66352777777779 10.829638888888889, 78.66319444444446 10.827583333333333)"
164,18,S,,SA,26,15 - 14,231.5010476,1.16,80.115845,,10.82758333,78.66319444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66319444444446 10.827583333333333, 78.6628888888889 10.825277777777778)"
165,17,S,,SA,26,14 - 13,258.5202956,1.97,81.510185,,10.82527778,78.66288889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6628888888889 10.825277777777778, 78.66252777777778 10.822944444444444)"
166,16,S,,SA,26,13 - 12,258.3564072,2.45,82.709206,,10.82294444,78.66252778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66252777777778 10.822944444444444, 78.66219444444445 10.820611111111111)"
167,15,S,,SA,26,12 - 11,262.2487063,4.65,81.862686,,10.82061111,78.66219444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66219444444445 10.820611111111111, 78.66183333333333 10.818444444444443)"
168,14,T,,SC,26,11 - 10,241.7319105,1.15,84.228745,"1°22'0"" L",10.81844444,78.66183333,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66183333333333 10.818444444444443, 78.66144444444446 10.815861111111111)"
169,13,S,,SA,26,10 - 9,290.8182478,3.44,83.315872,,10.81586111,78.66144444,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66144444444446 10.815861111111111, 78.66130555555556 10.814555555555556)"
170,12,T,,SC,26,9 - 8,144.3168424,2.02,83.199738,"46°18'7"" L",10.81455556,78.66130556,GOOD,Available,LT -3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66130555555556 10.814555555555556, 78.66258333333334 10.813027777777778)"
171,11,S,,SA,26,8 - 7,284,4.01,83.545998,,10.81302778,78.66258333,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66258333333334 10.813027777777778, 78.66386111111112 10.811555555555556)"
172,10,S,,SA,26,7 - 6,214.4798579,3.81,81.93412,,10.81155556,78.66386111,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66386111111112 10.811555555555556, 78.66502777777778 10.81027777777778)"
173,9,S,,SA,26,6 - LILO : 5,190.5203955,1.4,84.640182,,10.81027778,78.66502778,GOOD,Available,LT -3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66502777777778 10.81027777777778, 78.66647222222223 10.808555555555555)"
174,8,T,,SC,26,LILO : 5 - 4,247.330871,2.76,84.892029,"0°23'18"" L",10.80855556,78.66647222,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66647222222223 10.808555555555555, 78.66783333333333 10.807)"
175,7,S,,SA,26,4 - 3,228.5273185,1.84,84.06649,,10.807,78.66783333,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66783333333333 10.807, 78.66947222222223 10.805083333333334)"
176,6,T,,SC,26,3 - 2,275.4774677,2.7,86.304001,"2°30'44"" L",10.80508333,78.66947222,GOOD,Available,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66947222222223 10.805083333333334, 78.67072222222222 10.80375)"
177,LILO : 5,T,,DC,26,2 - 1,271,3.94,84.771851,"66°2'46"" R",10.80375,78.67072222,GOOD,Available,,,PLAIN,LILO to Thennur,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67072222222222 10.80375, 78.66883333333334 10.802444444444445)"
178,4,T,3W,DC,26,"1 - Gantry
 (Trichy SS)",214,1.76,86.214378,,10.80244444,78.66883333,GOOD,OPGW ,LT -4NO,"ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66883333333334 10.802444444444445, 78.66927777777778 10.800638888888889)"
179,3,T,,DC,26,"Gantry
 (Trichy SS) - ",242,2.03,83.99572,"36°55'36"" L",10.80063889,78.66927778,GOOD,OPGW ,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66927777777778 10.800638888888889, 78.6696388888889 10.798777777777778)"
180,2,T,,DC,26, - ,240,3.15,85.993011,"80°49'41"" L",10.79877778,78.66963889,GOOD,OPGW ,"LT,HT 2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6696388888889 10.798777777777778, 78.67147222222222 10.798833333333333)"
181,1,T,,DC,26, - ,199.2854172,5.02,87.944649,"18°40'45"" R",10.79883333,78.67147222,GOOD,OPGW ,HT,,PLAIN,Joint Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67147222222222 10.798833333333333, 78.67161111111112 10.798777777777778)"
182,"Gantry
 (Trichy SS)",Gantry,2W,H-POLE,12,1 - Gantry,30,,86.926941,,10.79877778,78.67161111,GOOD,NO E/W,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
