S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,156,T,,SC,22,153 - 152,279.6335816,1.78,78.014984,"0°34'30"" R",10.95191667,78.91108333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91108333333334 10.951916666666666, 78.90922222222223 10.950888888888889)"
22,155,S,,SA,22,152 - 151,234.3184694,2.75,74.046326,,10.95088889,78.90922222,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90922222222223 10.950888888888889, 78.90725 10.949694444444445)"
23,154,S,,SA,22,151 - 150,253.4554158,1.85,70.444313,,10.94969444,78.90725,GOOD,Available,LT,ROAD,RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90725 10.949694444444445, 78.90508333333334 10.948472222222222)"
24,153,T,,SC,26,150 - 149,273.3277124,2.35,70.515396,"0°11'13"" L",10.94847222,78.90508333,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90508333333334 10.948472222222222, 78.90425 10.947944444444445)"
25,152,S,,SA,26,149 - 148,107.0129914,2.08,71.182152,,10.94794444,78.90425,GOOD,Available,,ROAD NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90425 10.947944444444445, 78.90261111111111 10.947055555555556)"
26,151,S,,SA,22,148 - 147,205.8670734,2.88,71.227676,,10.94705556,78.90261111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90261111111111 10.947055555555556, 78.90019444444445 10.945666666666668)"
27,150,S,,SA,22,147 - 146,305.0896609,3.47,71.029572,,10.94566667,78.90019444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90019444444445 10.945666666666668, 78.89811111111112 10.9445)"
28,149,S,,SA,22,146 - 145,262.3656063,2.32,72.108955,,10.9445,78.89811111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89811111111112 10.9445, 78.89580555555557 10.943194444444444)"
29,148,S,,SA,22,145 - 144,291.0064181,2.9,71.43782,,10.94319444,78.89580556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89580555555557 10.943194444444444, 78.89352777777779 10.941888888888888)"
30,147,S,,SA,22,144 - 143,285.6841803,1.32,73.348938,,10.94188889,78.89352778,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89352777777779 10.941888888888888, 78.89127777777779 10.940611111111112)"
31,146,S,,SA,22,143 - 142,284.3583543,2.22,73.344566,,10.94061111,78.89127778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89127777777779 10.940611111111112, 78.88908333333335 10.939333333333334)"
32,145,T,2W,SC,22,142 - 141,280.3805231,3.19,71.945961,"1°35'40"" L",10.93933333,78.88908333,GOOD,Available,LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88908333333335 10.939333333333334, 78.88666666666667 10.937972222222223)"
33,144,S,,SA,22,141 - 140,301.2278509,4.37,69.976898,,10.93797222,78.88666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88666666666667 10.937972222222223, 78.8845 10.936722222222222)"
34,143,S,,SA,22,140 - 139,274.743442,1.42,71.643982,,10.93672222,78.8845,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8845 10.936722222222222, 78.88236111111111 10.935500000000001)"
35,142,S,,SA,22,139 - 138,271.4706135,2.62,70.47818,,10.9355,78.88236111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88236111111111 10.935500000000001, 78.88027777777778 10.934305555555556)"
36,141,T,,SC,22,138 - 137,262.9218099,1.72,69.656448,"0°11'6"" R",10.93430556,78.88027778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88027777777778 10.934305555555556, 78.87791666666666 10.932972222222222)"
37,140,S,,SA,22,137 - 136,298.2925664,2.29,68.342033,,10.93297222,78.87791667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87791666666666 10.932972222222222, 78.87577777777777 10.931722222222222)"
38,139,S,,SA,22,136 - 135,271.3711227,4.02,68.412834,,10.93172222,78.87577778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87577777777777 10.931722222222222, 78.87358333333333 10.930472222222221)"
39,138,S,,SA,22,135 - 134,276.4035665,2.1,68.256035,,10.93047222,78.87358333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87358333333333 10.930472222222221, 78.87147222222221 10.929277777777777)"
40,137,S,,SA,22,134 - 133,265.8985239,3.95,68.193123,,10.92927778,78.87147222,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87147222222221 10.929277777777777, 78.86944444444444 10.92811111111111)"
41,136,S,,SA,22,133 - 132,255.9333005,3.7,69.155273,,10.92811111,78.86944444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86944444444444 10.92811111111111, 78.86702777777776 10.92675)"
42,135,S,,SA,22,132 - 131,306.547326,2.55,67.802078,,10.92675,78.86702778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86702777777776 10.92675, 78.86530555555555 10.925749999999999)"
43,134,S,,SA,22,131 - 130,217.3920643,3.01,68.20282,,10.92575,78.86530556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86530555555555 10.925749999999999, 78.86455555555555 10.925333333333333)"
44,133,S,,SA,22,130 - 129,93.23025024,2.25,68.785599,,10.92533333,78.86455556,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86455555555555 10.925333333333333, 78.86255555555555 10.924166666666666)"
45,132,T,2W,SC,22,129 - 128,254.7160468,1.4,72.472855,"0°52'31"" L",10.92416667,78.86255556,GOOD,Available,LT,Village Road,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86255555555555 10.924166666666666, 78.86069444444443 10.92311111111111)"
46,131,S,,SA,22,128 - 127,234.0885518,1.21,72.650932,,10.92311111,78.86069444,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86069444444443 10.92311111111111, 78.85905555555556 10.922194444444443)"
47,130,S,,SA,22,127 - 126,204.4007115,1.1,76.579826,,10.92219444,78.85905556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85905555555556 10.922194444444443, 78.857 10.921)"
48,129,S,2W,SA,22,126 - 125,261.2210851,2,76.296364,,10.921,78.857,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.857 10.921, 78.85488888888888 10.919833333333333)"
49,128,T,,SC,22,125 - 124,264.7011643,2.09,73.371246,"1°25'42"" L",10.91983333,78.85488889,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85488888888888 10.919833333333333, 78.85252777777777 10.918472222222222)"
50,127,S,,SA,22,124 - 123,299.4598383,3.27,69.802567,,10.91847222,78.85252778,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85252777777777 10.918472222222222, 78.85052777777777 10.917305555555554)"
51,126,S,,SA,22,123 - 122,254.3500215,1.45,70.746483,,10.91730556,78.85052778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85052777777777 10.917305555555554, 78.84852777777778 10.916166666666667)"
52,125,S,,SA,22,122 - 121,251.43241,4.1,70.709007,,10.91616667,78.84852778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84852777777778 10.916166666666667, 78.84638888888888 10.914944444444444)"
53,124,S,,SA,22,121 - 120,270.7410157,1.9,69.158134,,10.91494444,78.84638889,GOOD,Available,"LT,HT",Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84638888888888 10.914944444444444, 78.84408333333333 10.913611111111111)"
54,123,S,,SA,22,120 - LILO : 119,292.4244227,2.33,69.671783,,10.91361111,78.84408333,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84408333333333 10.913611111111111, 78.84205555555555 10.9125)"
55,122,T,,SC,22,LILO : 119 - 117,253.0299063,3.72,68.969498,"3°55'5"" R",10.9125,78.84205556,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84205555555555 10.9125, 78.84016666666666 10.91136111111111)"
56,121,T,,SC,22,117 - LILO : 116/1,243.6871022,4.1,67.973312,"0°15'35"" R",10.91136111,78.84016667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84016666666666 10.91136111111111, 78.83794444444445 10.910111111111112)"
57,120,T,,SC,22,LILO : 116/1 - 116,278.5940918,2.02,66.122429,"11°53'14"" L",10.91011111,78.83794444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83794444444445 10.910111111111112, 78.83580555555555 10.909027777777778)"
58,LILO : 119,T,3W,SC,22,116 - 115,261.8248618,3.21,70.106911,"13°21'9"" R",10.90902778,78.83580556,GOOD,Available,LT - 2NO,,AGRI,LILO to Thachankurchy,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83580555555555 10.909027777777778, 78.83543611111111 10.908022222222222)"
59,117,T,,SC+6,28,115 - 114,120,4.65,70,,10.90802222,78.83543611,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83543611111111 10.908022222222222, 78.83509722222222 10.907155555555557)"
60,LILO : 116/1,T,3W,SC+6,28,114 - 113,105,3.65,72,,10.90715556,78.83509722,GOOD,Available,,NH,PLAIN,LILO to Poovalur,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83509722222222 10.907155555555557, 78.83438888888888 10.908138888888889)"
