S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thiruthooraipundi SS),Gantry,2W,H-POLE,12,,0,,12.721046,,10.56263889,79.61852778,2W,,,,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61852777777777 10.56263888888889, 79.61866666666666 10.56263888888889)"
2,1,T,,DC,26,G-1,10,4.12,12,"94°38'47"" R",10.56263889,79.61866667,,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61866666666666 10.56263888888889, 79.61922222222222 10.562305555555556)"
3,2,T,,SC,22,5-6,77,1.1,16,"70°5'41"" R",10.56230556,79.61922222,,,,,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61922222222222 10.562305555555556, 79.61894444444444 10.559750000000001)"
4,3,T,,SC,22,6-7,284.9169309,2.73,14,"38°1'50"" L",10.55975,79.61894444,,,,,GOOD,Available,"LT,HT -2NO",VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61894444444444 10.559750000000001, 79.62019444444444 10.557722222222223)"
5,4,S,,SA,22,7-8,261.1965537,2.67,11,,10.55772222,79.62019444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62019444444444 10.557722222222223, 79.62144444444444 10.55563888888889)"
6,5,S,,SA,22,8-9,270,3.16,11,,10.55563889,79.62144444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62144444444444 10.55563888888889, 79.62213888888888 10.554527777777778)"
7,6,T,,SC,22,9-10,149,2.93,10,"31°55'53"" R",10.55452778,79.62213889,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62213888888888 10.554527777777778, 79.62205555555555 10.552000000000001)"
8,7,S,,SA,22,10-11,280,2.08,9,,10.552,79.62205556,,,,,GOOD,Available,"LT -2NO,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62205555555555 10.552000000000001, 79.62197222222221 10.549388888888888)"
9,8,S,,SA,22,11-12,290,1.76,11,,10.54938889,79.62197222,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62197222222221 10.549388888888888, 79.62191666666666 10.547138888888888)"
10,9,S,,SA,22,12-13,253,2.26,10,,10.54713889,79.62191667,,,,,GOOD,Available,LT -2NO ,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62191666666666 10.547138888888888, 79.62180555555555 10.544944444444445)"
11,10,S,,SA,22,13-14,245,3.19,15,,10.54494444,79.62180556,,,,,GOOD,Available,"LT,HT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62180555555555 10.544944444444445, 79.62180555555555 10.542472222222223)"
12,11,S,,SA,22,14-15,277,2.43,12,,10.54247222,79.62180556,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62180555555555 10.542472222222223, 79.62158333333333 10.540055555555556)"
13,12,S,,SA,22,15-16,270,3.19,11,,10.54005556,79.62158333,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62158333333333 10.540055555555556, 79.62144444444444 10.537611111111111)"
14,13,S,,SA,22,16-17,272,2.76,11,,10.53761111,79.62144444,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62144444444444 10.537611111111111, 79.62127777777778 10.53525)"
15,14,S,,SA,22,17-18,264.6087023,1.96,12,,10.53525,79.62127778,,,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62127777777778 10.53525, 79.6211111111111 10.53288888888889)"
16,15,T,2W,SC,22,18-19,260.6978437,2.74,11,"1°18'58"" L",10.53288889,79.62111111,2W,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6211111111111 10.53288888888889, 79.62102777777777 10.530722222222224)"
