S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-CHITHAMBARAM,,2W,GT,15,,,,20,,79.68341667,11.39811111,GOOD,MISSING,,,PLAIN,110KV CHIDHAMBARAM SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68341666666667 11.39811111111111, 79.68322222222223 11.397916666666665)"
2,T.NO 63,T,,DD,28,GT-63,32.2409987,4.6,18,"53°5'20""",79.68322222,11.39791667,GOOD,GOOD,"LT-3,HT-4",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68322222222223 11.397916666666665, 79.68161111111111 11.397972222222222)"
3,T.NO 62,T,,DB,24,63-62,179.2273829,3.41,12,"4°56'50""",79.68161111,11.39797222,GOOD,GOOD,LT-2,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68161111111111 11.397972222222222, 79.68008333333334 11.398194444444444)"
4,T.NO 61,T,,DB,24,62-61,169.5763922,3.85,10,"6°21'39""",79.68008333,11.39819444,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68008333333334 11.398194444444444, 79.67858333333334 11.398555555555555)"
5,T.NO 60,T,,DC,26,61-60,168.1077497,2.96,11,"19°44'22""",79.67858333,11.39855556,GOOD,GOOD,LT-3,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67858333333334 11.398555555555555, 79.67677777777779 11.398361111111111)"
6,T.NO 59 LILO,T,2W,DB,24,60-59,197.918765,3.76,12,"2°46'0""",79.67677778,11.39836111,GOOD,GOOD,HT,,PLAIN,LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67677777777779 11.398361111111111, 79.67566666666667 11.398305555555556)"
7,T.NO 1,T,,SC,26,59-1,125.1450764,4.62,9,"27°23'54""",79.67566667,11.39830556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67566666666667 11.398305555555556, 79.67380555555556 11.397222222222222)"
8,T.NO 2,S,,SA,26,2-Jan,235.8041737,4.17,9,,79.67380556,11.39722222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67380555555556 11.397222222222222, 79.67177777777778 11.396055555555556)"
9,T.NO 3,S,,SA,26,3-Feb,256.5386468,5.46,12,,79.67177778,11.39605556,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67177777777778 11.396055555555556, 79.66958333333334 11.394777777777778)"
10,T.NO 4,S,,SA,26,4-Mar,279.5821243,3.64,9,,79.66958333,11.39477778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66958333333334 11.394777777777778, 79.66736111111112 11.393527777777777)"
11,T.NO 5,T,,SB,24,5-Apr,280.0788419,4.12,15,"0°30'49""",79.66736111,11.39352778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66736111111112 11.393527777777777, 79.66536111111111 11.392333333333333)"
12,T.NO 6,S,,SA,26,6-May,256.0313706,3.51,8,,79.66536111,11.39233333,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66536111111111 11.392333333333333, 79.66344444444445 11.39125)"
13,T.NO 7,S,,SA,26,7-Jun,242.4994824,4.27,12,,79.66344444,11.39125,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66344444444445 11.39125, 79.66172222222222 11.39025)"
14,T.NO 8,T,2W,SB,24,8-Jul,218.8164365,5.83,11,"6°11'48""",79.66172222,11.39025,GOOD,GOOD,,,COLTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66172222222222 11.39025, 79.66000000000001 11.388972222222222)"
15,T.NO 9,S,,SA,26,9-Aug,236.2041666,4.9,13,,79.66,11.38897222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66000000000001 11.388972222222222, 79.65772222222223 11.387333333333332)"
16,T.NO 10,S,,SA,26,10-Sep,308.4752023,4.36,13,,79.65772222,11.38733333,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65772222222223 11.387333333333332, 79.65541666666667 11.38561111111111)"
17,T.NO 11,S,,SA,26,11-Oct,316.80057,,13,,79.65541667,11.38561111,GOOD,GOOD,,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65541666666667 11.38561111111111, 79.65308333333334 11.384)"
18,T.NO 12,S,,SA,26,12-Nov,310.9193443,3.82,15,,79.65308333,11.384,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65308333333334 11.384, 79.65069444444445 11.38225)"
19,T.NO 13,S,,SA,26,13-Dec,325.8199501,3.76,11,,79.65069444,11.38225,GOOD,GOOD,HT,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65069444444445 11.38225, 79.64855555555556 11.380722222222223)"
20,T.NO 14,T,,SC,26,13-14,289.2949878,,13,"19°25'26""",79.64855556,11.38072222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64855555555556 11.380722222222223, 79.64750000000001 11.379222222222223)"
21,T.NO 15,S,,SA,26,14-15,204.0886506,,11,,79.6475,11.37922222,GOOD,GOOD,,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64750000000001 11.379222222222223, 79.64541666666668 11.376583333333334)"
22,T.NO 16,S,,SA,26,15-16,370.5145464,2.6,12,,79.64541667,11.37658333,GOOD,GOOD,HT,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64541666666668 11.376583333333334, 79.6438888888889 11.374555555555556)"
23,T.NO 17,S,,SA,26,16-17,281.2034975,3.19,12,,79.64388889,11.37455556,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6438888888889 11.374555555555556, 79.64219444444446 11.372305555555556)"
24,T.NO 18,S,,SA,26,17-18,308.2002604,2.81,17,,79.64219444,11.37230556,GOOD,GOOD,"230KV,HT",,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64219444444446 11.372305555555556, 79.64055555555557 11.370027777777779)"
25,T.NO 19,T,2W,SC,26,18-19,311.2660149,4.38,12,"19°51'57""",79.64055556,11.37002778,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64055555555557 11.370027777777779, 79.6391388888889 11.369055555555557)"
26,T.NO 20,S,,SA,26,19-20,190.1692364,2.3,10,,79.63913889,11.36905556,GOOD,GOOD,,MUD ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6391388888889 11.369055555555557, 79.63722222222223 11.367750000000001)"
27,T.NO 21,S,,SA,26,20-21,253.4143419,4.61,13,,79.63722222,11.36775,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63722222222223 11.367750000000001, 79.63491666666667 11.366166666666667)"
28,T.NO 22,S,,SA,26,21-22,309.7086005,5.36,10,,79.63491667,11.36616667,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63491666666667 11.366166666666667, 79.63252777777777 11.364555555555555)"
29,T.NO 23,S,,SA,26,22-23,316.3569406,2.97,10,,79.63252778,11.36455556,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63252777777777 11.364555555555555, 79.6303611111111 11.363027777777777)"
30,T.NO 24,T,,SC,26,23-24,292.0841803,,11,"15°53'59""",79.63036111,11.36302778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6303611111111 11.363027777777777, 79.62766666666666 11.362055555555555)"
31,T.NO 25,S,,SA,26,24-25,314.1293662,2.8,12,,79.62766667,11.36205556,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62766666666666 11.362055555555555, 79.62494444444444 11.361138888888888)"
32,T.NO 26,S,,SA,26,25-26,313.1169653,4.73,13,,79.62494444,11.36113889,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62494444444444 11.361138888888888, 79.62222222222222 11.360222222222221)"
33,T.NO 27,S,,SA,26,26-27,315.6505999,5.49,13,,79.62222222,11.36022222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62222222222222 11.360222222222221, 79.62044444444444 11.359638888888888)"
