S. No ,Tower No, Supspension/Tenion,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY NARIMANAM 110KV SS,T,,GANTRY,20,,SS,,,7,,79.775,10.822472222222222,GOOD,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.775 10.822472222222222, 79.77480555555556 10.822555555555555)"
2,T.NO-1,T,DD,DC,28,GANTRY-1,YES,22.8473193175917,,7,"75°53'40.712""",79.77480555555556,10.822555555555555,GOOD,NO EARTH WIRE,NO,,,PLAIN,(DOUBLE CIRCUIT) NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77480555555556 10.822555555555555, 79.77408333333334 10.82161111111111)"
3,TAPPING T.NO-2,T,DB,DC,27,1-2,YES,132.003787824441,1.21,7,"1°39'33.99""",79.77408333333334,10.82161111111111,GOOD,GOOD,NO,33KV,,CULTIVATION,(DOUBLE CIRCUIT)   NEED JUCTION BOX TAPPING TO MRL CPCL FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77408333333334 10.82161111111111, 79.77308333333333 10.820222222222222)"
4,T.NO-3,S,SA,SC,26,2-3,YES,187.04277585622,1.21,6,,79.77308333333333,10.820222222222222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77308333333333 10.820222222222222, 79.77286111111111 10.818972222222222)"
5,T.NO-4,T,SB,SC,27,3-4,YES,141.410749237814,1.92,6,"5°34'27.358""",79.77286111111111,10.818972222222222,GOOD,GOOD,NO,"11KV, 33KV",TAAR ROAD SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77286111111111 10.818972222222222, 79.77241666666667 10.817444444444444)"
6,T.NO-5,T,SD,SC,31,4-5,NO,175.960222777763,BUSHES,5,"39°52'57.456""",79.77241666666667,10.817444444444444,GOOD,GOOD,NO,,RIVER CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77241666666667 10.817444444444444, 79.77327777777778 10.8155)"
7,T.NO-6,S,SA,SC,29,5-6,YES,233.734892559926,2.01,5,,79.77327777777778,10.8155,GOOD,GOOD,NO,,"MUD ROAD, RIVER CROSSING",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77327777777778 10.8155, 79.77413888888888 10.813638888888889)"
8,T.NO-7,S,SA,SC,26,6-7,NO,225.61028345357,1.4,7,,79.77413888888888,10.813638888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77413888888888 10.813638888888889, 79.77486111111111 10.812055555555556)"
9,T.NO-8,S,SA,SC,26,7-8,NO,194.339908407923,2.15,8,,79.77486111111111,10.812055555555556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77486111111111 10.812055555555556, 79.77575 10.81013888888889)"
10,T.NO-9,S,SA,SC,26,8-9,NO,231.32012450282,2.4,8,,79.77575,10.81013888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77575 10.81013888888889, 79.7765 10.80838888888889)"
