S. No ,Tower No,Supspension / Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,POONDI - LILO 1,T,3W,LILO,29,,NO,,1.39,21,,10.78563889,79.25808333,GOOD,GOOD,NO,,,CULTIVATION," (NEED JUCTION BOX) 2 EARTH WIRE 1 E/W CONTINUE TO OUR T.NO-80, ANOTHER E/W CONNECT TO POONDI 110KV T.NO-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25808333333333 10.785638888888888, 79.25947222222223 10.785944444444445)"
2,T.NO-80,T,,DB,24,LILO1-80,NO,155.3319027,1.51,39,"0°00'00.00""",10.78594444,79.25947222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25947222222223 10.785944444444445, 79.26108333333333 10.786305555555556)"
3,T.NO-81,S,,DA,26,80-81,NO,181.0331461,1.79,40,,10.78630556,79.26108333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26108333333333 10.786305555555556, 79.26263888888889 10.78663888888889)"
4,T.NO-82,S,,DA,26,81-82,NO,175.934647,2.01,40,,10.78663889,79.26263889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26263888888889 10.78663888888889, 79.26477777777778 10.787138888888888)"
5,T.NO-83,T,,DB,24,82-83,NO,239.9270723,2.51,38,"0°00'00.00""",10.78713889,79.26477778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26477777777778 10.787138888888888, 79.26697222222222 10.787638888888889)"
6,T.NO-84,S,,DA,26,83-84,NO,243.8298587,1.31,40,,10.78763889,79.26697222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26697222222222 10.787638888888889, 79.269 10.78811111111111)"
7,T.NO-85,S,,DA,26,84-85,NO,229.9565176,0.81,40,,10.78811111,79.269,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.269 10.78811111111111, 79.27177777777777 10.788694444444443)"
8,T.NO-86,T,,DB,27,85-86,YES,308.7069808,1.61,41,"6°48'28.24""",10.78869444,79.27177778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27177777777777 10.788694444444443, 79.27361111111111 10.789333333333333)"
9,T.NO-87,S,,DA,26,86-87,YES,214.4061566,1.81,40,,10.78933333,79.27361111,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27361111111111 10.789333333333333, 79.27597222222222 10.79025)"
10,T.NO-88,S,,DA,26,87-88,YES,275.0509044,1.17,40,,10.79025,79.27597222,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27597222222222 10.79025, 79.27858333333333 10.791194444444445)"
11,T.NO-89,S,,DA,26,88-89,YES,306.5436347,1.19,39,,10.79119444,79.27858333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27858333333333 10.791194444444445, 79.28055555555555 10.791916666666667)"
12,T.NO-90,T,,DB,24,89-90,YES,227.4313083,BUSHES,39,"1°40'3.13""",10.79191667,79.28055556,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28055555555555 10.791916666666667, 79.28305555555555 10.792722222222222)"
13,T.NO-91,S,,DA,26,90-91,NO,289.3527259,1.8,36,,10.79272222,79.28305556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28305555555555 10.792722222222222, 79.28525 10.793555555555555)"
14,T.NO-92,S,,DA,26,91-92,NO,256.908544,1.79,36,,10.79355556,79.28525,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28525 10.793555555555555, 79.28752777777778 10.794361111111112)"
15,T.NO-93,S,,DA,26,92-93,NO,263.1501473,1.97,39,,10.79436111,79.28752778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28752777777778 10.794361111111112, 79.29016666666666 10.79525)"
16,T.NO-94,T,2W,DB,27,93-94,NO,305.7924132,1.63,39,"6°8'57.69""",10.79525,79.29016667,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29016666666666 10.79525, 79.29286111111111 10.795861111111112)"
17,T.NO-95,S,,DA,26,94-95,NO,304.0296038,0.77,40,,10.79586111,79.29286111,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29286111111111 10.795861111111112, 79.29530555555556 10.796388888888888)"
18,T.NO-96,S,,DA,26,95-96,NO,273.4410357,1.61,36,,10.79638889,79.29530556,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29530555555556 10.796388888888888, 79.29794444444444 10.796972222222221)"
19,T.NO-97,T,,DB,24,96-97,NO,293.8332861,1.81,35,"0°00'00.00""",10.79697222,79.29794444,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29794444444444 10.796972222222221, 79.30066666666666 10.797555555555556)"
20,T.NO-98,S,,DA,26,97-98,NO,304.3813398,1.61,37,,10.79755556,79.30066667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30066666666666 10.797555555555556, 79.30219444444444 10.79786111111111)"
21,T.NO-99,S,,DA,26,98-99,NO,172.9855485,1.39,32,,10.79786111,79.30219444,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30219444444444 10.79786111111111, 79.30444444444444 10.798416666666666)"
22,T.NO-100,S,,DA,26,99-100,NO,253.2113742,2.02,36,,10.79841667,79.30444444,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30444444444444 10.798416666666666, 79.3068611111111 10.798916666666667)"
