,Tower No,Tower Type & Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY PUDUKOTTAI,GANTRY,20,,YES,,,,,,10.431944444444444,78.78544444444444,GOOD,GOOD,NO,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78544444444444 10.431944444444444, 78.78552777777777 10.43225)"
2,T.NO 1,T,24,GANTRY -1,YES,,37.107950630558946,1.93,121,"9°48'9""",10.43225,78.78552777777777,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78552777777777 10.43225, 78.7863888888889 10.434222222222223)"
3,T.NO-2 DC,T,28,1--2,YES,,235.05318547086316,1.71,115,"49°27'43""",10.434222222222223,78.7863888888889,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7863888888889 10.434222222222223, 78.78755555555556 10.434583333333334)"
4,T.NO 3 DC,S,24,2-3,NO,,135.72398461583714,1.69,122,,10.434583333333334,78.78755555555556,GOOD,GOOD,NO,LT-2 NOS ,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78755555555556 10.434583333333334, 78.78977777777777 10.43525)"
5,T.NO 4 DC,S,24,3-4,NO,,253.7282010340987,1.06,119,,10.43525,78.78977777777777,GOOD,GOOD,NO,"LT,11KV",MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78977777777777 10.43525, 78.79158333333334 10.43575)"
6,T.NO 5 DC,T,33,4-5,YES,,204.97072961767003,2.21,119,"8°12'47.4""",10.43575,78.79158333333334,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79158333333334 10.43575, 78.79297222222222 10.436333333333334)"
7,T.NO 6 DC,T,37,5-6,NO,,167.547008329006,2.5,111,"43°23'34.5""",10.436333333333334,78.79297222222222,GOOD,GOOD,YES,,NON ELETRICAL TRAIN ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79297222222222 10.436333333333334, 78.79377777777778 10.436055555555555)"
8,T.NO 7 DC,T,39,6-7,NO,,92.69843580125827,2.48,113,"21°31'35.6""",10.436055555555555,78.79377777777778,GOOD,GOOD,YES,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79377777777778 10.436055555555555, 78.79652777777778 10.43613888888889)"
9,T.NO 8 DC,S,24,7-8,YES,,301.0813843464919,,115,,10.43613888888889,78.79652777777778,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79652777777778 10.43613888888889, 78.79866666666666 10.436388888888889)"
10,T.NO 9 DC,S,27,8-9,NO,,236.4339231159522,,,,10.436388888888889,78.79866666666666,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79866666666666 10.436388888888889, 78.80097222222221 10.436583333333333)"
11,T.NO 10 DC,T,26,9-10,NO,,252.7152547829276,1.81,120,"29°7'16.2""",10.436583333333333,78.80097222222221,GOOD,GOOD,NO,,,PLAIN LAND,"2 EARTH WIRE(OUR EARTH WIRE CONTINUE, ANOTHAR EARTH WIRE CONECT TO SIPCOT FEEDER&OUR TOWER NO-12) TAPPING POINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80097222222221 10.436583333333333, 78.80194444444444 10.43613888888889)"
12,T.NO 11 DC,T,31,10-11,NO,,116.77756633874505,1.5,117,"90°48'2.9""",10.43613888888889,78.80194444444444,GOOD,GOOD,NO,,,PLAIN LAND,3 EARTH WIRE (ONE EARTH WIRE CONTINUE 2ND EARTH WIRE CONNECT TO ADHANANGOTTAI TOWER 3RD EARTH WIRE CONNECT TO ANOTHER TOWER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80194444444444 10.43613888888889, 78.80088888888889 10.433944444444444)"
13,T.NO 12 DC,T,31,11-12,YES,,268.36542251191753,1.81,118,"57°14'20.0""",10.433944444444444,78.80088888888889,GOOD,GOOD,NO,,,PLAIN LAND,"2 EARTH WIRE(OUR EARTH WIRE CONTINUE, ANOTHAR EARTH WIRE CONNECT TO SIPCOT FEEDER) TAPPING POINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80088888888889 10.433944444444444, 78.80175 10.432583333333334)"
14,T.NO 13 SC,T,27,12-13,YES,,177.341478509682,1.39,125,"2°43'42.5""",10.432583333333334,78.80175,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80175 10.432583333333334, 78.80286111111111 10.431)"
15,T.NO 14,T,31,13-14,YES,,214.40615662802222,1.81,118,"32°5'57.9""",10.431,78.80286111111111,GOOD,GOOD,NO,11 KV,TAAR ROAD,POND CROSSING,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80286111111111 10.431, 78.80544444444445 10.429916666666665)"
16,T.NO 15,S,24,14-15,YES,,305.4242950388852,1.61,119,,10.429916666666665,78.80544444444445,GOOD,GOOD,NO,,,PLAIN LAND,NEAR BY HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80544444444445 10.429916666666665, 78.80783333333333 10.428888888888888)"
17,T.NO 16,T,24,15-16,NO,,286.12759391572143,1.61,,"00°0'00.0""",10.428888888888888,78.80783333333333,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80783333333333 10.428888888888888, 78.80941666666666 10.42825)"
18,T.NO 17,S,24,16-17,YES,,187.3846311734236,1.31,126,,10.42825,78.80941666666666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80941666666666 10.42825, 78.81097222222222 10.427638888888888)"
19,T.NO 18,T,31,17-18,YES,,182.92348127017482,2.89,125,"38°39'0.1""",10.427638888888888,78.81097222222222,GOOD,GOOD,NO,LT,TAAR ROAD 2 NOS,PLAIN LAND,,,,,,,"00°0'00.0""",,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81097222222222 10.427638888888888, 78.81297222222221 10.428222222222221)"
20,T.NO 19,T,27,18-19,YES,,230.08042072284204,3.02,127,"7°31'5.5""",10.428222222222221,78.81297222222221,GOOD,GOOD,NO,"LT,11KV",MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81297222222221 10.428222222222221, 78.81575 10.428666666666667)"
21,T.NO 20,T,31,19-20,YES,,306.4718584144391,3.71,120,"46°28'27.3""",10.428666666666667,78.81575,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81575 10.428666666666667, 78.81697222222222 10.430416666666666)"
22,T.NO 21,T,31,20-21,YES,,237.7414562082095,3.61,115,"47°47'43.7""",10.430416666666666,78.81697222222222,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81697222222222 10.430416666666666, 78.81938888888888 10.43075)"
23,T.NO 22,S,24,21-22,DIFFICULT,,267.1722290957651,"3,19",117,,10.43075,78.81938888888888,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81938888888888 10.43075, 78.82194444444444 10.431027777777777)"
24,T.NO 23,S,24,22-23,NO,,281.4977797425763,3.01,108,,10.431027777777777,78.82194444444444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82194444444444 10.431027777777777, 78.82452777777777 10.431444444444445)"
25,T.NO 24,S,24,23-24,NO,,286.40006983239374,2.36,124,,10.431444444444445,78.82452777777777,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82452777777777 10.431444444444445, 78.82708333333333 10.431694444444444)"
26,T.NO 25,T,24,24-25,NO,,281.2045518834999,2.01,121,"00°0'00.0""",10.431694444444444,78.82708333333333,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82708333333333 10.431694444444444, 78.82972222222222 10.431888888888889)"
27,T.NO 26,S,24,25-26,YES,,289.691214916849,"2,96",118,,10.431888888888889,78.82972222222222,GOOD,GOOD,NO,11KV,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82972222222222 10.431888888888889, 78.83233333333332 10.431944444444444)"
28,T.NO 27,S,24,26-27,NO,,287.0278732109479,3.61,126,,10.431944444444444,78.83233333333332,GOOD,GOOD,NO,11KV,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83233333333332 10.431944444444444, 78.8346111111111 10.431944444444444)"
