S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thiruverumbur SS),Gantry,2W,H-POLE,12,,,,91.091675,,10.74705556,78.77972222,GOOD,,,,PLAIN,Cement pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77972222222222 10.747055555555555, 78.77925 10.747055555555555)"
2,1,T,,H-POLE,26,Gantry-1,51.97572275,3.71,99.674995,"2°10'34"" L",10.74705556,78.77925,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77925 10.747055555555555, 78.77958333333333 10.747055555555555)"
3,01A,T,,H-POLE,26,1- 1A,36.87613982,2.94,91.169617,"2°52'18"" R",10.74705556,78.77958333,GOOD,NO E/W,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77958333333333 10.747055555555555, 78.779 10.747083333333332)"
4,2,T,2W,SC,22,1A -2,63.83706591,2.7,99.929604,"53°51'34"" L",10.74708333,78.779,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.779 10.747083333333332, 78.77816666666666 10.74611111111111)"
5,3,T,,SC,22,02-Mar,144.1938994,3.17,97.603973,"30°55'14"" R",10.74611111,78.77816667,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77816666666666 10.74611111111111, 78.77641666666666 10.745527777777777)"
6,4,S,,SA,22,03-Apr,201.2983924,4.02,94.469505,,10.74552778,78.77641667,GOOD,Available,"110 KV,HT,LT",ROAD,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77641666666666 10.745527777777777, 78.77427777777778 10.74472222222222)"
7,5,T,,SC,22,04-May,249.8854484,3.66,92.704575,"25°39'37"" R",10.74472222,78.77427778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77427777777778 10.74472222222222, 78.77197222222222 10.744944444444444)"
8,6,S,,SA,22,05-Jun,253.0667595,3.84,92.704575,,10.74494444,78.77197222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77197222222222 10.744944444444444, 78.76975 10.745138888888889)"
9,7,S,,SA,22,06-Jul,243.6697934,4.11,91.354645,,10.74513889,78.76975,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76975 10.745138888888889, 78.76736111111111 10.74536111111111)"
10,8,T,,SB,22,07-Aug,263.1873984,3.96,87.757393,"6°1'51"" L",10.74536111,78.76736111,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76736111111111 10.74536111111111, 78.76508333333334 10.745305555555555)"
11,9,S,,SA,22,08-Sep,248.9616198,3.22,88.897446,,10.74530556,78.76508333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76508333333334 10.745305555555555, 78.76258333333334 10.745277777777776)"
12,10,T,,SB,22,09-Oct,273.7811916,2.14,88.582771,"15°31'16"" L",10.74527778,78.76258333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76258333333334 10.745277777777776, 78.76186111111112 10.745083333333332)"
13,11,T,,SB,22,10-Nov,81.34820839,2.29,87.838333,"7°25'41"" L",10.74508333,78.76186111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76186111111112 10.745083333333332, 78.75938888888889 10.744)"
14,12,S,,SA,22,11-Dec,297.9679115,4.08,86.743683,,10.744,78.75938889,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75938888888889 10.744, 78.75672222222222 10.742861111111111)"
15,13,S,,SA,22,Dec-13,316.1485887,3.96,83.845146,,10.74286111,78.75672222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75672222222222 10.742861111111111, 78.75466666666667 10.741972222222222)"
16,14,T,,SC,22,13-14,248.1043168,3.42,83.565666,"18°44'34"" L",10.74197222,78.75466667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75466666666667 10.741972222222222, 78.75294444444444 10.740416666666667)"
17,15,S,,SA,22,14-15,253.3856576,3.1,81.549194,,10.74041667,78.75294444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75294444444444 10.740416666666667, 78.75130555555556 10.73886111111111)"
18,16,S,,SA,22,15-16,249.2577466,3.27,82.150948,,10.73886111,78.75130556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75130555555556 10.73886111111111, 78.7496388888889 10.73725)"
19,17,S,,SA,22,16-17,255.2011904,2.96,82.434433,,10.73725,78.74963889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7496388888889 10.73725, 78.7478611111111 10.735583333333333)"
20,18,S,,SA,22,17-18,266.7380393,3.1,81.614433,,10.73558333,78.74786111,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7478611111111 10.735583333333333, 78.746 10.733833333333333)"
21,19,T,2W,SC,22,18-19,281.6815094,2.74,83.094368,"37°11'38"" L",10.73383333,78.746,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.746 10.733833333333333, 78.74588888888889 10.733194444444445)"
22,20,T,,H-POLE,12,19-20,70.81660149,3.18,83.902519,"2°8'25"" L",10.73319444,78.74588889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74588888888889 10.733194444444445, 78.74586111111111 10.732861111111111)"
23,21,T,,H-POLE,12,20 - 21,36.34405796,2.76,83.056313,"2°39'56"" R",10.73286111,78.74586111,GOOD,NO E/W,"HT,LT ,110 KV",,PLAIN,110 KV UP LINE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74586111111111 10.732861111111111, 78.74575 10.732333333333333)"
24,22,T,2W,SC,22,21 - 22,60.36950839,3.81,83.291214,"44°55'23"" L",10.73233333,78.74575,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74575 10.732333333333333, 78.7475 10.729916666666666)"
25,23,S,,SA,22,22-23,327.541081,3.68,84.383263,,10.72991667,78.7475,GOOD,Available,,IT PARK ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7475 10.729916666666666, 78.74916666666667 10.727583333333333)"
26,24,S,,SA,22,23-24,317.2677567,4.08,83.569618,,10.72758333,78.74916667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74916666666667 10.727583333333333, 78.75083333333333 10.72525)"
27,25,S,,SA,22,24-25,316.7439023,3.97,83.425438,,10.72525,78.75083333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75083333333333 10.72525, 78.7525 10.722916666666666)"
28,26,S,,SA,22,25-26,315.3354235,3.86,84.05674,,10.72291667,78.7525,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7525 10.722916666666666, 78.75419444444445 10.720555555555556)"
29,27,S,,SA,22,26-27,318.7993059,2.99,85.985069,,10.72055556,78.75419444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75419444444445 10.720555555555556, 78.75586111111112 10.718222222222222)"
30,28,S,,SA,22,27-28,318.7034422,3.15,85.36335,,10.71822222,78.75586111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75586111111112 10.718222222222222, 78.75747222222222 10.715972222222222)"
31,29,T,,SC,22,28-29,304.9604939,3.77,85.512634,"28°50'24"" R",10.71597222,78.75747222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75747222222222 10.715972222222222, 78.75761111111112 10.714638888888889)"
32,30,T,,SC,22,29-30,146.1986262,3.26,86.579231,"27°1'42"" R",10.71463889,78.75761111,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75761111111112 10.714638888888889, 78.75683333333333 10.712583333333333)"
33,31,S,,SA,22,30-31,244.1416394,3.73,87.705154,,10.71258333,78.75683333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75683333333333 10.712583333333333, 78.75602777777777 10.710472222222222)"
34,32,S,,SA,22,31-32,248.1852586,2.87,90.242599,,10.71047222,78.75602778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75602777777777 10.710472222222222, 78.75530555555555 10.708388888888889)"
35,33,T,,SB,22,32-33,243.8818753,2.76,92.647156,"9°53'36"" R",10.70838889,78.75530556,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75530555555555 10.708388888888889, 78.7538888888889 10.705888888888888)"
36,34,T,2W,SC,22,33-34,317.7926316,3.15,95.177864,"25°53'6"" L",10.70588889,78.75388889,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7538888888889 10.705888888888888, 78.75375 10.70347222222222)"
37,35,S,,SA,22,34-35,268.3394494,3.63,95.949936,,10.70347222,78.75375,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75375 10.70347222222222, 78.75361111111111 10.701277777777777)"
38,36,S,,SA,22,35-36,242.4057381,2.96,95.840752,,10.70127778,78.75361111,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75361111111111 10.701277777777777, 78.75344444444444 10.69888888888889)"
39,37,S,,SA,22,36-37,267.0120186,4.05,98.013084,,10.69888889,78.75344444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75344444444444 10.69888888888889, 78.75333333333333 10.69663888888889)"
40,38,T,,SB,22,37-38,247.8703033,3.88,99.239136,"13°27'12"" L",10.69663889,78.75333333,GOOD,Available,"LT,11 KV",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75333333333333 10.69663888888889, 78.75355555555555 10.695500000000001)"
41,39,T,,SB,22,38-39,128.9274577,4.08,98.369232,"1°10'39"" R",10.6955,78.75355556,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75355555555555 10.695500000000001, 78.75369444444445 10.694611111111112)"
42,40,S,,SA,22,39-40,100.2233012,2.87,98.227798,,10.69461111,78.75369444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75369444444445 10.694611111111112, 78.75402777777778 10.69275)"
43,41,S,,SA,22,40-41,209.4472944,3.15,98.04332,,10.69275,78.75402778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75402777777778 10.69275, 78.75447222222222 10.69036111111111)"
44,42,S,,SA,22,41-42,267.4543682,3.28,96.985001,,10.69036111,78.75447222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75447222222222 10.69036111111111, 78.75488888888889 10.688055555555556)"
45,43,S,,SA,22,42-43,258.2854207,3.45,96.484901,,10.68805556,78.75488889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75488888888889 10.688055555555556, 78.75530555555555 10.685694444444445)"
46,44,S,,SA,22,43-44,266.8804321,3.82,97.66436,,10.68569444,78.75530556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75530555555555 10.685694444444445, 78.75572222222222 10.683444444444445)"
47,45,S,,SA,22,44-45,251.2964307,2.97,99.787849,,10.68344444,78.75572222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75572222222222 10.683444444444445, 78.75622222222222 10.680694444444445)"
48,46,T,,SC,22,45-46,310.625851,1.3,103.555115,"5°15'41"" L",10.68069444,78.75622222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75622222222222 10.680694444444445, 78.75691666666667 10.678277777777778)"
49,47,S,,SA,22,46-47,276.0917433,2.07,104.876923,,10.67827778,78.75691667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75691666666667 10.678277777777778, 78.75758333333333 10.675666666666666)"
50,48,S,,SA,22,47-48,300.4049133,2.41,103.771126,,10.67566667,78.75758333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75758333333333 10.675666666666666, 78.75833333333334 10.672916666666666)"
51,49,S,,SA,22,48-49,314.3369391,3.76,102.918495,,10.67291667,78.75833333,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75833333333334 10.672916666666666, 78.75902777777777 10.670499999999999)"
52,50,T,2W,SC,22,49-50,278.0967708,1.53,101.597717,"26°59'27"" L",10.6705,78.75902778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75902777777777 10.670499999999999, 78.76072222222223 10.668666666666667)"
53,51,S,,SA,22,50-51,276.800613,4.61,98.90303,,10.66866667,78.76072222,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76072222222223 10.668666666666667, 78.76247222222223 10.666805555555555)"
54,52,S,,SA,22,51-52,280.393352,1.03,99.655548,,10.66680556,78.76247222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76247222222223 10.666805555555555, 78.76419444444444 10.664972222222223)"
55,53,S,,SA,22,52-53,274.3660959,2.27,100.461472,,10.66497222,78.76419444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76419444444444 10.664972222222223, 78.76608333333333 10.662972222222223)"
