S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO 16/20  & 19 DP  ,T,DP,26,T.NO 16/ 18  : T.NO 16/20&19 DP  ,78,4.6,39,7°2'12''LT,11.717621532479,79.6852256466047,,,,,GOOD,AVAILABLE,,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6852256466047 11.717621532479, 79.6849442367889 11.7169873440062)"
19,T.NO 16/22 & 21 DP,T,DP,15,T.NO 16/20&19 DP   : T.NO 16/22 & 21 DP,12,3.2,38,45°43'60''RT,11.7169873440062,79.6849442367889,,,,,GOOD,AVAILABLE,230KV CUD - NEYVELI,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6849442367889 11.7169873440062, 79.6850742164303 11.716662451898)"
20,T.NO  16/ 23,T,KC(O),15,T.NO 16/22 & 21 DP : T.NO  16/ 23,12,2.4,38,3°19'7''LT,11.716662451898,79.6850742164303,,,,,GOOD,AVAILABLE,,,PLAIN,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6850742164303 11.716662451898, 79.6852975631523 11.7159944165061)"
21,T.NO 16/24,T,HC(O)+6,28,T.NO  16/ 23 : T.NO 16/24,136,2.85,37,41°6'9''LT,11.7159944165061,79.6852975631523,,,,,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6852975631523 11.7159944165061, 79.6848258475129 11.7148620787485)"
22,T.NO 16/25,T,KC(O)+6,24,T.NO 16/24 : T.NO 16/25,237,3.03,36,13°33'36''LT,11.7148620787485,79.6848258475129,,,,,GOOD,AVAILABLE,HT-1,MUD ROAD,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6848258475129 11.7148620787485, 79.6835588063029 11.7131293547669)"
23,T.NO 16/26,T,HC(O)+6,28,T.NO 16/25 : T.NO 16/26,140,2.36,38,41°2'17''RT,11.7131293547669,79.6835588063029,,,,,GOOD,AVAILABLE,,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6835588063029 11.7131293547669, 79.6836656704843 11.7118730962653)"
24,T.NO 16/27,T,KC(O)+6,24,T.NO 16/26 : T.NO 16/27,251,2.97,38,11°7'36''LT,11.7118730962653,79.6836656704843,,,,,GOOD,AVAILABLE,LT-2,ROAD-1,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6836656704843 11.7118730962653, 79.6834194084905 11.709629705442)"
25,T.NO 16/28,T,KC(O),26,T.NO 16/27 : T.NO 16/28,154,3.9,37,23°25'46''RT,11.709629705442,79.6834194084905,,,,,GOOD,AVAILABLE,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6834194084905 11.709629705442, 79.6838293545435 11.7083025084829)"
26,T.NO 16/29,T,KC(O),26,T.NO 16/28 : T.NO 16/29,91,8.6,36,18°57'46''RT,11.7083025084829,79.6838293545435,,,,,GOOD,AVAILABLE,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6838293545435 11.7083025084829, 79.684309523959 11.7076446943797)"
27,T.NO 16/30,T,KC(O),26,T.NO 16/29 : T.NO 16/30,97,2.6,43,23°40'28''LT,11.7076446943797,79.684309523959,,,,,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.684309523959 11.7076446943797, 79.6844970218846 11.7067956665794)"
28,T.NO 16/31,T,KC(O),24,T.NO 16/30 : T.NO 16/31,52,7.9,41,0°24'5''RT,11.7067956665794,79.6844970218846,,,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6844970218846 11.7067956665794, 79.6846000724801 11.7063440711628)"
29,GANTRY,GANTRY,GANTRY,15,T.NO 16/31 : GANTRY,,9.2,42,,11.7063440711628,79.6846000724801,,,,,GOOD,NO E/W,,,PLAIN,110KV VELLAKARAI SS,PC,,,G,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G34),,,,,,,,,,,,,,,,,,=F36,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,=F37,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
