S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Pattukkottai SS),Gantry,,H-POLE,12,,,,40.121952,,10.43447222,79.30408333,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30408333333332 10.434472222222222, 79.30402777777778 10.434444444444445)"
2,1,T,2W,DC,26,Gantry-1,13,1.67,40.635326,"40°35'21"" R",10.43444444,79.30402778,GOOD,NO E/W,,,PLAIN,SS IN SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30402777777778 10.434444444444445, 79.30236111111111 10.43438888888889)"
3,2,T,,DC,26,01-Feb,184.0771505,2.07,38.077465,"0°15'58"" L",10.43438889,79.30236111,GOOD,Available,66 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30236111111111 10.43438888888889, 79.30008333333333 10.434277777777778)"
4,3,T,,DC,26,02-Mar,249.3216988,3.17,33.236,"70°17'43"" L",10.43427778,79.30008333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30008333333333 10.434277777777778, 79.29933333333334 10.431888888888889)"
5,4,T,,DC,26,03-Apr,277.7993187,2.66,31.891045,"14°5'59"" R",10.43188889,79.29933333,GOOD,Available,"2 LT,2 HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29933333333334 10.431888888888889, 79.29813888888889 10.429972222222222)"
6,5,S,,DA,26,04-May,246.1938412,4.16,30.708012,,10.42997222,79.29813889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29813888888889 10.429972222222222, 79.29675 10.427777777777777)"
7,6,T,,SC,22,05-Jun,288.0519313,1.25,29.983063,"26°1'8"" R",10.42777778,79.29675,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29675 10.427777777777777, 79.29513888888889 10.426805555555555)"
8,7,T,,SC,22,06-Jul,207.2739568,3.19,29.689093,"38°11'21"" L",10.42680556,79.29513889,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29513888888889 10.426805555555555, 79.29447222222223 10.424999999999999)"
9,8,S,,SA,22,07-Aug,212.7798186,2.76,27.676903,,10.425,79.29447222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29447222222223 10.424999999999999, 79.29383333333332 10.423305555555554)"
10,9,S,,SA,22,08-Sep,199.2771637,1.1,26.010702,,10.42330556,79.29383333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29383333333332 10.423305555555554, 79.2931111111111 10.421333333333333)"
11,10,T,,SC,22,09-Oct,230.687949,1.87,25.413704,"29°16'51"" L",10.42133333,79.29311111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2931111111111 10.421333333333333, 79.29352777777778 10.418916666666666)"
12,11,T,,SC,22,10-Nov,270.6430039,2.33,24.504404,"33°17'29"" R",10.41891667,79.29352778,GOOD,Available,"LT,HT,66KV",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29352777777778 10.418916666666666, 79.29255555555555 10.416749999999999)"
13,12,S,,DA,22,11-Dec,264.2524972,1.45,24.228401,,10.41675,79.29255556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29255555555555 10.416749999999999, 79.2915 10.414388888888888)"
14,13,S,,SA,22,Dec-13,284.169682,2.51,23.324045,,10.41438889,79.2915,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2915 10.414388888888888, 79.29044444444445 10.41211111111111)"
15,14,S,,SA,22,13-14,276.3574343,1.39,23.887278,,10.41211111,79.29044444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29044444444445 10.41211111111111, 79.28958333333333 10.41025)"
16,15,S,,SA,22,14-15,228.7612598,3.57,23.966017,,10.41025,79.28958333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28958333333333 10.41025, 79.28847222222223 10.407833333333334)"
17,16,T,2W,SC,22,15-16,292.4217171,3.61,24.121544,"8°14'24"" R  ",10.40783333,79.28847222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28847222222223 10.407833333333334, 79.28725 10.405944444444446)"
18,17,S,,SA,22,16-17,249.1079082,4.06,26.345509,,10.40594444,79.28725,GOOD,Available,"3 LT , HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28725 10.405944444444446, 79.28583333333333 10.403722222222223)"
19,18,S,,SA,22,17-18,288.9185667,2.77,25.702759,,10.40372222,79.28583333,GOOD,Available,2 LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28583333333333 10.403722222222223, 79.28430555555555 10.401472222222223)"
20,19,S,,SA,22,18-19,301.0067153,1.39,23.361084,,10.40147222,79.28430556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28430555555555 10.401472222222223, 79.283 10.399277777777778)"
21,20,S,,SA,22,19-20,282.1610164,2.78,28.663258,,10.39927778,79.283,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.283 10.399277777777778, 79.28144444444445 10.39686111111111)"
22,21,S,,SA,22,20-21,314.5272539,4.29,25.802368,,10.39686111,79.28144444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28144444444445 10.39686111111111, 79.28005555555555 10.394694444444443)"
