S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Vaitheswaran koil SS),Gantry,2W,H-POLE,12,,,,19.431265,,11.19919444,79.71591667,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71591666666667 11.199194444444444, 79.71575 11.19963888888889)"
2,55,T,,DC+6,32,Gantry-55,57,2.6,18.926868,"49°18'47"" L",11.19963889,79.71575,GOOD,NO E/W,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71575 11.19963888888889, 79.71408333333333 11.200194444444444)"
3,54,T,,DC,26,51 - LILO : 50A,190.6280277,2.42,18.866928,"5°1'53"" L",11.20019444,79.71408333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71408333333333 11.200194444444444, 79.712 11.200722222222222)"
4,53,S,,DA,26,LILO : 50A - 50,230,1.96,17.251904,,11.20072222,79.712,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.712 11.200722222222222, 79.71025 11.201388888888888)"
5,52,T,,DC,26,50 - 49,202.8248824,2.14,14.676366,"10°0'16"" L",11.20138889,79.71025,GOOD,Available,LT - 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71025 11.201388888888888, 79.70794444444445 11.201833333333333)"
6,51,T,,DC+7.5,33.5,49 - 48,257.8988436,1.83,14.393619,"31°23'22"" R",11.20183333,79.70794444,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70794444444445 11.201833333333333, 79.70725 11.202472222222221)"
7,LILO : 50A,T,2W,DC+7.5,33.5,48 - 47,103.011207,1.24,13.711491,"17°5'53"" L",11.20247222,79.70725,GOOD,Available,,RailWay,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70725 11.202472222222221, 79.70569444444445 11.203222222222221)"
8,50,T,,SC,22,47 - 46,190.1636485,1.79,13.890722,"13°26'54"" L",11.20322222,79.70569444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70569444444445 11.203222222222221, 79.70333333333333 11.203722222222222)"
9,49,S,,SA,22,46 - 45,262.8244959,2.73,14.295777,,11.20372222,79.70333333,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70333333333333 11.203722222222222, 79.70113888888889 11.204166666666666)"
10,48,S,,SA,22,45 - 44,245.7770777,1.96,14.176816,,11.20416667,79.70113889,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70113888888889 11.204166666666666, 79.69980555555556 11.204416666666665)"
11,47,S,,SA,22,44 - 43,147.9714756,1.37,13.275574,,11.20441667,79.69980556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69980555555556 11.204416666666665, 79.69819444444445 11.204694444444444)"
12,46,T,,SB,22,43 - 42,176.4653009,2.72,13.996469,"41°51'29"" R",11.20469444,79.69819444,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69819444444445 11.204694444444444, 79.69661111111111 11.206694444444445)"
13,45,S,,SA,22,42 - 41,280.5534085,3.16,14.034956,,11.20669444,79.69661111,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69661111111111 11.206694444444445, 79.69541666666667 11.208222222222222)"
14,44,S,,SA,22,41 - 40,212.5048203,2.63,13.534516,,11.20822222,79.69541667,GOOD,Available,LT,"ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69541666666667 11.208222222222222, 79.6945 11.209416666666666)"
15,43,T,,SB,22,40 - 39,167.0556861,1.39,14.043055,"25°33'8"" L",11.20941667,79.6945,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6945 11.209416666666666, 79.69202777777778 11.21061111111111)"
16,42,S,,SA,22,39 - 38,300.2549729,3.27,14.639036,,11.21061111,79.69202778,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69202777777778 11.21061111111111, 79.69019444444444 11.2115)"
17,41,S,,SA,22,38 - 37,222.5663695,3.18,15.861759,,11.2115,79.69019444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69019444444444 11.2115, 79.68788888888889 11.212527777777778)"
