S. No ,Tower No,CURCUIT,Tower Type & S/T,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,,,,,,,,,,,11.8759171,78.9058001,8872568146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9058001 11.8759171, 78.9039494 11.8774329)"
2,,,,,,,,,,,11.8774329,78.9039494,8872568145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9039494 11.8774329, 78.9019337 11.8790786)"
3,,,,,,,,,,,11.8790786,78.9019337,8872568144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9019337 11.8790786, 78.9002413 11.8800655)"
4,,,,,,,,,,,11.8800655,78.9002413,8872568143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9002413 11.8800655, 78.8980713 11.8813687)"
5,,,,,,,,,,,11.8813687,78.8980713,8872568142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8980713 11.8813687, 78.8955863 11.8814987)"
6,,,,,,,,,,,11.8814987,78.8955863,8872568141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8955863 11.8814987, 78.8931683 11.881626)"
7,,,,,,,,,,,11.881626,78.8931683,8872568140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8931683 11.881626, 78.8910037 11.8822887)"
8,,,,,,,,,,,11.8822887,78.8910037,8872568139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8910037 11.8822887, 78.8888043 11.8829869)"
9,,,,,,,,,,,11.8829869,78.8888043,8872568138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8888043 11.8829869, 78.8871628 11.8849764)"
10,,,,,,,,,,,11.8849764,78.8871628,8872568137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8871628 11.8849764, 78.8857761 11.8866851)"
11,,,,,,,,,,,11.8866851,78.8857761,8872568136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8857761 11.8866851, 78.883975 11.8876457)"
12,,,,,,,,,,,11.8876457,78.883975,8872568135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.883975 11.8876457, 78.8820679 11.8886392)"
15,,,,,,,,,,,11.8886392,78.8820679,8872568134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8820679 11.8886392, 78.8805512 11.8906195)"
16,,,,,,,,,,,11.8906195,78.8805512,8872568133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8805512 11.8906195, 78.8791765 11.8924016)"
17,,,,,,,,,,,11.8924016,78.8791765,8872568132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8791765 11.8924016, 78.8772587 11.8940748)"
18,,,,,,,,,,,11.8940748,78.8772587,8872568131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8772587 11.8940748, 78.8777362 11.8965459)"
19,,,,,,,,,,,11.8965459,78.8777362,8872568130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8777362 11.8965459, 78.8776329 11.8978516)"
20,,,,,,,,,,,11.8978516,78.8776329,8872568129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8776329 11.8978516, 78.8774841 11.9002387)"
21,,,,,,,,,,,11.9002387,78.8774841,8872568128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8774841 11.9002387, 78.8784215 11.9024866)"
24,,,,,,,,,,,11.9024866,78.8784215,8872568127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8784215 11.9024866, 78.8799074 11.9027845)"
25,,,,,,,,,,,11.9027845,78.8799074,8872568126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8799074 11.9027845, 78.8822356 11.9032648)"
26,,,,,,,,,,,11.9032648,78.8822356,8872568125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8822356 11.9032648, 78.8846911 11.9046466)"
27,,,,,,,,,,,11.9046466,78.8846911,8872568124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8846911 11.9046466, 78.8861342 11.9055809)"
28,,,,,,,,,,,11.9055809,78.8861342,8872568123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8861342 11.9055809, 78.8874565 11.9069929)"
29,,,,,,,,,,,11.9069929,78.8874565,8872568122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8874565 11.9069929, 78.8892804 11.9085781)"
30,,,,,,,,,,,11.9085781,78.8892804,8872568121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8892804 11.9085781, 78.890706 11.9102381)"
31,,,,,,,,,,,11.9102381,78.890706,8872568120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.890706 11.9102381, 78.8922268 11.9119925)"
32,,,,,,,,,,,11.9119925,78.8922268,8872568119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8922268 11.9119925, 78.8937087 11.9137365)"
33,,,,,,,,,,,11.9137365,78.8937087,8872568118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8937087 11.9137365, 78.8951987 11.9154161)"
34,,,,,,,,,,,11.9154161,78.8951987,8872568117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8951987 11.9154161, 78.8965613 11.9168923)"
35,,,,,,,,,,,11.9168923,78.8965613,8872555416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8965613 11.9168923, 78.8982283 11.9187399)"
36,,,,,,,,,,,11.9187399,78.8982283,8872568023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8982283 11.9187399, 78.8996404 11.9206465)"
37,,,,,,,,,,,11.9206465,78.8996404,8872568022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8996404 11.9206465, 78.9010245 11.9225229)"
