Tower No,Tower Type,Tower Type(S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
NEYVELI GANTRY,GANTRY,T,2W,20,,,,,90.053596,,11.59885829,79.44717453,GOOD,GOOD,,,PLAIN,NEYVELI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44717453164549 11.598858293315645, 79.44771153150104 11.598964286172805)"
1,DD,T,,28,GT - 1,,0.002613274,1.97,84.49128," 35d11'35""RT",11.59896429,79.44771153,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44771153150104 11.598964286172805, 79.44968252985036 11.598104286771528)"
2,DB,T,,24,2-Jan,,0.002333447,3.12,82.781052,"3d44'13""RT",11.59810429,79.44968253,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44968252985036 11.598104286771528, 79.4506735301662 11.59759329375964)"
3,DC,T,,26,3-Feb,,0.002489982,4.39,82.930611,"24d48'18""LT",11.59759329,79.45067353,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4506735301662 11.59759329375964, 79.45214352913817 11.5975222915324)"
4,DA,S,,26,4-Mar,,0.002196001,5.12,81.436394,,11.59752229,79.45214353,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45214352913817 11.5975222915324, 79.4538705286495 11.597484289802226)"
5,DB,T,,24,5-Apr,,0.00240254,4.32,80.875229,"9d2'23""LT",11.59748429,79.45387053,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4538705286495 11.597484289802226, 79.4564605271121 11.597832293222547)"
6,DB,T,,24,6-May,,0.002427265,6.3,78.859215,"11d20'55""RT",11.59783229,79.45646053,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4564605271121 11.597832293222547, 79.45878952673016 11.597688293404948)"
7,DB,T,,24,7-Jun,,0.002042713,7.68,74.326698,"4d28'56""LT",11.59768829,79.45878953,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45878952673016 11.597688293404948, 79.46127852525197 11.597758286266865)"
8,DA,S,,26,8-Jul,,0.001824605,5.41,82.93866,,11.59775829,79.46127853,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46127852525197 11.597758286266865, 79.46347452495628 11.597760287668427)"
9,DA,S,,26,9-Aug,,0.001210885,7.32,75.185219,,11.59776029,79.46347452,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46347452495628 11.597760287668427, 79.46587652396397 11.597811290419537)"
