S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,TN - 17,S,DC on DC,27,"=CONCATENATE(B22, "" : "", B23)",295.336032005658,4.92,24,,11.094264909625,79.5389142818748,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5389142818748 11.094264909625, 79.5362806040793 11.0946662351489)"
19,TN - 18,T,DC on DC,25,"=CONCATENATE(B23, "" : "", B24)",293.116005241102,5.18,26,13°2'21''LT,11.0946662351489,79.5362806040793,GOOD,AVAILABLE,,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5362806040793 11.0946662351489, 79.5340973697602 11.0945022013038)"
20,LILO - 19,S,DC on DC,27,"=CONCATENATE(B24, "" : "", B25)",241.193170033128,4.36,28,,11.0945022013038,79.5340973697602,GOOD,AVAILABLE,"HT, LT",,AGRI,LILO TO 110KV MULLUKKUDY,PC,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5340973697602 11.0945022013038, 79.5315583236515 11.094325594604)"
21,TN - 20,S,DC on DC,24,"=CONCATENATE(B25, "" : "", B26)",280.061615428905,4.95,27,,11.094325594604,79.5315583236515,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5315583236515 11.094325594604, 79.5288811437785 11.0941572859883)"
22,LILO - 21,T,DC on DC,25,"=CONCATENATE(B26, "" : "", B27)",295.057254504084,5.29,26,82°55'3''RT,11.0941572859883,79.5288811437785,GOOD,AVAILABLE,HT,ROAD,AGRI,LILO TO 110KV ADUTHURAI,PA,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5288811437785 11.0941572859883, 79.5289576705545 11.0954137332737)"
23,TN - 22,S,SC on SC,24,"=CONCATENATE(B27, "" : "", B28)",141.222455402989,3.74,22,,11.0954137332737,79.5289576705545,GOOD,AVAILABLE,HT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5289576705545 11.0954137332737, 79.5292540546506 11.097922520712)"
24,TN - 23,S,SC on SC,24,"=CONCATENATE(B28, "" : "", B29)",281.37075781941,3.95,28,,11.097922520712,79.5292540546506,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5292540546506 11.097922520712, 79.5295040868222 11.1003234330564)"
25,TN - 24,T,SC on SC,23,"=CONCATENATE(B29, "" : "", B30)",268.957517112518,6.25,24,4°47'4''LT,11.1003234330564,79.5295040868222,GOOD,AVAILABLE,,,AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5295040868222 11.1003234330564, 79.5299787539988 11.1028284486383)"
26,TN - 25,S,SC on SC,24,"=CONCATENATE(B30, "" : "", B31)",283.881346313266,6.84,21,,11.1028284486383,79.5299787539988,GOOD,AVAILABLE,,"RIVER, ROAD",AGRI,BUSHES,PC+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5299787539988 11.1028284486383, 79.5304229110479 11.1052190512418)"
27,TN - 26,S,SC on SC,24,"=CONCATENATE(B31, "" : "", B32)",270.830958579188,3.58,26,,11.1052190512418,79.5304229110479,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5304229110479 11.1052190512418, 79.5308849215507 11.107687857002)"
28,TN - 27,S,SC on SC,24,"=CONCATENATE(B32, "" : "", B33)",279.690829995722,4.56,28,,11.107687857002,79.5308849215507,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5308849215507 11.107687857002, 79.5313180144876 11.1101072933524)"
29,TN - 28,S,SC on SC,24,"=CONCATENATE(B33, "" : "", B34)",273.755210146062,5.62,28,,11.1101072933524,79.5313180144876,GOOD,AVAILABLE,LT -2,MUD ROAD,AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5313180144876 11.1101072933524, 79.5317668654024 11.1126402206718)"
30,TN - 29,S,SC on SC,24,"=CONCATENATE(B34, "" : "", B35)",286.416376353106,4.3,29,,11.1126402206718,79.5317668654024,GOOD,AVAILABLE,LT,,AGRI,,KCR,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5317668654024 11.1126402206718, 79.5322450529783 11.1149844713509)"
31,TN - 30,S,SC on SC,24,"=CONCATENATE(B35, "" : "", B36)",266.498574268412,4.85,26,,11.1149844713509,79.5322450529783,GOOD,AVAILABLE,,,AGRI,,PA,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5322450529783 11.1149844713509, 79.5327096618711 11.1173742357641)"
32,TN - 31,S,SC on SC,24,"=CONCATENATE(B36, "" : "", B37)",271.151651463438,6.45,22,,11.1173742357641,79.5327096618711,GOOD,AVAILABLE,LT -2,MUD ROAD,AGRI,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5327096618711 11.1173742357641, 79.5332493726164 11.1199571192264)"
33,TN - 32,T,SC on SC,23,"=CONCATENATE(B37, "" : "", B38)",293.703321829699,5.2,24,21°52'3''RT,11.1199571192264,79.5332493726164,GOOD,AVAILABLE,"HT, LT",ROAD,AGRI,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5332493726164 11.1199571192264, 79.5329798106104 11.1214758362621)"
34,ABAN LILO - 33,T,DC on DC,27,"=CONCATENATE(B38, "" : "", B39)",172.541149674108,4.82,22,88°35'23''LT,11.1214758362621,79.5329798106104,GOOD,AVAILABLE,"HT, LT",ROAD,AGRI,LILO TO 110KV MANALMEDU,PB,"Bund, Tank, Kurumbapatty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5329798106104 11.1214758362621, 79.5307343825697 11.1211812123656)"
35,TN - 34,T,DC on DC,27,"=CONCATENATE(B39, "" : "", B40)",249.431648537856,5.3,23,,11.1211812123656,79.5307343825697,GOOD,AVAILABLE,,,AGRI,BUSHES,PA+3M,LT-Line,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G40),,,,,,,,,,,,,,=F42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,=F43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
