S. No ,Tower No, Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KADALANGUDI GANTRY,T,2W,20,,,,17,,11.0884,79.57572,,,33KV - 2,"CANAL, TAAR ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57572 11.0884, 79.57607 11.08852)"
2,1,T,,28,GAN-01,40.4734619,6.662,22,"74⁰5'48"" LT",11.08852,79.57607,GOOD,GOOD,11 KV -2,ROAD,RICE STORE ROOM,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57607 11.08852, 79.57598 11.09009)"
3,2,S,,26,01-Feb,173.9267496,2.56,23,,11.09009,79.57598,GOOD,GOOD,33KV-1,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57598 11.09009, 79.57584 11.09172)"
4,3,T,,28,02-Mar,180.9324645,8.73,23,"62⁰28'29"" RT",11.09172,79.57584,GOOD,GOOD,33KV-1,CANAL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57584 11.09172, 79.57798 11.09306)"
5,4,T,,24,03-Apr,276.8005279,3.07,23,"1⁰30'19"" LT",11.09306,79.57798,GOOD,GOOD,LT-1,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57798 11.09306, 79.57988 11.09432)"
6,5,T,,24,04-May,250.0048512,7.27,25,"5⁰23'23"" LT",11.09432,79.57988,GOOD,GOOD,"LT-1,11 KV -1","SAND, FENCING",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57988 11.09432, 79.58175 11.09583)"
7,6,S,,26,05-Jun,263.8631451,6.79,25,,11.09583,79.58175,GOOD,GOOD,"LT-1, 11 KV-1",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58175 11.09583, 79.58384 11.09756)"
8,7,S,,26,06-Jul,297.8917396,1.98,25,,11.09756,79.58384,GOOD,GOOD,LT,SAND ROAD-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58384 11.09756, 79.58585 11.09917)"
9,8,S,,26,07-Aug,282.7039928,4.26,25,,11.09917,79.58585,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58585 11.09917, 79.58787 11.10081)"
10,9,S,,26,08-Sep,285.6475628,5.13,25,,11.10081,79.58787,GOOD,GOOD,"LI-1, 11 KV-1",,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58787 11.10081, 79.58989 11.10246)"
