S.No,Tower No.,Tower Suspension / Tension,Tower Type,JOINT BOX,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT 110KV VILLUPURAM SS,GANTRY,GANTRY,2W,15,,,,54,,79.484653,11.939904,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.484653 11.939904, 79.484749 11.940953)"
2,T.NO-502,DB,T,,26,GT-502,116.5203845,,54,"10°50'35""",79.484749,11.940953,RUST,24F OPGW,,,INSIDE GOVERNMENT HOSPITAL,EXISTING JOINT BOX AVILABLE.HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.484749 11.940953, 79.484938 11.941605)"
3,T.NO-501,DD,T,,30,502-501,75,,54,"43°13'46""",79.484938,11.941605,RUST,24F OPGW,,,INSIDE GOVERNMENT HOSPITAL,"BUILDING AREA,HAEVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.484938 11.941605, 79.483871 11.943642)"
4,T.NO-500,DB,T,,26,501-500,253.5764185,12.02,59,"5°20'36""",79.483871,11.943642,RUST,24F OPGW,"LT, 2-22KV",,INSIDE CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.483871 11.943642, 79.483247 11.945167)"
5,T.NO-499,DB,T,,26,500-499,181.7965896,11.31,59,"2°7'25""",79.483247,11.945167,RUST,24F OPGW,"4-LT, 2-22KV",,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.483247 11.945167, 79.482531 11.946745)"
6,T.NO-498,DC,T,2W,28,499-498,191.191004,INFINITY,56,"23°44'58""",79.482531,11.946745,RUST,24F OPGW,"2-LT, 2-22KV,","TAAR ROAD, CEMENT ROAD",PLAIN,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482531 11.946745, 79.482498 11.94942)"
7,T.NO-497,DA,S,,24,498-497,296.0067567,16.67,55,,79.482498,11.94942,RUST,24F OPGW,"LT,22KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482498 11.94942, 79.482556 11.952232)"
8,T.NO-496,DA,S,,24,497-496,311.1028769,INFINITY,55,,79.482556,11.952232,RUST,24F OPGW,2-LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482556 11.952232, 79.48256 11.954809)"
9,T.NO-495,DA,S,,24,496-495,285.0070175,INFINITY,54,,79.48256,11.954809,RUST,24F OPGW,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48256 11.954809, 79.482556 11.957069)"
10,T.NO-494,DA,S,,24,495-494,250.002,6.76,54,,79.482556,11.957069,GOOD,24F OPGW,,NATIONAL HIGHWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482556 11.957069, 79.482598 11.959438)"
