S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,47/2,T,,DC,26, 47/1-47/2,248.7530309,2.91,143.18576,"6°45'16"" L",11.40658333,78.76291667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76291666666667 11.406583333333334, 78.76136111111111 11.404833333333334)"
22,47/3,T,,DC,26,47/2-47/3,255.4357249,4.2,145.429382,"20°39'51"" R",11.40483333,78.76136111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76136111111111 11.404833333333334, 78.75941666666667 11.403805555555556)"
23,47/4,T,,DC,26,47/3-47/4,242.5641706,2.11,146.754776,"5°38'1"" R",11.40380556,78.75941667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75941666666667 11.403805555555556, 78.75727777777777 11.402944444444445)"
24,47/5,S,,DA,26,47/4-47/5,251.9524917,2.8,146.543213,,11.40294444,78.75727778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75727777777777 11.402944444444445, 78.75516666666667 11.402083333333334)"
25,47/6,T,,DC,26,47/5-47/6,248.5457634,3.07,147.456116,"3°53'33"" L",11.40208333,78.75516667,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75516666666667 11.402083333333334, 78.75327777777778 11.401166666666667)"
26,47/7,S,,DA,26,47/6-47/7,230.2776232,3,150.727341,,11.40116667,78.75327778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75327777777778 11.401166666666667, 78.75144444444445 11.40025)"
27,47/8,S,,DA,26,47/7-47/8,223.8812169,2.77,150.588516,,11.40025,78.75144444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75144444444445 11.40025, 78.74947222222222 11.399277777777778)"
28,47/9,T,,DC,26,47/8-47/9,240.7647777,2.21,152.395233,"15°2'47"" L",11.39927778,78.74947222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74947222222222 11.399277777777778, 78.74758333333334 11.397638888888888)"
29,47/10,S,,DA,26,47/9-47/10,275.7243097,2.6,154.344498,,11.39763889,78.74758333,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74758333333334 11.397638888888888, 78.74588888888889 11.396166666666666)"
30,47/11,T,,DC,26,47/10-47/11,244.9223278,1.91,157.081329,"22°55'38"" R",11.39616667,78.74588889,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74588888888889 11.396166666666666, 78.7435 11.395388888888888)"
31,47/12,S,,DA,26,47/11-47/12,276.4635703,3.01,159.01506,,11.39538889,78.7435,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7435 11.395388888888888, 78.74169444444445 11.394833333333333)"
32,47/13,S,,DA,26,47/12-47/13,206.0844211,4.12,159.695328,,11.39483333,78.74169444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74169444444445 11.394833333333333, 78.73936111111111 11.394138888888888)"
33,47/14,S,,DA,26,47/13-47/14,266.8049055,3.62,161.448517,,11.39413889,78.73936111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73936111111111 11.394138888888888, 78.73719444444444 11.3935)"
34,47/15,T,,DC,26,47/14-47/15,244.936738,2.42,162.19278,"30°46'9"" L",11.3935,78.73719444,GOOD,Available,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73719444444444 11.3935, 78.73611111111111 11.392305555555556)"
35,47/16,S,,DA,26,47/15-47/16,178.6865113,3.07,162.418961,,11.39230556,78.73611111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73611111111111 11.392305555555556, 78.73516666666667 11.391277777777777)"
36,47/17,S,,DA,26,47/16-47/17,151.8146506,4.27,161.572433,,11.39127778,78.73516667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73516666666667 11.391277777777777, 78.73363888888889 11.389638888888888)"
37,47/18,T,,DC,26,47/17-47/18,246.8069384,3,164.830811,"49°19'43"" R",11.38963889,78.73363889,GOOD,Available,LT,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73363888888889 11.389638888888888, 78.73136111111111 11.389722222222222)"
38,47/19,T,2W,DC,26,47/18-47/19,249.301622,2.55,165.848984,"14°36'56"" R",11.38972222,78.73136111,GOOD,Available,LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73136111111111 11.389722222222222, 78.72905555555556 11.390388888888888)"
39, 47/20,T,,DC,26,47/19- 47/20,260.737415,3.46,167.660339,"50°45'4"" L",11.39038889,78.72905556,GOOD,Available,"HT,LT -2NO",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72905555555556 11.390388888888888, 78.72697222222223 11.389)"
40, 47/21,T,,DC,26, 47/20- 47/21,274.7805326,2.45,168.733505,"14°56'25"" R",11.389,78.72697222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72697222222223 11.389, 78.72469444444445 11.388194444444444)"
41, 47/22,S,,DA,26, 47/21- 47/22,265.9710638,4.12,168.205093,,11.38819444,78.72469444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72469444444445 11.388194444444444, 78.72241666666667 11.387416666666667)"
42, 47/23,S,,DA,26, 47/22- 47/23,263.8342104,3.5,169.182724,,11.38741667,78.72241667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72241666666667 11.387416666666667, 78.72022222222222 11.386694444444444)"
43, 47/24,T,,DC,26, 47/23- 47/24,250.3876847,2.11,170.443558,"8°58'17"" L",11.38669444,78.72022222,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72022222222222 11.386694444444444, 78.71869444444445 11.38588888888889)"
44, 47/25,T,,DC,26, 47/24- 47/25,189.529024,3.33,169.119568,"29°35'49"" R",11.38588889,78.71869444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71869444444445 11.38588888888889, 78.71733333333333 11.385944444444444)"
