Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
SANGARAPURAM GANTRY,T,T,20,,,,,,,11.869933274265167,78.92788929899844,GOOD,NIL,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92788929899844 11.869933274265167, 78.92798722789716 11.870331665002487)"
1,DA,S,26,GT-1,,45.3542,,,"51d13'46""RT",11.870331665002487,78.92798722789716,,NIL,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92798722789716 11.870331665002487, 78.92961492266242 11.871084709569532)"
2,DD,T,28,1-2,,195.9796,,,"74d21'15""LT",11.871084709569532,78.92961492266242,,NIL,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92961492266242 11.871084709569532, 78.92920778766087 11.873477228985909)"
3,SA,S,26,2-3,,268.4775,8.58,146.46,,11.873477228985909,78.92920778766087,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92920778766087 11.873477228985909, 78.92882078801334 11.875491227896383)"
4,SB,T,24,3-4,,226.7981,5.12,150.13,"12d7'48""RT",11.875491227896383,78.92882078801334,GOOD,NIL,,RIVER,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92882078801334 11.875491227896383, 78.9288767881128 11.87772722934107)"
5,SA,S,26,4-5,,247.4815,6.8,152.31,,11.87772722934107,78.9288767881128,GOOD,NIL,,R0AD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9288767881128 11.87772722934107, 78.92895078818839 11.879957225775188)"
6,SA,S,26,5-6,,246.8736,3.24,156.56,,11.879957225775188,78.92895078818839,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92895078818839 11.879957225775188, 78.92898678797987 11.881298225864171)"
7,SA,S,26,6-7,,148.4292,,153.76,,11.881298225864171,78.92898678797987,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92898678797987 11.881298225864171, 78.92929778797954 11.883654223824985)"
8,SA,S,26,7-8,,262.8774,4.15,153.94,,11.883654223824985,78.92929778797954,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92929778797954 11.883654223824985, 78.92961778781633 11.886081227378384)"
9,SA,S,26,8-9,,270.7948,7.84,157.45,,11.886081227378384,78.92961778781633,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92961778781633 11.886081227378384, 78.92986278772749 11.887847218655464)"
10,SC,T,26,9-10,,= 197.2167,2.5,157.92," 20d22'40""RT",11.887847218655464,78.92986278772749,GOOD,NIL,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92986278772749 11.887847218655464, 78.93092365175767 11.88982195565154)"
11,SA,S,26,10-11,,247.196,,157.65,,11.88982195565154,78.93092365175767,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93092365175767 11.88982195565154, 78.93188254728338 11.891608612339994)"
12,SA,S,26,11-12,,224,,156,,11.891608612339994,78.93188254728338,GOOD,NIL,,POND,WATER LOGGED,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93188254728338 11.891608612339994, 78.93294017938547 11.893575554037968)"
13,SA,S,26,12-13,,246,,156.52,,11.893575554037968,78.93294017938547,GOOD,NIL,,LAKE,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93294017938547 11.893575554037968, 78.93404778518276 11.895637217030323)"
14,SD,T,28,13-14,,= 258.0779,2.29,153.89,"59d57'55""LT",11.895637217030323,78.93404778518276,GOOD,NIL,LT-1,R0AD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93404778518276 11.895637217030323, 78.93314468963352 11.897056016637297)"
15,SA,S,26,14-15,,= 185.2802,1.56,154.74,,11.897056016637297,78.93314468963352,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93314468963352 11.897056016637297, 78.93228778578828 11.89840222433016)"
16,SB,T,24,15-16,,175.8012,4.35,155.26," 6d41'25""LT",11.89840222433016,78.93228778578828,GOOD,NIL,LT-1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93228778578828 11.89840222433016, 78.93083568700523 11.900182574678592)"
17,SA,S,26,16-17,,252.6705,3.72,157.03,,11.900182574678592,78.93083568700523,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93083568700523 11.900182574678592, 78.92916943292178 11.902225470246327)"
18,SA,S,26,17-18,,289.9319,,158.52,,11.902225470246327,78.92916943292178,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92916943292178 11.902225470246327, 78.92742405482157 11.904365298201181)"
19,SA,S,26,18-19,,303.6927,1.04,157.58,,11.904365298201181,78.92742405482157,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92742405482157 11.904365298201181, 78.92563178989958 11.906554216102458)"
20,SA,S,26,19-20,,311.1267,2.1,159.8,,11.906554216102458,78.92563178989958,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92563178989958 11.906554216102458, 78.92393379142895 11.908644219965495)"
21,SA,S,26,20-21,,296.1608,4.92,161.04," 15d57'52""RT",11.908644219965495,78.92393379142895,GOOD,NIL,LT-1,POND,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92393379142895 11.908644219965495, 78.9230757913015 11.91065322162242)"
22,SA,S,26,21-22,,= 241.1509,2.48,166,,11.91065322162242,78.9230757913015,GOOD,NIL,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9230757913015 11.91065322162242, 78.92214653368431 11.913246304710428)"
23,SA,S,26,22-23,,304,,165,,11.913246304710428,78.92214653368431,GOOD,NIL,,POND,WATER LOGGED,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92214653368431 11.913246304710428, 78.92149024119007 11.915067131845982)"
24,SA,S,26,23-24,,214,,165,,11.915067131845982,78.92149024119007,GOOD,NIL,,POND,WATER LOGGED,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92149024119007 11.915067131845982, 78.92073064851297 11.917194483769082)"
25,SA,S,26,24-25,,249,,164,,11.917194483769082,78.92073064851297,GOOD,NIL,,POND,WATER LOGGED,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92073064851297 11.917194483769082, 78.91993383577659 11.919422484241368)"
26,SA,S,26,25-26,,261,6.81,164.31,,11.919422484241368,78.91993383577659,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91993383577659 11.919422484241368, 78.91897079403873 11.922110211899911)"
