S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 129,S,DA,26,130-129,324.038577950219,4.13,93,,11.54639106974811,79.07546905277897,GOOD,GOOD,LT-1,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07546905277897 11.54639106974811, 79.07243488456378 11.54640708582583)"
21,T.NO 128,S,DA,26,129-128,331.024168301953,3.2,90,,11.54640708582583,79.07243488456378,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07243488456378 11.54640708582583, 79.06945596400679 11.546387281960772)"
22,T.NO 127,S,DA,26,128-127,325,4.13,90,,11.546387281960772,79.06945596400679,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06945596400679 11.546387281960772, 79.06664209676718 11.546359508384326)"
23,T.NO 126,S,DA,26,127-126,307.001628660175,5.01,94,,11.546359508384326,79.06664209676718,GOOD,GOOD,LT-2 HT-1,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06664209676718 11.546359508384326, 79.06393791492587 11.54637763387911)"
24,T.NO 125,S,DA,26,126-125,295.027117397706,4.17,96,,11.54637763387911,79.06393791492587,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06393791492587 11.54637763387911, 79.06170163028538 11.546335587773003)"
25,T.NO 124,S,DA,26,125-124,244.018441926015,5.13,95,,11.546335587773003,79.06170163028538,GOOD,GOOD,HT-2,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06170163028538 11.546335587773003, 79.05856659922186 11.546359823645304)"
26,T.NO 123,S,DA,26,124-123,342.036547754768,4.55,93,,11.546359823645304,79.05856659922186,GOOD,GOOD,,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05856659922186 11.546359823645304, 79.05521178035566 11.546355435959395)"
27, T.NO 122,S,DA,26,123-122,366.005464440082,3.87,92,,11.546355435959395,79.05521178035566,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05521178035566 11.546355435959395, 79.05184792704455 11.546332871108511)"
28,T.NO 121,T,DB,24,122-121,367,5.51,96,"12°42'55""",11.546332871108511,79.05184792704455,GOOD,GOOD,,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05184792704455 11.546332871108511, 79.04893768254225 11.546991229034333)"
29,T.NO 120,S,DA,26,121-120,325.751438983775,4.87,98,,11.546991229034333,79.04893768254225,GOOD,GOOD,HT-1 ,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04893768254225 11.546991229034333, 79.0460462614689 11.547577371917734)"
30,T.NO 119,S,DA,26,120-119,322.046580481768,5.83,97,,11.547577371917734,79.0460462614689,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0460462614689 11.547577371917734, 79.04327361243894 11.548218517853055)"
31,T.NO 118 CHINNASALEM LILO,T,DD,28,119-118,310.697602179354,4.21,97,"83°22'37""",11.548218517853055,79.04327361243894,GOOD,GOOD,,ROAD-1,CULTIVACTION LAND,CHINNASALEM LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04327361243894 11.548218517853055, 79.04328221404649 11.548299924973136)"
32,T.NO 1,T,DC,26,118-1,9.05538513813742,5.13,98,"16°0'49""",11.548299924973136,79.04328221404649,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04328221404649 11.548299924973136, 79.04299620362562 11.549888822498772)"
33,T.NO 2,T,DD,28,1-2,178.538511251774,3.11,94,"67°19'55""",11.549888822498772,79.04299620362562,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04299620362562 11.549888822498772, 79.04156406933795 11.550204553408804)"
34,T.NO 3,T,DB,24,2-3,160.099968769516,4.53,98,"6°24'46""",11.550204553408804,79.04156406933795,GOOD,GOOD,HT-1,MUD ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04156406933795 11.550204553408804, 79.0410870674083 11.550255565233565)"
35,GT 110KV ADHARI SS,T,GT,15,3-GT,52.3450093132096,,99,,11.550255565233565,79.0410870674083,GOOD,MISSING,,,PLAIN,110KV ADHARI SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,9680M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
