S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Trichy SS),Gantry,H-POLE,12,,,,103.31308,,10.798583333333333,78.67169444444446,GOOD,,,,SS,Joint Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67169444444446 10.798583333333333, 78.67152777777778 10.798555555555556)"
2,1,T,SC,22,Gantry-1,16.084744647739214,6.36,99.404167,"5°46'3"" R",10.798555555555556,78.67152777777778,GOOD,NO E/W,HT,,PLAIN,Joint Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67152777777778 10.798555555555556, 78.67036111111112 10.798472222222221)"
3,2,T,SC,22,1-2,129.48215456023738,4.11,94.342697,"2°11'8"" R",10.798472222222221,78.67036111111112,GOOD,Available,HT,,PLAIN,Joint Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67036111111112 10.798472222222221, 78.66819444444445 10.798416666666666)"
4,3,T,SC,22,2-3,236.76036869187308,4.26,94.342697,"1°38'37"" L",10.798416666666666,78.66819444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66819444444445 10.798416666666666, 78.66605555555556 10.798305555555556)"
5,4,S,SA,22,3-4,234.12970865536144,2.17,85.526497,,10.798305555555556,78.66605555555556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66605555555556 10.798305555555556, 78.66408333333334 10.798222222222222)"
6,5,S,SA,22,4-5,215.01643290589146,1.76,78.2898639999999,,10.798222222222222,78.66408333333334,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66408333333334 10.798222222222222, 78.66197222222223 10.798083333333333)"
7,6,S,SA,22,5-6,231.10213617724702,2.73,76.1181789999999,,10.798083333333333,78.66197222222223,GOOD,Available,,Canal,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66197222222223 10.798083333333333, 78.66052777777779 10.798083333333333)"
8,7,T,SC,22,6-7,158.19699622695663,3.02,76.872787,"5°55'32"" L",10.798083333333333,78.66052777777779,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66052777777779 10.798083333333333, 78.65919444444445 10.797972222222223)"
9,8,S,SA,22,7-8,146.71897156499966,4.92,78.3620829999999,"3°44'50"" R",10.797972222222223,78.65919444444445,GOOD,Available,"HT,LT-2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65919444444445 10.797972222222223, 78.65658333333334 10.79786111111111)"
10,9,S,SA,22,8-9,287.8371502374664,3.19,78.420326,,10.79786111111111,78.65658333333334,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65658333333334 10.79786111111111, 78.65369444444445 10.79775)"
