,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1(TAPPING POINT)DC,T,3W,T,26,,NO,,,,,,78.78197222,10.35911111,GOOD,GOOD,,,PLAIN LAND ,ONE FEEDER GOING TO THIRUMAYAM AND OTHER TO PDK OLD S.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78197222222222 10.35911111111111, 78.78188888888889 10.358972222222222)"
2,T.NO.150 SC,T,,DB,24,1-150,NO,,18.02775638,1.21,99,"0°00'00.00""",78.78188889,10.35897222,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78188888888889 10.358972222222222, 78.77980555555555 10.357138888888889)"
3,T.NO.149,S,,DA,26,150-149,NO,,304.6998523,3.16,99,,78.77980556,10.35713889,GOOD,GOOD,LT LIINE -1 CROSSING,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77980555555555 10.357138888888889, 78.77813888888889 10.355666666666666)"
4,T.NO.148,S,,DA,26,149-148,NO,,245.2468145,2.91,94,,78.77813889,10.35566667,GOOD,GOOD,"LT LIINE -1,11KV LINE CROSSING",,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77813888888889 10.355666666666666, 78.77652777777777 10.35425)"
5,T.NO.147,T,,DB+6,30,148-147,NO,,236.6854453,3.91,94,"0°00'00.00""",78.77652778,10.35425,GOOD,GOOD,,RIVER CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77652777777777 10.35425, 78.77536111111111 10.353222222222222)"
6,T.NO.146,T,,DB,24,147-146,NO,,169.2483382,2.11,92,"0°00'00.00""",78.77536111,10.35322222,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77536111111111 10.353222222222222, 78.77336111111111 10.351388888888888)"
7,T.NO.145,S,,DA,26,146-145,NO,,299.4745398,2.69,93,,78.77336111,10.35138889,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77336111111111 10.351388888888888, 78.77144444444444 10.349555555555556)"
8,T.NO.144,S,,DA,26,145-144,NO,,291.4137951,2.66,99,,78.77144444,10.34955556,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77144444444444 10.349555555555556, 78.76952777777778 10.347861111111111)"
9,T.NO.143,S,,DA,26,144-143,NO,,280.5280735,3.17,104,,78.76952778,10.34786111,GOOD,GOOD,LT LIINE -1 CROSSING,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76952777777778 10.347861111111111, 78.76788888888889 10.346277777777779)"
10,T.NO.142,S,,DA,26,143-142,YES,,253.8995865,2.97,97,,78.76788889,10.34627778,GOOD,GOOD,LT LIINE -1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76788888888889 10.346277777777779, 78.76611111111112 10.34463888888889)"
11,T.NO.141,S,,DA,26,142-141,NO,,264.643156,4.23,95,,78.76611111,10.34463889,GOOD,GOOD,LT LIINE -1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76611111111112 10.34463888888889, 78.76408333333333 10.342722222222223)"
12,T.NO.140,S,,DA,26,141-140,NO,,305.6795708,2.19,95,,78.76408333,10.34272222,GOOD,GOOD,LT LIINE -1 CROSSING,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76408333333333 10.342722222222223, 78.76222222222222 10.341000000000001)"
13,T.NO.139,S,,DA,26,140-139,NO,,282.3349075,2.17,99,,78.76222222,10.341,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND ,INSIDE THE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76222222222222 10.341000000000001, 78.76041666666667 10.33925)"
14,T.NO.138,S,,DA,26,139-138,NO,,275.1381471,4.71,100,,78.76041667,10.33925,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76041666666667 10.33925, 78.75852777777777 10.3375)"
15,T.NO.137,T,2W,DB,24,138-137,NO,,282.3349075,3.69,97,"9°54'30.24""",78.75852778,10.3375,GOOD,GOOD,LT LIINE -1 CROSSING,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75852777777777 10.3375, 78.75675 10.336305555555557)"
16,T.NO.136,S,,DA,26,137-136,NO,,235.7477465,5.17,102,,78.75675,10.33630556,GOOD,GOOD,LT LIINE -1 CROSSING,,WATER LOGGED,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75675 10.336305555555557, 78.75475 10.334777777777779)"
17,T.NO.135,T,,DB,24,136-135,YES,,277.800288,1.91,99,"14°31'37.62""",78.75475,10.33477778,GOOD,GOOD,"LT LIINE -1,11KV LINE-1 CROSSING",TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75475 10.334777777777779, 78.75327777777778 10.332972222222223)"
18,T.NO.134,S,,DA,26,135-134,NO,,256.9065978,4.68,99,,78.75327778,10.33297222,GOOD,GOOD,LT LIINE -2 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75327777777778 10.332972222222223, 78.75177777777778 10.331055555555555)"
19,T.NO.133,T,,DC,26,134-133,NO,,268.931218,2.01,100,"20°22'28.04""",78.75177778,10.33105556,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75177777777778 10.331055555555555, 78.75108333333333 10.328972222222221)"
20,T.NO.132,S,,DA,26,133-132,NO,,242.2312944,5.61,101,,78.75108333,10.32897222,GOOD,GOOD,"LT LIINE -1,11KV LINE-1 CROSSING",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75108333333333 10.328972222222221, 78.7503611111111 10.32638888888889)"
21,T.NO.131,S,,DA,26,132-131,NO,,295.6010825,2.99,98,,78.75036111,10.32638889,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7503611111111 10.32638888888889, 78.74938888888889 10.32386111111111)"
22,T.NO.130,S,,DA,26,131-130,NO,,300.1066477,3.91,104,,78.74938889,10.32386111,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74938888888889 10.32386111111111, 78.74844444444444 10.32125)"
23,T.NO.129,S,,DA+3,29,130-129,NO,,306.2972413,2.61,104,,78.74844444,10.32125,GOOD,GOOD,LT LIINE -2 CROSSING,WELL CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74844444444444 10.32125, 78.74780555555556 10.318833333333334)"
24,T.NO.128,S,,DA,26,129-128,NO,,277.95863,3.61,105,,78.74780556,10.31883333,GOOD,GOOD,,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74780555555556 10.318833333333334, 78.74697222222223 10.316472222222224)"
25,T.NO.127,S,,DA,26,128-127,NO,,276.4706133,1.71,106,,78.74697222,10.31647222,GOOD,GOOD,LT LIINE -1 CROSSING,,WATER LOGGED,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74697222222223 10.316472222222224, 78.74622222222223 10.31413888888889)"
26,T.NO.126,S,,DA,26,127-126,NO,,269.7424698,1.71,110,,78.74622222,10.31413889,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74622222222223 10.31413888888889, 78.7453888888889 10.311583333333335)"
27,T.NO.125,S,,DA,26,126-125,NO,,297.2709202,3.36,111,,78.74538889,10.31158333,GOOD,GOOD,,,PLAIN LAND ,"TOWER COVERED WITH BUSHS,POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7453888888889 10.311583333333335, 78.74455555555555 10.309000000000001)"
28,T.NO.124,S,,DA,26,125-124,YES,,302.0016556,3.14,112,,78.74455556,10.309,GOOD,GOOD,,"TAR ROAD,MUD ROAD CROSSING",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74455555555555 10.309000000000001, 78.74375 10.306666666666667)"
29,T.NO.123,S,,DA+3,29,124-123,YES,,270.4163457,1.16,111,,78.74375,10.30666667,GOOD,GOOD,LT LIINE -1 CROSSING,STONE QUARRY CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74375 10.306666666666667, 78.74291666666667 10.304111111111112)"
30,T.NO.122,S,,DA,26,123-122,NO,,298.5196811,4.86,113,,78.74291667,10.30411111,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74291666666667 10.304111111111112, 78.74236111111111 10.30238888888889)"
31,T.NO.121,T,2W,DB,24,122-121,YES,,200.504364,4.59,119,"7°37'31.66""",78.74236111,10.30238889,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74236111111111 10.30238888888889, 78.74116666666667 10.299805555555555)"
