Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
6,DA,S,26,5-6,,=SQRT((K24-K23)^2+(L24-L23)^2),,73.788239,,11.60564928765046,79.4725555205072,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4725555205072 11.60564928765046, 79.4724845207186 11.608421285648461)"
7,DA,S,26,6-7,,=SQRT((K25-K24)^2+(L25-L24)^2),,76.908333,,11.608421285648461,79.4724845207186,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4724845207186 11.608421285648461, 79.47242152109617 11.611264285441294)"
8,DA,S,26,7-8,,=SQRT((K26-K25)^2+(L26-L25)^2),,77.24073,,11.611264285441294,79.47242152109617,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47242152109617 11.611264285441294, 79.4723485208573 11.613750288342239)"
9,DA,S,26,8-9,,=SQRT((K27-K26)^2+(L27-L26)^2),,79.884773,,11.613750288342239,79.4723485208573,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4723485208573 11.613750288342239, 79.47226252145279 11.616727283189395)"
10,DA,S,26,9-10,,=SQRT((K28-K27)^2+(L28-L27)^2),5.32,84.693504,,11.616727283189395,79.47226252145279,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47226252145279 11.616727283189395, 79.47220052133302 11.6195412837941)"
11,DA,S,26,10-11,,=SQRT((K29-K28)^2+(L29-L28)^2),7.42,81.210342,,11.6195412837941,79.47220052133302,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47220052133302 11.6195412837941, 79.472129521009 11.622287286504486)"
12,DA,S,26,11-12,,=SQRT((K30-K29)^2+(L30-L29)^2),,86.71096,,11.622287286504486,79.472129521009,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.472129521009 11.622287286504486, 79.47207052081647 11.62489828480738)"
13,DA,S,26,12-13,,=SQRT((K31-K30)^2+(L31-L30)^2),,86.674217,,11.62489828480738,79.47207052081647,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47207052081647 11.62489828480738, 79.47197552073632 11.627577285341035)"
14,DA,S,26,13-14,,=SQRT((K32-K31)^2+(L32-L31)^2),,85.575409,,11.627577285341035,79.47197552073632,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47197552073632 11.627577285341035, 79.47201652102521 11.63031128620193)"
15,DB,T,24,14-15,,=SQRT((K33-K32)^2+(L33-L32)^2),5.3,91.540405," 10d15'7""RT",11.63031128620193,79.47201652102521,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47201652102521 11.63031128620193, 79.47223752086019 11.631619283342648)"
121,DD,T,28,15-121,,=SQRT((K34-K33)^2+(L34-L33)^2),6.42,86.573021,"63d26'16""RT",11.631619283342648,79.47223752086019,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47223752086019 11.631619283342648, 79.47478551982402 11.632392284581206)"
120,DB,T,24,121-120,,=SQRT((K35-K34)^2+(L35-L34)^2),0.6,90.068977," 3d10'1""LT",11.632392284581206,79.47478551982402,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47478551982402 11.632392284581206, 79.47593351940866 11.632810286736115)"
119,DC,T,26,120-119,,=SQRT((K36-K35)^2+(L36-L35)^2),0.32,87.112762,"18d37'31""RT",11.632810286736115,79.47593351940866,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47593351940866 11.632810286736115, 79.47766251916332 11.632859285941743)"
118,DD,T,28,119-118,,=SQRT((K37-K36)^2+(L37-L36)^2),3.7,86.018799," 44d17'35""LT",11.632859285941743,79.47766251916332,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47766251916332 11.632859285941743, 79.47899551866148 11.634245280390925)"
117,DA,S,26,118-117,,=SQRT((K38-K37)^2+(L38-L37)^2),0.68,87.893562,,11.634245280390925,79.47899551866148,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47899551866148 11.634245280390925, 79.48027451741805 11.635559283683609)"
116,DA,S,26,117-116,,=SQRT((K39-K38)^2+(L39-L38)^2),1.35,82.50148,,11.635559283683609,79.48027451741805,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48027451741805 11.635559283683609, 79.48169051748344 11.63699528544364)"
115,DA,S,26,116-115,,=SQRT((K40-K39)^2+(L40-L39)^2),1.42,90.069504,,11.63699528544364,79.48169051748344,GOOD,GOOD,"LT-1,HT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48169051748344 11.63699528544364, 79.48318851697033 11.638488281225573)"
114,DD,T,28,115-114,,=SQRT((K41-K40)^2+(L41-L40)^2),0.5,85.554062," 32d22'40""RT",11.638488281225573,79.48318851697033,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48318851697033 11.638488281225573, 79.48550251594413 11.639041280612185)"
113,DA,S,26,114-113,,=SQRT((K42-K41)^2+(L42-L41)^2),4.62,87.06324,,11.639041280612185,79.48550251594413,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48550251594413 11.639041280612185, 79.48749851524263 11.639486283078037)"
112,DA,S,26,113-112,,=SQRT((K43-K42)^2+(L43-L42)^2),,89.17868,,11.639486283078037,79.48749851524263,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48749851524263 11.639486283078037, 79.48964351445328 11.640022280134215)"
111,DA,S,26,112-111,,=SQRT((K44-K43)^2+(L44-L43)^2),0.95,87.122353,,11.640022280134215,79.48964351445328,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48964351445328 11.640022280134215, 79.49177751284113 11.640527276250706)"
110,DA,S,26,111-110,,=SQRT((K45-K44)^2+(L45-L44)^2),5.13,88.257515,,11.640527276250706,79.49177751284113,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49177751284113 11.640527276250706, 79.49406551189449 11.641074279448986)"
109,DD,T,28,110-109,,=SQRT((K46-K45)^2+(L46-L45)^2),1.9,91.300156,"34d8'33""RT",11.641074279448986,79.49406551189449,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49406551189449 11.641074279448986, 79.49611851156705 11.640284278884407)"
108,DA,S,26,109-108,,=SQRT((K47-K46)^2+(L47-L46)^2),1.35,90.039757,,11.640284278884407,79.49611851156705,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49611851156705 11.640284278884407, 79.4983515103885 11.639483285063587)"
107,DA,S,26,108-107,,=SQRT((K48-K47)^2+(L48-L47)^2),1.8,83.149803,,11.639483285063587,79.4983515103885,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4983515103885 11.639483285063587, 79.50059550970393 11.638641284602183)"
106,DA,S,26,107-106,,=SQRT((K49-K48)^2+(L49-L48)^2),1.46,92.607368,,11.638641284602183,79.50059550970393,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50059550970393 11.638641284602183, 79.50297450824856 11.637766280723186)"
105,DA,S,26,106-105,,=SQRT((K50-K49)^2+(L50-L49)^2),4.6,84.679329,,11.637766280723186,79.50297450824856,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50297450824856 11.637766280723186, 79.50506950789384 11.637000278078542)"
104,DD,T,28,105-104,,=SQRT((K51-K50)^2+(L51-L50)^2),0.5,86.245529,"38d56'49""LT",11.637000278078542,79.50506950789384,GOOD,NO EARTH CABLE,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50506950789384 11.637000278078542, 79.50726750654857 11.637713285356453)"
103,DA,S,26,104-103,,=SQRT((K52-K51)^2+(L52-L51)^2),1.32,85.030952,,11.637713285356453,79.50726750654857,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50726750654857 11.637713285356453, 79.50956950591606 11.638473284919604)"
102,DA,S,26,103-102,,=SQRT((K53-K52)^2+(L53-L52)^2),1.7,79.725388,,11.638473284919604,79.50956950591606,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50956950591606 11.638473284919604, 79.51185950488457 11.639191283328405)"
101,DA,S,26,102-101,,=SQRT((K54-K53)^2+(L54-L53)^2),2.32,81.867348,,11.639191283328405,79.51185950488457,GOOD,NO EARTH CABLE,LT-1,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51185950488457 11.639191283328405, 79.51429050381964 11.63999327612173)"
100,DA,S,26,101-100,,=SQRT((K55-K54)^2+(L55-L54)^2),2.1,84.751251,,11.63999327612173,79.51429050381964,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51429050381964 11.63999327612173, 79.5167615028554 11.640802281791554)"
99,DA,S,26,100-99,,=SQRT((K56-K55)^2+(L56-L55)^2),1.62,78.953499,,11.640802281791554,79.5167615028554,GOOD,NO EARTH CABLE,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5167615028554 11.640802281791554, 79.51910050228547 11.641619277322194)"
98,DA,S,26,99-98,,=SQRT((K57-K56)^2+(L57-L56)^2),3.12,78.054726,,11.641619277322194,79.51910050228547,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51910050228547 11.641619277322194, 79.52155150118605 11.642392277234956)"
97,DA,S,26,98-97,,=SQRT((K58-K57)^2+(L58-L57)^2),5.17,83.263176,,11.642392277234956,79.52155150118605,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52155150118605 11.642392277234956, 79.52398350071338 11.643238282714451)"
96,DA,S,26,97-96,,=SQRT((K59-K58)^2+(L59-L58)^2),4.17,83.100441,,11.643238282714451,79.52398350071338,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52398350071338 11.643238282714451, 79.52641349955158 11.644069278371719)"
95,DA,S,26,96-95,,=SQRT((K60-K59)^2+(L60-L59)^2),1.17,83.371353,,11.644069278371719,79.52641349955158,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52641349955158 11.644069278371719, 79.52880749863631 11.64489427598142)"
94,DA,S,26,95-94,,=SQRT((K61-K60)^2+(L61-L60)^2),,83.344986,,11.64489427598142,79.52880749863631,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52880749863631 11.64489427598142, 79.53132849716023 11.645740281304269)"
93,DA,S,26,94-93,,=SQRT((K62-K61)^2+(L62-L61)^2),2.17,82.230904,,11.645740281304269,79.53132849716023,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53132849716023 11.645740281304269, 79.53379249658462 11.64654627745181)"
92,DA,S,26,93-92,,=SQRT((K63-K62)^2+(L63-L62)^2),3.81,79.268013,,11.64654627745181,79.53379249658462,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53379249658462 11.64654627745181, 79.5361494952853 11.64736828187832)"
91,DA,S,26,92-91,,=SQRT((K64-K63)^2+(L64-L63)^2),2.93,82.110321,,11.64736828187832,79.5361494952853,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5361494952853 11.64736828187832, 79.53858249459063 11.648183277074084)"
90,DD,T,28,91-90,,=SQRT((K65-K64)^2+(L65-L64)^2),0.55,89.651787," 33d42'14""LT",11.648183277074084,79.53858249459063,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53858249459063 11.648183277074084, 79.53979649369714 11.649819276801802)"
89,DA,S,26,90-89,,=SQRT((K66-K65)^2+(L66-L65)^2),2.17,86.902809,,11.649819276801802,79.53979649369714,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53979649369714 11.649819276801802, 79.54119149321326 11.651581280417622)"
88,DA,S,26,89-88,,=SQRT((K67-K66)^2+(L67-L66)^2),1.03,86.425102,,11.651581280417622,79.54119149321326,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54119149321326 11.651581280417622, 79.54268549287457 11.653511281372987)"
87,DA,S,26,88-87,,=SQRT((K68-K67)^2+(L68-L67)^2),,89.29454,,11.653511281372987,79.54268549287457,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54268549287457 11.653511281372987, 79.54420249192778 11.655441275555193)"
86,DA,S,26,87-86,,=SQRT((K69-K68)^2+(L69-L68)^2),3.01,90.876396,,11.655441275555193,79.54420249192778,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54420249192778 11.655441275555193, 79.54557049162996 11.657255274990737)"
85,DA,S,26,86-85,,=SQRT((K70-K69)^2+(L70-L69)^2),1.71,89.121208,,11.657255274990737,79.54557049162996,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54557049162996 11.657255274990737, 79.54692449159015 11.658990271804026)"
