Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
68,DD,T,28,69-68,,=SQRT((K87-K86)^2+(L87-L86)^2),3.5,77.646393,"33d2'47""LT",11.66792627553012,79.58482547667549,GOOD,GOOD,neyveli-karaikal 230kv ,,PLAIN,neyveli-karaikal 230kv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58482547667549 11.66792627553012, 79.58695847528588 11.669227274008335)"
67,DA,S,26,68-67,,=SQRT((K88-K87)^2+(L88-L87)^2),4.6,77.592682,,11.669227274008335,79.58695847528588,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58695847528588 11.669227274008335, 79.5892084749454 11.670699275389993)"
66,DA,S,26,67-66,,=SQRT((K89-K88)^2+(L89-L88)^2),1.9,74.887924,,11.670699275389993,79.5892084749454,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5892084749454 11.670699275389993, 79.59135547380187 11.6721252709518)"
65,DA,S,26,66-65,,=SQRT((K90-K89)^2+(L90-L89)^2),1.31,77.726494,,11.6721252709518,79.59135547380187,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59135547380187 11.6721252709518, 79.59361647333377 11.673565273108329)"
64,DA,S,26,65-64,,=SQRT((K91-K90)^2+(L91-L90)^2),2.35,75.179352,,11.673565273108329,79.59361647333377,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59361647333377 11.673565273108329, 79.59591847238427 11.675087273103136)"
63,DA,S,26,64-63,,=SQRT((K92-K91)^2+(L92-L91)^2),4.15,75.128334,,11.675087273103136,79.59591847238427,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59591847238427 11.675087273103136, 79.59818447148834 11.676550269218062)"
62,DA,S,26,63-62,,=SQRT((K93-K92)^2+(L93-L92)^2),5.3,76.068947,,11.676550269218062,79.59818447148834,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59818447148834 11.676550269218062, 79.60051247039166 11.67806227458499)"
61,DA,S,26,62-61,,=SQRT((K94-K93)^2+(L94-L93)^2),6.25,76.919266,,11.67806227458499,79.60051247039166,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60051247039166 11.67806227458499, 79.60269546955868 11.679517268086586)"
60,DA,S,26,61-60,,=SQRT((K95-K94)^2+(L95-L94)^2),4.65,75.956528,,11.679517268086586,79.60269546955868,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60269546955868 11.679517268086586, 79.60486946845118 11.680960269325613)"
59,DA,S,26,60-59,,=SQRT((K96-K95)^2+(L96-L95)^2),4.85,78.203247,,11.680960269325613,79.60486946845118,GOOD,GOOD,"HT-1,LT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60486946845118 11.680960269325613, 79.60708846830538 11.682403266851384)"
58,DA,S,26,59-58,,=SQRT((K97-K96)^2+(L97-L96)^2),4.15,77.957497,,11.682403266851384,79.60708846830538,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60708846830538 11.682403266851384, 79.60936446703467 11.683911269277797)"
57,DA,S,26,58-57,,=SQRT((K98-K97)^2+(L98-L97)^2),3.15,78.162209,,11.683911269277797,79.60936446703467,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60936446703467 11.683911269277797, 79.61149946631443 11.685303272400944)"
56,DA,S,26,57-56,,=SQRT((K99-K98)^2+(L99-L98)^2),5.1,78.717949,,11.685303272400944,79.61149946631443,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61149946631443 11.685303272400944, 79.61313546552219 11.68643526836703)"
55,DA,S,26,56-55,,=SQRT((K100-K99)^2+(L100-L99)^2),7.25,76.149803,,11.68643526836703,79.61313546552219,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61313546552219 11.68643526836703, 79.6153434652701 11.687844271523927)"
54,DA,S,26,55-54,,=SQRT((K101-K100)^2+(L101-L100)^2),5.8,76.138702,,11.687844271523927,79.6153434652701,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6153434652701 11.687844271523927, 79.61758746383875 11.689316269452403)"
53,DA,S,26,54-53,,=SQRT((K102-K101)^2+(L102-L101)^2),4.9,70.823555,,11.689316269452403,79.61758746383875,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61758746383875 11.689316269452403, 79.61984546322425 11.690802270115983)"
52,DA,S,26,53-52,,=SQRT((K103-K102)^2+(L103-L102)^2),4.15,69.623985,,11.690802270115983,79.61984546322425,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61984546322425 11.690802270115983, 79.62171346208149 11.692040271955113)"
51,DA,S,26,52-51,,=SQRT((K104-K103)^2+(L104-L103)^2),6.35,70.514763,,11.692040271955113,79.62171346208149,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62171346208149 11.692040271955113, 79.6239164612851 11.693520266680114)"
50,DD,T,28,51-50,,=SQRT((K105-K104)^2+(L105-L104)^2),5,65.749428,"35d11'45""RT",11.693520266680114,79.6239164612851,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6239164612851 11.693520266680114, 79.62572646050417 11.693476263195798)"
49,DC,T,26,40-49,,=SQRT((K106-K105)^2+(L106-L105)^2),2.5,61.92498,"27d57'35""LT",11.693476263195798,79.62572646050417,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62572646050417 11.693476263195798, 79.6271444601726 11.69415526686849)"
48,DA,S,26,49-48,,=SQRT((K107-K106)^2+(L107-L106)^2),12.5,62.881401,,11.69415526686849,79.6271444601726,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6271444601726 11.69415526686849, 79.6294074591419 11.695274270602084)"
47,DA,S,26,48-47,,=SQRT((K108-K107)^2+(L108-L107)^2),3.3,60.083534,,11.695274270602084,79.6294074591419,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6294074591419 11.695274270602084, 79.6314754589463 11.696296264916064)"
46,DA,S,26,47-46,,=SQRT((K109-K108)^2+(L109-L108)^2),1.09,62.055237,,11.696296264916064,79.6314754589463,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6314754589463 11.696296264916064, 79.63363945815144 11.697327265427777)"
45,DA,S,26,46-45,,=SQRT((K110-K109)^2+(L110-L109)^2),11.3,63.718445,,11.697327265427777,79.63363945815144,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63363945815144 11.697327265427777, 79.63547345768625 11.698274270009652)"
44,DA,S,26,45-44,,=SQRT((K111-K110)^2+(L111-L110)^2),13.3,60.946373,,11.698274270009652,79.63547345768625,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63547345768625 11.698274270009652, 79.6377104566227 11.699392268498169)"
43,DA,S,26,44-43,,=SQRT((K112-K111)^2+(L112-L111)^2),5.8,56.688969,,11.699392268498169,79.6377104566227,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6377104566227 11.699392268498169, 79.64011845549318 11.700586267629262)"
42,DA,S,26,43-42,,=SQRT((K113-K112)^2+(L113-L112)^2),1.23,59.137894,,11.700586267629262,79.64011845549318,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64011845549318 11.700586267629262, 79.64225145514885 11.70161226177028)"
41,DA,S,26,42-41,,=SQRT((K114-K113)^2+(L114-L113)^2),3.75,57.897564,,11.70161226177028,79.64225145514885,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64225145514885 11.70161226177028, 79.6439994539953 11.702513269431547)"
40,DB,T,24,41-40,,=SQRT((K115-K114)^2+(L115-L114)^2),3.9,58.986931,"8d2'58""RT",11.702513269431547,79.6439994539953,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6439994539953 11.702513269431547, 79.64675245339438 11.70347726823989)"
39,DA,S,26,40-39,,=SQRT((K116-K115)^2+(L116-L115)^2),8.15,66.422775,,11.70347726823989,79.64675245339438,GOOD,GOOD,"HT-1,LT-2",ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64675245339438 11.70347726823989, 79.6493824516212 11.704441268529065)"
38,DA,S,26,39-38,,=SQRT((K117-K116)^2+(L117-L116)^2),4.15,64.198334,,11.704441268529065,79.6493824516212,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6493824516212 11.704441268529065, 79.65161945106766 11.70522326817374)"
37,DA,S,26,38-37,,=SQRT((K118-K117)^2+(L118-L117)^2),7.8,61.890038,,11.70522326817374,79.65161945106766,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65161945106766 11.70522326817374, 79.6539394498879 11.706076262952967)"
36,DA,S,26,37-36,,=SQRT((K119-K118)^2+(L119-L118)^2),6.2,59.477345,,11.706076262952967,79.6539394498879,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6539394498879 11.706076262952967, 79.65646144917994 11.706978260297323)"
35,DC,T,26,36-35,,=SQRT((K120-K119)^2+(L120-L119)^2),9.5,55.156273," 27d27'28""RT",11.706978260297323,79.65646144917994,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65646144917994 11.706978260297323, 79.65867844851994 11.706682267439065)"
34,DA,S,26,35-34,,=SQRT((K121-K120)^2+(L121-L120)^2),7.9,50.845684,,11.706682267439065,79.65867844851994,GOOD,GOOD,LT-1,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65867844851994 11.706682267439065, 79.66091744743373 11.706397263537404)"
33,DA,S,26,34-33,,=SQRT((K122-K121)^2+(L122-L121)^2),6.85,48.939667,,11.706397263537404,79.66091744743373,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66091744743373 11.706397263537404, 79.66319744675275 11.706126266141425)"
32,DA,S,26,33-32,,=SQRT((K123-K122)^2+(L123-L122)^2),7.1,46.038616,,11.706126266141425,79.66319744675275,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66319744675275 11.706126266141425, 79.66550744603161 11.705826267801923)"
31,DD,T,28,32-31,,=SQRT((K124-K123)^2+(L124-L123)^2),7.45,44.747574,"43d17'43""LT",11.705826267801923,79.66550744603161,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66550744603161 11.705826267801923, 79.66775744526159 11.707433263916556)"
30,DB,T,24,31-30,,=SQRT((K125-K124)^2+(L125-L124)^2),8.3,49.83989,"7d5'14""RT",11.707433263916556,79.66775744526159,GOOD,GOOD,LT-2,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66775744526159 11.707433263916556, 79.66992644419675 11.7085952617714)"
29,DA,S,26,30-29,,=SQRT((K126-K125)^2+(L126-L125)^2),12.3,31.922249,,11.7085952617714,79.66992644419675,GOOD,GOOD,LT-1,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66992644419675 11.7085952617714, 79.6720384439069 11.70973726156989)"
28,DA,S,26,29-28,,=SQRT((K127-K126)^2+(L127-L126)^2),0.02,26.996414,,11.70973726156989,79.6720384439069,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6720384439069 11.70973726156989, 79.67458044230179 11.711140263161543)"
27,DA,S,26,28-27,,=SQRT((K128-K127)^2+(L128-L127)^2),2.6,21.199341,,11.711140263161543,79.67458044230179,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67458044230179 11.711140263161543, 79.67670044143458 11.712305261510247)"
26,DA,S,26,27-26,,=SQRT((K129-K128)^2+(L129-L128)^2),2.85,23.086761,,11.712305261510247,79.67670044143458,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67670044143458 11.712305261510247, 79.67889344122764 11.713477264296742)"
25,DA,S,26,26-25,,=SQRT((K130-K129)^2+(L130-L129)^2),,22.427567,,11.713477264296742,79.67889344122764,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67889344122764 11.713477264296742, 79.6821394399658 11.715204258813603)"
24,DA,S,26,25-24,,=SQRT((K131-K130)^2+(L131-L130)^2),,23.665047,,11.715204258813603,79.6821394399658,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6821394399658 11.715204258813603, 79.68267344009767 11.71553925775621)"
23,DA,S,26,24-23,,=SQRT((K132-K131)^2+(L132-L131)^2),11.1,24.283791,,11.71553925775621,79.68267344009767,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68267344009767 11.71553925775621, 79.68477643892041 11.716712261878149)"
22,DA,S,26,23-22,,=SQRT((K133-K132)^2+(L133-L132)^2),10.25,23.141853,,11.716712261878149,79.68477643892041,GOOD,GOOD,LT-2,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68477643892041 11.716712261878149, 79.68683843813741 11.717852262070034)"
21,DA,S,26,22-21,,=SQRT((K134-K133)^2+(L134-L133)^2),7.5,23.249413,,11.717852262070034,79.68683843813741,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68683843813741 11.717852262070034, 79.68905243766089 11.719006263293613)"
20,DA,S,26,21-20,,=SQRT((K135-K134)^2+(L135-L134)^2),2.6,32.33535,,11.719006263293613,79.68905243766089,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68905243766089 11.719006263293613, 79.69102743629769 11.720098262316462)"
19,DD,T,28,20-19,,=SQRT((K136-K135)^2+(L136-L135)^2),3.4,29.980751,"30d5'52""RT",11.720098262316462,79.69102743629769,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69102743629769 11.720098262316462, 79.69348143551842 11.720040264817545)"
18,DA,S,26,19-18,,=SQRT((K137-K136)^2+(L137-L136)^2),,30.566757,,11.720040264817545,79.69348143551842,GOOD,GOOD,LT-1,ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69348143551842 11.720040264817545, 79.69561043460843 11.720036261085722)"
17,DA,S,26,18-17,,=SQRT((K138-K137)^2+(L138-L137)^2),5.75,28.365433,,11.720036261085722,79.69561043460843,GOOD,GOOD,,ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69561043460843 11.720036261085722, 79.6982504335039 11.71996325681544)"
16,DA,S,26,17-16,,=SQRT((K139-K138)^2+(L139-L138)^2),2.5,22.960785,,11.71996325681544,79.6982504335039,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6982504335039 11.71996325681544, 79.70103343289604 11.719904258453516)"
15,DD,T,28,16-15,,=SQRT((K140-K139)^2+(L140-L139)^2),5.45,24.410332," 44d10'25""LT",11.719904258453516,79.70103343289604,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70103343289604 11.719904258453516, 79.70300043216228 11.72172226064794)"
14,DA,S,26,15-14,,=SQRT((K141-K140)^2+(L141-L140)^2),3.75,23.294998,,11.72172226064794,79.70300043216228,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70300043216228 11.72172226064794, 79.7051674312355 11.723709264271582)"
13,DA,S,26,14-13,,=SQRT((K142-K141)^2+(L142-L141)^2),,29.878744,,11.723709264271582,79.7051674312355,GOOD,GOOD,LT-1,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7051674312355 11.723709264271582, 79.70742843065764 11.72579025799728)"
12,DD,T,28,13-12,,=SQRT((K143-K142)^2+(L143-L142)^2),9.8,29.71207,"37d49'6""RT",11.72579025799728,79.70742843065764,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70742843065764 11.72579025799728, 79.70970542971891 11.726016258177998)"
11,DA,S,26,12-11,,=SQRT((K144-K143)^2+(L144-L143)^2),8,29.869911,,11.726016258177998,79.70970542971891,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70970542971891 11.726016258177998, 79.7119474285595 11.726185257457226)"
10,DA,S,26,11-10,,=SQRT((K145-K144)^2+(L145-L144)^2),4.15,31.927338,,11.726185257457226,79.7119474285595,GOOD,NO EARTH CABLE,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7119474285595 11.726185257457226, 79.71385542776204 11.726358262089134)"
9,DA,S,26,10-9,,=SQRT((K146-K145)^2+(L146-L145)^2),5.15,33.238583,,11.726358262089134,79.71385542776204,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71385542776204 11.726358262089134, 79.71580542716343 11.726527256599246)"
8,DA,S,26,9-8,,=SQRT((K147-K146)^2+(L147-L146)^2),5.06,36.233456,,11.726527256599246,79.71580542716343,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71580542716343 11.726527256599246, 79.7180544270967 11.726736257735535)"
7,DA,S,26,8-7,,=SQRT((K148-K147)^2+(L148-L147)^2),,41.011517,,11.726736257735535,79.7180544270967,GOOD,NO EARTH CABLE,"LT-1,HT-2",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7180544270967 11.726736257735535, 79.72009342626407 11.72693626396414)"
6,DA,S,26,7-6,,=SQRT((K149-K148)^2+(L149-L148)^2),8.43,42.584759,,11.72693626396414,79.72009342626407,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72009342626407 11.72693626396414, 79.72237842521166 11.727124262867797)"
5,DA,S,26,6-5,,=SQRT((K150-K149)^2+(L150-L149)^2),4.1,40.965714,,11.727124262867797,79.72237842521166,GOOD,NO EARTH CABLE,"HT-1,LT-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72237842521166 11.727124262867797, 79.72464842430811 11.727328261735119)"
4,DA,S,26,5-4,,=SQRT((K151-K150)^2+(L151-L150)^2),5.25,38.448589,,11.727328261735119,79.72464842430811,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72464842430811 11.727328261735119, 79.72685442302792 11.727543259880976)"
3,DA,S,26,4-3,,=SQRT((K152-K151)^2+(L152-L151)^2),6.15,38.193913,,11.727543259880976,79.72685442302792,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72685442302792 11.727543259880976, 79.72897242266542 11.727721259288485)"
2,DA,S,26,3-2,,=SQRT((K153-K152)^2+(L153-L152)^2),6.6,36.240524,,11.727721259288485,79.72897242266542,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72897242266542 11.727721259288485, 79.73112642155886 11.727925261712565)"
1,DD,T,28,2-1,,=SQRT((K154-K153)^2+(L154-L153)^2),,43.298534,"73d22'58""RT",11.727925261712565,79.73112642155886,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73112642155886 11.727925261712565, 79.73137042183814 11.727325255330227)"
1A,DD,T,28,1-1A,,=SQRT((K155-K154)^2+(L155-L154)^2),,42.965649," 57d42'32""LT",11.727325255330227,79.73137042183814,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73137042183814 11.727325255330227, 79.7315794218013 11.727287258591451)"
CUDALURE GANTRY,GANTRY,T,20,1A-GT,,=SQRT((K156-K155)^2+(L156-L155)^2),,42.269646,,11.727287258591451,79.7315794218013,GOOD,GOOD,,,PLAIN,CUDALURE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
