S.No,Tower No,Tower Type,Tower Type (T/S),Joint BoxLocation,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KULANCHAVADI ,GANTRY,T,2 Way,20,,,,,31.86,,11.64673928,79.69673543,GOOD,GOOD,,,PLAIN,S/C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69673543459541 11.646739279075833, 79.69645643470076 11.64656927530087)"
2,64,SD,T,,28,GT-64,,0.001729812,1.15,32.61," 47d37'38""RT",11.64656928,79.69645643,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69645643470076 11.64656927530087, 79.69483243468689 11.64703427804669)"
3,63,SA,S,,26,64-63,,0.002404018,8.3,35.61,,11.64703428,79.69483243,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69483243468689 11.64703427804669, 79.69346943564184 11.647408278379764)"
4,62,SC,T,,26,63-62,,0.002144455,5.45,31.93,"26d47'12""RT",11.64740828,79.69346944,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69346943564184 11.647408278379764, 79.69233343623038 11.648441275393017)"
5,61,SC,T,,26,62-61,,0.002353897,7.9,35.25," 15d8'2""LT",11.64844128,79.69233344,GOOD,GOOD,,RAILWAY TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69233343623038 11.648441275393017, 79.69001268236104 11.64963504014046)"
6,60,SA,S,,26,61-60,,0.002519763,6.82,32.48,,11.64963504,79.69001268,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69001268236104 11.64963504014046, 79.68847443724285 11.650426274135185)"
7,59,SC,T,,26,60-59,,0.001685214,3.6,38.11," 25d51'9""LT",11.65042627,79.68847444,GOOD,GOOD,"LT1,HT1",CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68847443724285 11.650426274135185, 79.68607143845381 11.650496278652856)"
8,58,SA,S,,26,59-58,,0.002211079,6.2,35.69,,11.65049628,79.68607144,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68607143845381 11.650496278652856, 79.6839284394206 11.650575281965518)"
9,57,SA,S,,26,58-57,,0.00232053,3.7,35.73,,11.65057528,79.68392844,GOOD,GOOD,HT1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6839284394206 11.650575281965518, 79.68157544020792 11.650640278510592)"
10,56,SA,S,,26,57-56,,0.002535347,4.9,34.39,,11.65064028,79.68157544,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68157544020792 11.650640278510592, 79.6790564404032 11.650702278621651)"
11,55,SC,T,,26,56-55,,0.0022154,10.32,36.35,"23d49'55""LT",11.65070228,79.67905644,GOOD,GOOD,"LT5,HT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6790564404032 11.650702278621651, 79.67749544114741 11.650067275575168)"
12,54,SA,S,,26,55-54,,0.002918005,7.2,32.3,,11.65006728,79.67749544,GOOD,GOOD,"HT2,LT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67749544114741 11.650067275575168, 79.67544044187768 11.649251279840195)"
13,53,SA,S,,26,54-53,,0.002797872,11.32,36.56,,11.64925128,79.67544044,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67544044187768 11.649251279840195, 79.67328603756964 11.648389072163608)"
14,52,SA,S,,26,53-52,,0.003143398,2.9,33.14,,11.64838907,79.67328604,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67328603756964 11.648389072163608, 79.6709327503601 11.64744566226222)"
15,51,SA,S,,26,52-51,,0.002509239,5.73,32.81,,11.64744566,79.67093275,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6709327503601 11.64744566226222, 79.66887644495834 11.646621281338106)"
16,50,SB,T,2 way,24,51-50,,0.00296341,2.4,33.63,"14d56'28""LT",11.64662128,79.66887644,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66887644495834 11.646621281338106, 79.66653844566406 11.64487528161929)"
17,49,SA,S,,26,50-49,,0.00284924,4.3,34.52,,11.64487528,79.66653845,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66653844566406 11.64487528161929, 79.66428844592194 11.64321227567348)"
18,48,SA,S,,26,49-48,,0.002777799,6.15,32.1,,11.64321228,79.66428845,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66428844592194 11.64321227567348, 79.66177444762751 11.641325276797351)"
